Rank,Frequency
1,11
2,21
3,10
4,6
5,3
6,4
7,4
8,4
9,3
10,4
11,2
12,7
13,2
14,1
15,6
16,3
17,6
18,6
20,6
21,3
22,5
23,3
24,4
25,3
26,2
27,1
28,7
29,2
30,4
31,5
32,6
33,4
34,5
35,2
36,3
37,3
38,2
40,3
41,6
42,10
43,4
45,3
46,6
47,3
48,4
49,5
50,3
51,3
52,6
53,4
54,4
55,5
56,4
57,4
58,1
61,6
62,1
63,8
64,3
66,4
67,1
68,1
69,3
70,3
71,7
72,1
73,8
74,3
75,3
76,4
77,5
78,3
79,4
80,3
81,7
82,2
83,4
84,2
85,2
86,5
87,3
88,4
90,4
91,3
92,4
93,1
94,3
95,1
96,2
97,4
98,2
99,1
100,2
101,2
102,5
103,1
104,2
105,5
107,2
108,4
109,1
110,2
111,3
112,4
113,4
114,4
115,3
116,1
117,3
118,3
119,2
120,1
121,5
122,9
123,4
124,2
125,2
126,4
127,3
128,2
129,1
130,2
131,2
132,2
133,3
134,2
135,2
136,2
137,5
138,1
139,1
140,1
141,3
142,2
144,3
145,2
146,3
147,3
148,2
149,1
150,1
151,2
152,2
153,2
154,4
155,1
156,4
157,2
158,3
159,1
160,2
161,3
162,1
163,1
164,1
165,6
166,2
167,3
168,3
169,2
170,3
172,1
173,2
174,4
176,1
177,4
178,4
180,1
181,2
182,1
183,3
184,1
186,1
187,5
188,1
189,1
190,1
191,2
192,2
193,2
194,1
195,4
196,3
197,1
198,2
199,1
200,3
202,2
203,3
204,7
205,4
206,8
207,2
208,8
209,11
210,5
211,7
212,7
213,10
214,11
215,14
216,9
217,11
218,12
219,4
220,4
221,11
222,8
223,8
224,12
225,13
226,10
227,13
228,11
229,9
230,4
231,8
232,12
233,4
234,10
235,4
236,8
237,6
238,6
239,7
240,3
241,3
242,1
243,4
244,4
246,1
247,4
248,4
249,1
250,3
251,1
252,3
253,3
254,1
255,3
256,1
257,1
258,1
259,3
260,2
261,2
262,2
263,4
264,1
265,1
266,1
267,3
269,2
270,1
271,2
273,5
274,3
275,2
276,3
277,1
278,3
280,1
281,2
282,1
283,2
284,1
285,2
286,2
287,3
288,3
289,3
290,1
291,3
292,2
293,3
294,1
295,3
296,3
298,1
299,1
300,5
301,1
303,2
304,2
305,2
306,1
307,2
308,2
309,1
310,3
314,4
316,2
317,1
318,1
319,2
321,1
322,1
323,1
324,1
325,6
327,2
328,5
329,2
330,1
331,1
333,2
334,4
335,1
336,3
338,2
340,4
341,1
343,1
344,1
345,2
349,3
350,1
351,2
352,1
355,4
357,2
358,1
359,3
360,1
361,2
362,1
363,2
364,2
366,2
367,1
369,2
370,2
371,3
372,2
374,3
375,3
376,2
377,4
378,2
379,3
380,3
381,1
382,1
385,1
386,1
387,1
388,3
390,1
391,1
392,3
393,3
394,2
395,2
396,2
397,2
398,2
399,1
400,1
401,3
402,1
403,3
404,3
405,1
406,1
407,1
408,2
409,3
412,1
413,1
414,2
415,1
416,3
418,1
419,2
420,2
421,1
422,3
424,1
425,2
426,2
427,1
430,1
432,3
433,3
434,1
435,4
437,1
438,1
439,1
440,1
441,1
442,1
443,2
444,3
446,2
447,1
448,3
449,2
450,1
451,2
452,1
453,1
454,1
455,4
456,1
457,2
458,1
460,3
461,1
462,1
463,2
466,2
468,1
469,5
470,1
472,2
473,2
474,4
475,1
476,1
477,2
478,2
479,2
481,2
482,1
483,2
484,5
485,3
486,1
487,1
488,2
491,1
492,1
493,1
494,2
495,1
496,2
497,1
498,2
499,4
500,3
501,2
503,1
504,1
506,3
507,1
508,4
509,2
510,2
511,1
513,1
514,2
515,1
516,1
517,2
518,2
519,1
520,4
521,1
523,4
524,3
526,3
528,1
529,2
531,1
532,1
536,2
537,1
538,5
540,1
541,1
542,3
543,3
545,1
546,2
547,2
548,1
550,1
551,2
552,2
553,3
554,1
555,2
556,3
557,1
558,1
559,1
560,1
561,2
562,1
563,1
564,3
567,3
568,2
569,1
570,1
571,5
575,5
576,2
577,5
578,1
580,3
581,1
582,2
583,3
587,1
588,1
589,2
590,2
591,3
593,2
594,1
596,3
597,2
598,1
599,2
601,1
602,1
603,1
606,3
607,3
609,1
611,2
612,2
613,1
614,4
617,1
618,2
619,1
620,1
622,3
623,1
624,4
625,6
627,1
628,1
630,1
631,4
633,1
634,1
636,4
637,6
641,1
642,3
643,1
644,3
646,2
647,2
648,2
649,1
650,2
651,1
652,4
653,2
654,1
655,1
656,2
657,2
658,2
659,2
660,2
662,1
663,4
664,1
665,3
666,2
667,1
668,1
670,1
671,3
672,1
673,1
674,2
675,1
678,2
680,1
681,2
682,1
684,2
685,2
686,1
687,3
688,1
689,3
690,1
691,1
692,4
693,2
694,6
695,2
696,1
697,1
699,1
700,3
701,3
702,1
705,1
706,2
707,1
708,1
710,2
711,1
712,3
713,2
714,1
715,6
