Rank,Frequency
1,3
2,1
3,7
4,1
5,1
6,1
7,1
8,1
10,1
14,2
15,1
20,1
32,1
37,1
38,2
41,1
46,1
50,1
56,2
58,4
63,2
64,1
65,1
67,1
68,2
70,1
72,1
73,1
74,2
76,2
77,1
78,1
80,3
81,1
82,1
83,2
84,1
85,1
89,1
91,1
92,2
93,1
94,1
97,1
98,4
99,2
103,2
105,1
106,3
107,1
110,4
112,1
113,2
117,1
118,1
119,2
120,2
122,2
123,1
124,2
125,1
126,1
128,1
129,1
130,1
131,1
135,1
136,3
138,2
142,1
147,1
149,3
150,3
154,1
155,3
157,3
159,1
160,2
163,4
164,3
165,2
166,1
167,1
168,2
171,2
173,3
174,3
176,2
177,2
178,1
182,1
183,2
184,1
185,1
186,3
187,4
188,3
190,2
194,1
195,2
196,2
197,1
200,2
201,2
202,1
203,3
204,1
205,2
206,2
208,1
210,1
211,4
212,3
213,1
214,1
217,2
219,1
220,2
222,3
223,2
224,4
225,2
227,2
228,3
229,1
230,4
231,3
232,3
233,1
236,1
237,1
238,1
241,1
242,3
243,3
244,4
245,1
246,4
247,1
248,2
249,4
250,1
252,3
253,2
254,1
255,1
256,2
259,2
261,2
262,4
263,1
264,2
265,1
266,2
267,3
268,1
269,2
270,1
271,1
272,1
273,2
275,1
276,1
277,2
278,2
280,3
281,1
282,2
283,1
284,1
285,4
287,1
288,1
292,3
293,3
294,1
295,2
296,2
297,1
298,3
299,3
300,2
301,2
302,3
303,3
304,3
305,2
306,1
307,2
309,2
312,2
314,4
315,1
319,1
320,1
321,1
322,2
324,2
325,1
326,1
327,1
329,1
330,3
331,1
332,1
333,3
335,3
336,3
338,2
339,1
340,1
341,1
342,2
343,1
344,1
345,1
346,1
347,4
349,1
350,3
351,2
352,2
353,3
354,1
355,2
358,1
359,1
360,3
361,3
362,1
363,2
364,2
368,3
370,4
371,2
372,2
374,1
375,1
376,2
377,3
378,1
379,1
380,1
384,3
385,7
386,2
387,1
388,1
389,2
390,2
391,3
392,2
393,2
394,2
395,1
396,1
398,2
401,1
403,5
404,1
405,1
407,4
408,1
409,1
410,1
411,1
412,2
413,1
414,2
416,1
417,1
418,1
419,1
420,2
421,3
422,2
423,2
424,2
425,2
427,1
428,2
429,3
430,3
431,2
432,2
433,2
434,1
435,1
436,3
437,3
438,1
439,4
440,1
442,1
443,4
444,1
445,1
446,2
447,1
448,3
449,2
450,1
451,1
453,2
454,1
455,2
456,6
458,2
459,5
460,3
461,2
462,2
464,1
465,1
467,4
468,2
470,2
471,3
473,1
475,1
476,1
477,2
478,1
479,1
480,2
481,2
483,1
484,3
485,2
486,1
487,2
488,2
489,2
490,1
491,3
492,1
493,1
494,3
495,1
497,3
498,2
499,1
501,1
502,1
503,1
504,2
505,1
506,2
508,2
509,1
510,1
511,2
512,4
514,4
515,2
516,1
517,2
518,5
519,2
520,1
521,2
523,3
524,1
525,1
526,5
527,1
528,5
529,2
530,5
531,2
532,2
533,1
534,2
535,3
536,2
537,2
538,1
539,2
540,3
541,3
542,3
545,2
546,2
547,1
549,1
550,1
551,2
552,7
553,7
554,2
555,2
556,1
557,2
558,3
559,2
560,1
561,1
564,1
565,1
566,2
568,1
571,2
572,1
573,1
574,2
576,2
577,1
578,5
579,1
580,1
581,2
582,3
583,1
584,1
585,1
586,1
587,2
588,1
591,3
593,2
594,2
598,2
599,3
600,4
601,1
602,1
603,1
604,1
605,3
606,2
607,2
608,1
610,2
611,1
612,2
613,2
614,4
615,1
616,1
618,2
619,2
620,2
622,2
623,1
624,2
625,6
626,1
627,1
628,2
629,2
630,5
631,2
632,2
633,3
634,2
635,1
636,1
637,1
640,2
641,1
642,1
643,2
