Rank,Frequency
1,3
2,6
3,1
4,3
5,2
6,7
7,6
8,6
9,1
10,6
11,6
12,6
13,1
14,6
15,1
16,3
17,1
18,7
19,2
20,1
21,2
22,2
23,4
24,2
25,4
26,2
28,1
29,1
30,4
32,5
33,1
34,3
35,5
36,5
38,2
39,1
41,3
42,3
43,2
44,4
45,4
46,6
47,6
48,2
49,1
51,1
52,2
53,5
54,1
55,1
56,1
57,3
58,2
59,3
60,3
61,6
63,2
64,4
65,2
66,2
68,4
70,3
71,2
72,2
73,2
74,3
75,2
76,4
77,1
78,1
79,3
80,7
81,1
82,2
83,6
84,2
85,6
87,2
89,4
91,4
92,2
93,3
94,4
95,1
96,4
97,2
99,5
100,5
101,1
102,3
103,1
104,4
105,2
106,4
107,2
108,1
109,4
110,9
111,4
112,5
113,3
114,1
115,2
116,3
118,2
119,3
120,9
121,4
122,3
123,2
124,3
125,4
126,1
127,3
128,3
129,5
131,3
132,3
133,1
134,5
135,4
136,1
137,4
138,3
139,1
140,1
141,3
142,2
143,4
144,5
145,5
146,6
147,2
148,3
149,1
150,6
151,2
152,1
153,4
154,2
155,4
156,5
157,3
158,3
159,3
160,1
161,2
162,4
163,2
164,1
165,4
166,3
167,2
168,3
170,5
171,6
172,4
173,2
175,2
176,2
177,2
178,5
179,1
180,1
181,3
182,3
183,7
184,3
185,2
186,4
187,3
188,4
189,3
190,4
191,1
192,3
193,1
194,5
195,5
196,6
197,4
198,2
199,1
200,1
201,1
202,7
203,5
204,3
205,5
206,4
207,10
208,4
209,2
210,6
211,6
212,4
213,6
214,5
215,4
216,3
217,3
218,4
219,4
220,5
221,2
222,6
223,3
224,5
225,4
226,2
227,5
228,2
230,4
231,2
233,1
234,1
235,5
236,3
237,2
238,2
239,4
240,4
241,1
242,4
243,4
244,1
245,2
246,5
247,2
248,5
249,7
250,3
251,2
253,3
254,4
255,2
256,2
257,3
258,3
259,2
260,6
261,1
262,3
263,3
264,1
265,1
266,2
267,2
268,1
269,5
270,1
271,3
272,2
273,3
274,2
275,1
276,1
278,5
279,1
280,3
281,3
282,3
283,5
284,2
285,1
286,4
287,3
288,3
289,2
290,1
291,1
292,2
293,3
294,3
295,5
296,1
297,2
298,2
299,3
300,2
301,1
302,3
303,2
304,2
305,1
306,4
307,4
308,4
309,1
310,5
311,1
312,2
313,3
314,2
315,3
316,4
317,5
318,1
320,2
321,4
322,3
323,2
324,3
325,2
326,4
327,3
328,2
329,2
330,1
331,3
332,1
333,3
334,2
335,1
336,1
337,4
338,1
339,2
340,5
341,4
342,2
344,3
345,3
346,3
347,4
348,2
349,2
350,1
351,2
353,4
354,4
355,4
357,2
358,4
359,1
360,1
361,2
362,5
363,2
364,3
365,1
366,2
367,2
368,3
369,2
370,2
372,3
373,2
374,1
376,2
378,3
379,3
380,3
382,3
383,1
384,3
385,1
386,2
387,1
389,1
390,2
391,1
392,2
393,1
395,2
396,1
397,3
398,3
399,2
401,4
403,2
404,3
405,5
406,3
407,1
408,3
409,3
411,1
412,1
413,5
414,2
415,2
416,1
418,1
419,2
420,1
421,2
422,2
423,1
424,1
425,2
426,2
427,2
429,2
430,2
431,1
432,1
433,3
434,2
435,1
436,4
437,3
438,3
439,1
440,2
441,2
442,1
443,5
444,1
445,1
446,2
447,3
448,1
449,1
450,1
451,1
452,1
453,2
454,1
455,1
456,1
457,3
459,4
460,3
461,3
462,3
463,5
464,4
465,1
466,1
467,4
468,1
469,3
470,1
471,2
472,4
473,3
474,2
475,1
476,2
477,3
478,2
479,4
480,1
481,1
482,2
483,1
484,5
485,2
486,1
487,1
488,3
489,3
491,1
492,1
493,2
494,5
495,1
498,6
499,2
500,2
501,1
502,1
503,1
504,4
505,2
507,1
508,4
509,3
510,1
512,3
514,6
515,2
516,5
517,4
518,3
519,4
520,6
521,2
522,6
523,6
524,4
525,5
526,4
527,9
528,15
529,5
530,11
531,4
532,9
533,14
534,12
535,9
536,16
537,14
538,14
539,11
540,10
541,20
542,17
543,19
544,22
545,20
546,25
547,20
548,22
549,21
550,19
551,19
552,17
553,15
554,29
555,28
556,17
557,8
558,16
559,16
560,14
561,10
562,13
563,10
564,11
565,15
566,10
567,3
568,10
569,8
570,5
571,10
572,6
573,5
574,5
575,3
576,2
577,4
578,3
579,4
580,4
581,2
582,5
583,1
584,3
585,2
586,2
587,2
588,3
589,2
590,1
591,4
592,1
593,3
594,2
595,5
596,1
597,2
598,1
599,1
600,1
601,1
602,1
603,1
605,3
607,2
608,1
609,1
610,2
612,3
613,1
614,1
615,3
616,2
618,4
620,3
621,4
622,2
623,1
626,2
627,1
629,6
632,2
633,1
635,4
636,1
637,2
638,3
639,3
640,1
641,3
642,3
643,3
644,2
645,1
646,2
647,2
649,5
650,3
651,1
652,2
653,2
655,2
657,4
658,1
662,2
663,1
664,3
665,1
666,2
667,1
668,3
669,1
670,2
671,3
672,3
673,3
674,1
675,3
676,3
677,3
678,3
680,3
681,1
682,2
683,2
684,1
686,2
687,3
688,2
689,3
690,2
691,1
692,1
693,3
695,2
697,2
699,1
702,1
703,1
704,5
705,2
706,4
707,1
708,1
709,3
710,1
711,1
712,1
713,4
714,2
715,2
716,2
717,1
718,3
719,1
720,1
721,1
723,4
724,1
725,2
727,1
729,1
730,3
731,4
732,3
734,2
735,1
736,2
737,1
739,1
740,2
741,4
742,1
743,4
744,1
745,4
746,2
747,5
750,1
751,4
752,1
754,2
756,2
757,6
758,1
761,1
762,1
763,1
764,2
765,2
766,2
767,2
768,1
770,3
771,2
772,3
773,2
774,2
775,1
777,3
778,1
780,4
781,2
782,2
783,3
784,1
785,2
786,2
787,4
789,1
790,3
791,2
792,1
793,3
794,1
795,3
796,3
797,2
798,1
799,1
800,1
801,4
802,1
803,3
804,1
805,1
806,1
809,2
811,1
812,4
813,1
814,2
815,1
817,1
819,4
820,1
821,1
823,1
824,2
825,2
826,1
827,1
828,1
829,2
830,3
831,1
832,3
834,1
835,1
836,2
837,2
838,2
839,1
840,1
842,4
843,1
844,1
846,1
847,3
848,2
849,3
850,3
851,1
854,4
855,1
856,1
857,3
858,1
859,3
860,2
861,2
862,1
863,2
864,3
865,3
866,1
867,2
868,1
869,2
870,1
872,2
874,1
876,2
879,2
880,3
881,2
882,2
883,1
885,1
886,2
887,2
888,1
889,2
890,3
892,4
893,3
894,1
895,1
896,1
897,1
899,1
901,5
902,1
903,1
904,1
905,1
906,3
907,2
908,3
909,1
910,1
911,1
912,1
913,2
914,1
916,2
918,1
919,2
920,4
921,1
922,2
923,2
924,2
927,1
929,5
930,2
931,1
934,1
935,4
937,3
938,2
939,1
940,2
942,2
943,1
944,2
945,5
947,3
948,2
950,2
951,2
952,2
953,1
955,2
956,2
957,2
959,2
960,3
961,1
962,2
963,4
964,1
965,2
966,1
967,2
968,3
969,3
970,2
971,3
972,4
973,2
974,1
975,3
976,1
978,2
979,2
982,1
983,4
984,5
986,2
988,1
989,3
990,1
991,1
992,2
993,4
995,3
996,4
998,3
999,2
1000,2
1001,3
1002,1
1003,4
1005,1
1007,1
1009,3
1010,4
1012,3
1013,3
1015,2
1016,1
1017,1
1018,2
1019,2
1020,1
1021,2
1024,1
1025,1
1026,3
1027,1
1028,2
1029,1
1032,1
1033,2
1034,1
1035,1
1036,4
1037,2
1038,3
1039,1
1041,3
1042,3
1043,2
1044,4
1046,2
1047,1
1048,3
1049,2
1050,2
1051,1
1052,2
1053,4
1054,3
1056,1
1058,2
1059,2
1060,1
1061,2
1062,1
1063,2
1064,2
1065,2
1066,3
1068,1
1069,3
1070,1
1071,3
1073,2
1074,3
1075,1
1076,3
1077,2
1079,1
1080,2
1081,5
1082,4
1083,1
1084,4
1085,2
1086,2
1087,2
1088,1
1089,1
1090,4
1091,2
1092,1
1093,1
1094,2
1095,2
1096,3
1097,5
1099,2
1100,1
1101,2
1105,2
1108,3
1109,4
1110,5
1111,1
1112,2
1113,1
1114,1
1115,1
1116,5
1118,1
1119,3
1120,4
1121,1
1122,1
1124,2
1125,1
1126,2
1127,3
1128,1
1129,2
1130,1
1131,1
1132,1
1133,1
1134,2
1135,1
1136,2
1138,3
1139,4
1140,4
1141,2
1142,2
1143,3
1144,2
1145,2
1146,3
1147,1
1149,1
1151,1
1152,1
1153,2
1154,1
1155,2
1156,2
1157,1
1158,1
1160,3
1161,1
1162,3
1163,5
1164,2
1165,3
1166,4
1167,2
1168,5
1169,3
1170,4
1171,9
1172,6
1173,6
1174,7
1175,9
1176,12
1177,6
1178,16
1179,16
1180,15
1181,14
1182,20
1183,23
1184,18
1185,27
1186,29
1187,32
1188,23
1189,22
1190,22
1191,35
1192,31
1193,34
1194,35
1195,37
1196,34
1197,35
1198,19
1199,34
1200,28
1201,33
1202,32
1203,26
1204,27
1205,27
1206,22
1207,33
1208,30
1209,16
1210,18
1211,19
1212,15
1213,18
1214,14
1215,15
1216,8
1217,11
1218,10
1219,3
1220,8
1221,8
1222,7
1223,2
1224,3
1225,2
1226,2
1227,4
