Rank,Frequency
2,1
3,3
4,9
5,7
6,8
7,7
8,8
9,3
10,1
11,4
12,3
14,1
18,1
20,1
24,1
29,1
30,1
32,1
33,1
34,1
35,1
36,3
38,1
39,1
40,1
43,1
44,2
50,3
55,1
61,1
63,1
64,1
65,1
67,1
68,2
69,1
71,2
72,2
75,1
76,1
79,1
82,1
85,1
87,1
88,1
89,2
90,2
91,1
92,1
93,2
99,1
100,1
101,2
103,2
104,1
106,1
108,1
109,1
111,1
112,2
114,1
115,2
116,1
118,1
119,1
120,1
122,1
126,3
127,1
128,1
130,1
131,1
132,1
133,1
134,1
136,1
138,2
139,1
141,1
142,3
145,2
146,1
147,2
148,1
149,1
150,2
151,2
152,2
153,2
155,1
156,2
157,1
158,1
160,2
162,2
163,1
166,2
167,1
168,2
169,2
170,3
171,3
172,1
173,3
174,3
175,2
177,1
178,2
179,1
180,1
181,2
183,2
184,2
186,1
187,1
188,2
189,2
190,1
191,2
192,2
193,1
194,6
195,2
196,2
197,2
198,3
200,2
201,4
202,3
204,2
207,1
208,2
209,1
210,1
211,2
212,2
214,1
216,2
217,1
218,1
219,1
220,1
221,2
222,3
223,2
224,2
226,2
227,2
229,1
230,3
231,1
232,2
233,3
234,2
235,1
236,2
237,2
238,3
239,2
240,1
241,1
242,3
244,1
246,1
248,1
249,1
250,1
251,2
252,5
255,2
256,2
259,5
260,2
262,3
263,2
265,1
266,6
267,1
269,3
270,1
271,1
272,4
274,2
277,2
278,4
279,1
280,2
281,1
282,1
283,1
284,2
285,1
286,3
287,2
288,4
289,3
290,4
291,2
292,3
293,4
294,6
295,7
296,10
297,6
298,8
299,13
300,7
301,11
302,10
303,6
304,11
305,11
306,12
307,16
308,11
309,17
310,16
311,12
312,19
313,12
314,10
315,18
316,14
317,14
318,14
319,12
320,8
321,11
322,9
323,6
324,8
325,10
326,8
327,5
328,4
329,6
330,7
331,1
332,2
333,1
334,4
337,3
338,5
339,2
340,2
341,2
342,3
343,2
344,1
345,1
346,1
347,2
348,2
349,2
350,1
352,3
354,2
355,1
356,2
357,3
358,3
359,2
360,2
365,1
366,1
368,1
369,1
370,2
373,2
374,6
375,6
376,3
377,2
378,1
380,2
382,3
383,1
384,1
385,2
386,2
387,1
388,3
389,2
390,1
391,1
392,3
393,2
394,3
395,2
397,2
398,1
399,3
401,3
402,4
404,3
405,3
406,2
407,1
408,2
409,1
410,1
411,2
412,3
413,1
416,1
417,2
418,1
421,4
422,3
423,1
424,3
425,4
426,1
427,4
428,1
430,2
431,2
432,2
434,2
435,3
436,1
437,2
438,1
439,1
440,1
442,2
443,2
444,2
445,1
446,1
447,4
448,3
449,2
450,2
451,2
454,1
455,3
456,2
457,2
458,3
459,3
461,1
462,2
463,4
464,3
465,5
466,2
467,1
468,3
469,3
470,3
471,1
472,2
473,1
474,4
475,1
476,1
