Rank,Frequency
1,2
2,5
3,3
4,7
5,7
6,2
7,5
8,5
9,2
10,4
11,5
12,2
13,2
14,2
15,4
16,2
17,1
18,1
20,4
21,3
22,4
23,3
24,3
26,4
27,2
28,3
29,1
30,3
31,2
33,1
34,2
35,2
36,1
37,4
38,1
39,1
40,2
41,1
42,1
44,1
45,1
46,2
47,5
48,2
49,2
50,1
51,3
52,1
53,1
54,1
55,2
56,1
57,1
59,1
60,1
61,1
62,2
64,3
65,2
66,1
67,1
68,1
69,1
70,2
71,2
72,1
73,1
74,3
75,1
76,1
77,1
79,1
80,3
81,2
82,2
83,1
84,1
85,3
86,1
87,2
88,1
89,2
90,3
91,1
93,2
94,2
96,1
100,1
101,1
102,1
104,2
105,1
106,3
107,1
108,1
109,1
111,2
112,1
113,1
114,1
115,3
116,2
117,3
118,4
119,3
121,4
122,2
123,2
124,1
125,2
126,1
127,1
128,2
130,1
131,2
132,1
133,2
134,1
135,1
136,4
137,2
138,2
139,2
140,1
141,1
142,4
143,3
144,3
145,1
146,4
147,1
148,3
149,2
151,2
152,2
153,4
154,1
155,2
156,1
157,2
158,1
159,2
160,2
161,1
162,2
163,4
165,1
166,3
168,2
169,1
170,1
171,2
172,4
174,2
175,2
176,1
180,1
182,2
183,1
184,4
186,3
187,3
188,2
189,1
190,1
191,1
192,3
194,1
195,4
196,1
197,3
199,2
200,3
201,4
202,1
203,1
204,1
205,1
206,3
208,1
209,2
211,3
213,1
214,2
215,1
216,4
217,1
219,3
221,2
222,3
223,4
224,5
225,1
226,4
228,1
229,3
230,2
231,3
232,3
233,1
234,1
235,1
236,1
237,1
238,1
239,5
240,1
241,4
242,3
243,1
244,4
246,2
247,2
248,2
249,3
250,1
251,3
252,3
253,7
254,3
255,5
256,2
257,2
258,2
259,1
260,4
261,1
262,3
263,5
264,4
265,2
266,2
267,2
269,5
270,2
272,1
273,2
274,3
276,4
278,3
279,1
280,2
281,3
282,4
283,3
285,2
286,5
287,3
289,1
290,1
291,1
293,2
294,2
295,2
296,5
297,1
298,3
299,1
300,2
301,1
302,2
303,3
304,3
305,3
307,2
308,2
309,1
311,2
312,2
313,1
314,1
315,4
316,3
317,1
318,2
319,4
320,6
322,2
323,4
324,1
325,1
326,2
327,1
329,1
330,4
331,3
332,4
333,1
335,2
336,1
337,3
338,3
339,1
340,3
342,1
343,3
345,3
346,1
347,1
349,2
351,1
352,1
353,1
354,1
356,4
357,1
358,1
361,1
362,5
363,2
364,3
366,1
367,2
370,1
371,1
372,1
373,2
374,1
375,2
376,2
377,3
378,3
381,2
382,4
383,4
387,4
388,4
390,1
391,1
393,1
394,1
396,1
397,1
398,1
399,3
400,1
401,1
402,2
405,1
406,1
407,1
408,3
409,1
411,1
412,2
413,2
414,3
415,3
416,5
417,1
418,1
419,4
421,3
422,1
423,1
426,2
427,1
428,3
429,2
431,1
432,5
434,5
435,1
436,1
437,4
438,2
439,2
440,3
441,2
442,1
443,3
444,2
445,2
446,4
447,2
449,2
450,1
451,2
452,1
453,2
454,7
455,2
456,1
457,3
459,1
460,2
462,3
463,2
464,2
465,1
467,3
469,3
470,2
471,3
472,1
473,1
474,2
475,3
476,1
478,1
479,3
480,1
481,1
482,2
483,2
486,2
487,2
488,1
489,1
490,1
491,5
492,1
494,1
496,1
497,1
498,2
499,1
500,3
501,5
502,4
503,1
504,2
505,1
506,2
507,3
508,2
510,2
511,1
512,2
515,2
516,3
518,2
519,1
520,4
521,4
522,5
523,1
525,1
526,1
527,2
528,1
529,2
530,1
531,1
532,2
533,1
534,2
536,2
539,3
540,2
541,1
542,2
543,4
544,2
545,1
546,3
547,3
548,3
549,2
550,1
552,1
553,1
555,2
557,2
558,2
559,3
560,1
562,1
564,1
565,3
566,3
567,1
568,1
570,3
571,2
573,2
574,1
576,2
577,1
579,1
581,1
582,2
583,3
586,2
587,1
588,4
589,2
590,2
591,3
592,2
594,3
595,1
596,1
597,4
598,1
599,2
600,3
602,2
603,1
605,2
606,1
607,1
611,2
612,1
613,1
614,1
615,1
616,1
617,3
618,1
619,1
623,3
624,1
625,3
626,1
627,2
628,2
629,2
630,4
631,1
632,1
633,1
634,2
635,1
636,1
637,3
638,1
639,1
640,2
641,1
642,2
643,1
644,1
645,1
646,3
648,5
650,1
651,1
652,1
659,3
661,1
663,1
664,2
665,4
666,1
668,1
670,1
671,1
672,2
673,1
674,1
675,1
676,1
677,1
680,3
682,2
683,3
684,1
685,2
687,2
688,1
690,3
691,1
692,1
693,2
694,1
695,1
696,1
699,3
700,1
701,3
702,3
703,2
704,2
706,3
708,1
709,3
710,1
711,2
712,4
713,1
714,2
715,3
716,1
717,1
718,1
719,3
720,2
722,2
723,1
724,4
725,1
726,1
727,1
728,2
730,2
731,1
733,3
734,4
735,2
736,3
737,2
738,2
739,1
740,3
742,1
743,2
744,2
745,4
746,5
747,3
748,4
749,3
750,7
751,7
752,7
753,2
754,10
755,5
756,2
757,7
758,14
759,4
760,10
761,5
762,19
763,14
764,10
765,9
766,9
767,12
768,11
769,15
770,14
771,18
772,11
773,15
774,8
775,6
776,19
777,10
778,11
779,12
780,13
781,9
782,14
783,9
784,6
785,6
786,8
787,7
788,8
789,1
790,9
791,11
792,12
793,10
794,6
795,4
796,7
797,4
798,5
799,4
800,2
801,4
802,2
803,3
804,3
805,3
806,3
807,2
808,1
810,2
811,4
812,2
813,2
814,2
815,1
816,2
817,1
819,1
820,2
821,1
823,1
824,1
825,1
826,1
827,1
830,1
832,1
833,1
834,1
835,1
836,1
837,1
838,2
839,2
840,2
841,1
843,2
844,3
845,2
846,2
847,3
850,3
851,2
854,2
855,2
856,3
857,2
858,1
859,1
861,1
862,2
863,1
864,3
865,3
866,3
868,2
869,3
870,1
871,5
872,2
874,3
875,1
876,1
877,1
878,1
879,1
880,2
881,2
882,4
883,3
884,3
885,3
886,2
887,1
888,2
889,2
891,4
892,3
894,1
895,1
897,1
898,1
900,1
901,2
902,3
903,1
904,1
906,1
907,1
908,1
909,4
910,2
911,2
913,4
914,4
915,1
916,1
918,2
919,2
920,2
921,2
922,3
923,3
924,6
925,7
926,3
927,4
928,5
929,4
930,3
931,6
932,3
933,6
934,3
935,7
936,2
937,3
938,8
939,5
940,3
941,5
942,4
943,4
944,4
945,4
946,5
947,2
948,3
949,2
950,3
951,4
952,1
953,2
954,4
956,4
957,6
958,1
959,3
960,4
961,3
962,4
963,3
964,3
965,3
966,3
967,5
968,2
969,1
970,2
971,4
972,2
974,1
975,1
976,1
977,1
978,2
979,2
980,2
982,4
983,4
984,2
985,2
986,3
988,1
989,1
990,2
991,1
992,2
993,1
994,7
995,2
996,1
997,1
998,1
1000,2
1001,2
1002,2
1003,2
1004,1
1005,2
1006,3
1007,1
1008,1
1009,3
1010,2
1012,3
1015,3
1016,1
1017,2
1018,1
1019,1
1020,1
1021,2
1022,1
1023,5
1025,2
1026,2
1027,2
1028,2
1029,1
1030,3
1031,1
1032,2
1033,3
1034,6
1035,2
1036,1
1037,2
1039,3
1040,2
1041,2
1043,1
1044,2
1046,1
1047,1
1048,3
1049,1
1051,2
1052,2
1054,4
1055,1
1056,3
1059,3
1060,1
1062,3
1065,1
1066,2
1067,4
1068,5
1071,1
1072,4
1073,3
1074,3
1075,1
1077,1
1078,1
1079,3
1080,1
1081,3
1082,2
1083,1
1084,2
1085,3
1087,1
1088,1
1089,3
1090,1
1092,2
1093,2
1094,1
1095,3
1096,1
1097,1
1098,1
1099,2
1100,2
1101,1
1102,1
1103,1
1104,1
1105,4
1107,7
1108,1
1110,1
1111,2
1112,4
1113,1
1114,6
1115,3
1116,3
1118,3
1119,2
1121,1
1122,2
1126,2
1128,1
1129,1
1130,1
1131,2
1132,4
1134,1
1135,3
1136,2
1137,2
1138,1
1139,2
1140,3
