Rank,Frequency
1,1
2,4
3,6
4,7
5,1
6,12
7,7
8,4
9,9
10,10
11,11
12,2
13,5
14,12
15,11
16,14
17,13
18,10
19,5
20,6
21,4
22,2
23,4
24,3
25,2
26,3
27,5
28,4
30,2
31,1
32,2
33,3
34,2
35,1
36,1
37,1
38,1
39,1
41,1
44,1
45,1
48,2
51,5
52,1
53,4
54,1
55,1
56,1
58,2
60,3
62,3
64,1
65,2
66,2
68,1
69,3
70,1
73,2
74,1
75,2
77,2
78,1
79,3
80,3
81,3
84,2
85,2
86,1
87,6
88,2
89,1
90,1
92,1
94,2
95,4
96,1
97,4
98,2
99,3
101,7
102,1
103,7
104,3
106,2
108,3
109,4
110,1
111,3
112,2
113,1
115,1
116,1
117,3
118,1
119,3
120,4
121,2
122,2
123,5
126,7
127,3
128,5
129,1
130,1
131,2
132,2
134,4
135,3
136,2
137,1
138,3
139,2
140,2
141,4
143,3
144,2
146,3
147,4
148,2
149,1
150,2
151,1
152,3
153,1
154,6
155,2
156,3
157,3
158,3
159,3
160,6
161,2
162,1
163,2
164,5
165,2
166,3
167,2
168,2
169,1
170,3
171,4
172,6
173,1
174,4
175,1
176,2
177,6
178,2
179,1
180,6
181,4
182,3
183,5
185,2
186,3
187,1
188,3
189,2
190,2
191,3
192,3
193,2
194,1
195,2
196,1
197,4
198,2
199,1
200,3
201,1
202,3
203,4
205,1
206,4
207,4
208,3
209,3
210,1
211,1
213,4
214,4
215,3
216,3
217,3
218,1
219,3
220,1
221,3
222,2
223,2
224,3
225,2
226,3
227,2
228,2
229,2
231,5
232,2
233,3
234,2
236,3
237,4
238,5
239,3
241,4
242,1
243,1
244,2
245,6
246,5
247,7
248,2
249,2
250,2
251,1
252,1
253,1
254,1
255,2
256,1
257,4
258,1
259,2
260,3
261,4
262,2
263,4
264,3
265,3
266,2
267,2
268,2
269,3
270,2
271,5
272,3
273,3
274,1
275,4
276,4
277,2
278,4
279,1
280,3
281,2
282,5
283,1
284,3
285,5
286,2
287,4
288,1
289,5
290,3
291,6
292,2
293,1
294,4
295,3
297,2
298,4
299,8
300,5
301,2
302,7
303,3
304,2
305,4
306,5
307,3
308,5
309,3
310,3
311,6
312,4
313,3
316,6
317,2
319,2
320,3
321,3
322,3
324,1
325,5
326,3
327,3
328,3
329,1
330,4
332,5
333,1
334,1
335,3
336,1
337,4
338,2
339,3
340,5
341,1
342,5
343,2
345,2
346,2
347,3
348,3
349,1
350,1
351,1
352,1
354,2
356,3
358,1
359,5
360,2
361,1
362,2
363,3
364,2
365,2
366,6
367,3
368,3
369,1
370,3
371,3
372,2
373,4
375,2
376,1
377,2
378,4
379,4
380,7
381,3
382,3
383,2
384,1
385,5
386,4
387,4
388,5
389,2
390,1
391,3
392,2
393,2
394,4
395,5
397,1
398,7
399,1
400,3
401,3
402,2
403,2
405,2
406,2
407,1
408,4
410,1
411,4
412,1
413,3
414,2
415,1
416,6
418,5
419,1
420,3
422,2
423,3
424,1
425,1
426,5
427,3
428,2
429,5
430,3
431,3
432,4
433,2
434,4
435,1
436,2
437,1
438,2
439,2
440,2
442,2
443,2
444,1
445,1
446,2
448,3
449,1
450,4
451,2
452,1
453,6
454,1
455,2
456,3
457,2
458,5
460,3
461,4
463,2
464,1
465,2
466,2
467,2
468,1
469,2
470,1
472,3
473,2
474,5
475,2
476,5
477,1
478,1
480,1
481,4
482,3
483,2
484,1
485,3
486,1
487,2
488,1
489,2
490,2
491,3
492,3
493,1
494,3
495,1
497,1
498,3
499,2
500,1
501,5
502,2
503,5
504,4
505,6
506,5
507,7
508,7
509,8
510,10
511,5
512,2
513,9
514,12
515,9
516,8
517,9
518,17
519,15
520,13
521,19
522,19
523,29
524,16
525,27
526,17
527,25
528,28
529,31
530,40
531,33
532,46
533,36
534,37
535,38
536,41
537,33
538,33
539,41
540,39
541,46
542,46
543,45
544,34
545,29
546,30
547,32
548,31
549,23
550,26
551,26
552,17
553,25
554,17
555,13
556,16
557,9
558,15
559,10
560,8
561,8
562,6
563,6
564,8
565,8
566,6
567,7
568,4
569,1
570,3
571,2
572,1
573,3
574,1
575,4
576,3
577,2
578,1
579,5
580,2
581,2
582,2
583,4
584,1
585,3
586,1
588,1
590,3
591,2
592,1
593,3
595,1
596,3
597,1
598,4
600,1
601,2
602,2
603,3
604,1
605,2
607,1
608,2
609,1
610,2
611,1
612,1
613,4
615,2
617,6
618,1
619,4
620,1
621,3
622,1
623,2
624,2
625,3
626,2
627,3
629,1
630,1
631,4
632,3
633,5
634,1
635,3
636,3
637,4
639,2
640,2
641,1
642,1
643,3
644,2
645,3
646,3
647,2
648,3
649,3
650,1
652,3
653,2
654,1
655,4
656,1
657,5
658,1
659,4
660,3
662,3
663,7
664,3
665,2
666,1
667,3
668,3
669,3
670,3
671,2
672,1
673,5
674,2
675,4
676,3
677,2
678,1
679,2
680,2
681,2
682,2
683,1
684,2
685,1
686,4
687,4
688,4
689,5
690,3
691,2
692,1
693,1
694,2
695,1
696,4
698,1
700,1
701,3
702,2
703,2
704,3
705,1
706,3
707,2
708,2
709,2
712,2
713,2
714,2
715,1
716,2
717,1
718,6
719,5
720,4
721,2
723,1
724,2
725,1
726,3
728,3
729,1
730,2
731,2
733,2
734,3
735,2
736,2
738,4
740,2
741,1
742,1
743,1
744,2
746,1
747,2
748,1
749,5
750,4
751,4
752,5
753,3
754,4
755,6
756,2
757,2
758,3
759,7
760,7
761,4
762,3
763,2
764,4
765,5
766,5
767,8
768,3
769,6
770,3
771,3
772,5
773,5
774,7
775,7
776,4
777,10
778,6
779,12
780,12
781,11
782,13
783,10
784,16
785,11
786,8
787,12
788,20
789,21
790,12
791,20
792,17
793,16
794,12
795,13
796,13
797,17
798,22
799,9
800,13
801,7
802,13
803,8
804,16
805,6
806,11
807,12
808,13
809,10
810,11
811,7
812,11
813,9
814,7
815,5
816,8
817,3
818,8
819,5
820,6
821,6
822,6
823,3
824,6
825,4
826,6
827,5
828,3
829,6
830,4
831,3
832,5
833,2
834,2
835,5
836,2
837,2
838,1
839,1
840,1
841,3
843,2
844,3
845,3
846,1
847,2
848,1
849,1
850,2
851,5
852,1
853,2
855,1
856,2
857,3
858,3
859,6
860,5
861,4
862,2
863,2
864,5
866,5
867,1
868,2
869,3
870,3
871,2
872,2
873,2
874,3
875,1
876,2
877,3
878,3
879,3
880,1
882,2
883,1
884,6
885,2
886,1
887,6
888,5
889,1
890,1
891,4
892,1
893,1
894,2
895,4
896,1
897,3
898,1
899,1
900,1
902,4
903,2
904,2
905,2
906,3
907,1
908,1
909,1
910,3
912,5
913,3
914,2
915,3
916,3
917,2
918,2
919,1
920,2
921,1
922,3
924,1
925,3
926,3
927,3
928,1
930,2
931,1
932,3
933,2
935,1
936,2
937,5
938,2
940,2
941,1
942,1
943,1
944,1
946,1
947,4
949,3
950,1
952,1
953,5
955,2
956,4
957,1
958,4
960,1
961,3
962,1
963,1
964,2
965,2
966,1
967,3
968,2
969,1
970,3
971,2
972,4
973,1
974,2
977,1
978,2
979,2
980,3
981,2
982,3
983,2
984,1
985,2
986,2
987,2
988,1
989,2
990,4
991,1
992,1
993,3
994,2
995,3
996,2
997,2
998,2
999,1
1000,1
1001,5
1002,1
1003,1
1005,2
1006,3
1007,1
1008,2
1009,2
1010,5
1011,1
1012,2
1013,1
1014,1
1015,2
1016,2
1017,2
1018,3
1019,1
1020,3
1021,3
1022,3
1023,2
1024,2
1025,2
1026,3
1027,4
1028,3
1029,1
1030,1
1031,3
1032,2
1033,3
1034,4
1035,1
1036,1
1039,2
1040,2
1041,5
1042,2
1043,3
1044,1
1045,2
1046,2
1047,3
1048,1
1049,1
1050,2
1051,1
1052,3
1053,2
1054,4
1055,3
1056,1
1059,2
1060,7
1061,2
1062,1
1063,2
1064,3
1065,1
1066,1
1067,3
1068,4
1069,1
1070,1
1073,1
1074,1
1075,4
1076,1
1077,3
1078,5
1079,2
1080,2
1081,1
1083,5
1084,1
1086,2
1087,3
1089,3
1090,2
1092,4
1093,2
1094,2
1095,2
1096,4
1097,4
1098,2
1099,4
1100,3
1101,3
1102,2
1103,2
1104,4
1105,1
1106,2
1107,1
1108,2
1109,2
1110,4
1111,1
1112,3
1113,2
1114,3
1115,5
1116,5
1117,3
1118,2
1119,1
1120,3
1121,1
1122,3
1124,3
1125,1
1126,1
1127,3
1128,4
1129,4
1130,3
1131,3
1132,2
1134,4
1135,3
1136,2
1137,6
1138,2
1139,2
1140,2
1141,1
1142,2
1143,2
1144,2
1145,3
1146,1
1148,2
1149,1
1150,4
1151,4
1152,3
1153,1
1154,3
1155,3
1156,1
1157,3
1158,3
1159,2
1160,2
1162,2
1163,2
1164,1
1165,2
1167,1
1168,2
1169,2
1170,4
1171,1
1172,3
1173,1
1174,2
1175,3
1176,4
1178,1
1179,2
1180,2
1181,3
1183,1
1184,3
1185,1
1186,3
1187,3
1188,1
1189,1
1190,2
1192,1
1193,7
1194,5
1195,2
1196,2
1197,1
1198,1
1199,2
1201,4
1202,2
1203,1
1204,3
1206,2
1207,1
1208,3
1210,2
1211,3
1212,3
1213,1
1215,1
1216,2
1217,1
1218,2
1220,3
1222,1
1223,1
1224,2
1225,3
1226,2
1227,1
1231,2
1232,1
1234,1
1235,4
1236,3
1237,3
1238,2
1240,1
1241,2
1242,1
1243,1
1244,4
1246,3
1247,1
1248,1
1249,1
1251,2
1252,1
1253,2
1255,3
1256,1
1257,3
1258,3
1260,3
1261,1
1262,1
1265,3
1266,3
1268,1
1269,1
1270,1
1271,2
1272,4
1273,3
1274,2
1275,2
1276,4
1277,2
1278,1
1280,1
1281,1
1282,5
1283,2
1284,2
1286,3
1287,1
1288,2
1289,2
1291,2
1292,3
1293,1
1294,1
1295,3
1296,2
1297,2
1298,1
1299,1
1300,1
1301,4
1302,4
1305,2
1306,2
1307,2
1308,1
1309,1
1310,3
1311,1
1312,4
1313,3
1314,3
1315,1
1316,2
1317,1
1318,5
1319,2
1320,2
1321,2
1322,2
1323,2
1324,1
1325,3
1327,3
1328,3
1329,1
1330,1
1331,4
1333,2
1334,1
1336,3
1337,2
1338,2
1339,3
1340,1
1341,2
1342,3
1344,2
1345,2
1346,3
1347,2
1348,1
1349,3
1351,2
1353,1
1354,3
1356,3
1357,2
1358,2
1361,1
1363,4
1364,3
1365,1
1366,3
1367,3
1368,3
1369,2
1370,1
1371,3
1372,2
1373,5
1374,4
1375,2
1376,2
1377,1
1378,1
1379,1
1380,2
1381,2
1382,1
1383,6
1384,4
1385,2
1386,3
1387,1
1388,2
1389,2
1391,5
1392,1
1393,2
1395,2
1396,2
1397,2
1398,3
1399,2
1400,4
1401,1
1402,2
1404,2
1406,1
1407,2
1408,2
1409,3
1410,1
1411,1
1412,1
1413,1
1415,3
1416,3
1418,1
1419,2
1420,2
1421,1
1422,4
1423,1
1424,1
1425,3
1426,3
1427,1
1428,1
1429,1
1430,1
1431,2
1433,3
1434,1
1435,2
1436,5
1437,1
1439,2
1440,4
1441,2
1443,1
1444,1
1445,1
1446,6
1447,1
1448,2
1449,4
1450,2
1451,3
1452,1
1453,1
1454,1
1455,2
1457,3
1458,1
1459,1
1464,2
1465,3
1466,1
1467,1
1468,2
1469,1
1471,3
1472,1
1473,1
1474,2
1475,2
1476,1
1477,2
1478,2
1479,3
1480,2
1481,4
1482,1
1483,1
1484,1
1485,1
1486,1
1488,2
1491,1
1495,3
1497,2
1498,1
1499,3
1500,1
1502,3
1503,3
1504,1
1505,1
1506,3
1507,2
1508,2
1509,2
1510,1
1512,2
1513,1
1514,1
1517,1
1520,1
1521,3
1523,1
1524,1
1525,5
1526,2
1527,2
1528,1
1531,1
1532,1
1534,1
1535,1
1536,2
1543,1
1545,1
1548,1
1549,1
1550,2
1551,1
1552,2
1553,1
1554,2
1555,2
1559,1
1560,3
1561,1
1563,1
1568,3
1571,2
1572,1
1573,1
1576,1
1577,2
1579,2
1584,1
1585,1
1588,1
1589,1
1592,1
1594,1
1595,1
1599,1
1601,2
1603,1
1608,1
1609,1
1612,1
1615,1
1618,1
1620,4
1626,2
1629,1
1632,3
1639,1
1642,1
1644,1
1646,3
1649,1
1653,1
1654,1
1656,1
1657,1
1663,1
