Rank,Frequency
1,2
2,1
3,3
4,5
5,1
6,6
7,2
8,6
9,13
10,8
11,5
12,4
13,9
14,12
15,16
16,9
17,7
18,6
19,5
20,5
21,11
22,6
23,11
24,2
25,6
26,6
27,7
28,3
29,3
30,4
31,4
32,5
33,2
34,1
35,7
36,4
37,3
38,2
39,6
40,3
42,2
43,4
44,2
46,5
47,1
48,1
49,2
50,1
52,1
53,1
54,2
55,2
56,1
59,1
62,1
65,2
68,1
70,1
71,2
72,1
73,2
74,1
75,1
76,1
77,1
78,1
80,1
82,1
83,3
84,2
85,2
86,1
87,1
89,2
90,1
91,2
92,1
93,1
95,1
96,1
98,2
101,1
105,2
106,3
107,3
110,2
112,1
115,2
116,3
117,3
119,2
120,2
122,2
123,1
126,1
129,1
130,1
131,2
132,1
134,1
135,1
137,1
138,1
139,1
140,2
141,3
145,3
150,1
153,1
155,2
156,1
158,1
159,3
161,1
164,1
165,1
167,2
168,1
169,2
170,1
171,1
172,2
175,1
176,1
177,2
178,1
179,1
181,1
182,1
183,1
184,1
186,1
188,3
189,1
191,1
192,1
193,2
194,1
195,2
197,2
199,2
200,1
201,1
202,2
203,2
205,1
207,1
210,1
211,1
213,4
215,2
216,1
217,3
218,2
221,4
224,2
225,1
227,2
228,2
229,2
230,2
231,2
233,2
234,1
235,2
236,1
237,1
239,2
240,1
241,3
242,1
243,2
244,1
245,1
247,1
248,3
249,2
250,2
251,1
252,1
253,2
254,1
262,2
266,2
269,1
270,1
271,2
272,2
273,1
274,1
275,1
277,1
278,2
279,2
283,1
285,2
287,2
289,3
290,1
291,1
292,2
293,2
295,2
297,2
299,2
303,1
304,3
305,3
306,1
308,3
310,1
311,2
313,3
314,3
315,2
317,1
318,2
319,2
320,2
321,3
323,1
326,2
328,3
329,2
331,2
332,3
333,1
334,5
336,2
337,4
338,2
339,1
341,2
342,1
344,1
345,1
346,4
347,1
348,3
349,4
350,1
351,2
352,1
354,1
356,1
358,6
360,1
362,1
363,1
367,2
369,1
370,4
371,1
372,4
374,1
375,1
376,3
378,1
379,3
381,2
382,1
383,1
384,1
386,3
387,3
388,1
390,1
392,2
393,1
394,1
395,1
396,2
398,2
399,2
401,2
402,1
405,2
406,1
408,1
409,1
410,2
411,1
412,2
413,1
414,2
415,4
417,2
422,1
424,2
425,6
426,3
427,1
428,1
429,1
432,2
434,1
435,3
436,1
437,1
438,2
439,2
440,2
442,2
443,1
444,2
445,1
447,1
448,2
449,2
450,3
451,5
452,5
453,1
455,1
456,3
458,2
459,3
460,2
461,2
462,2
464,3
465,1
466,1
468,2
469,2
470,2
472,4
473,1
475,5
476,4
477,2
478,1
479,3
480,1
481,2
482,1
483,1
484,1
486,5
488,3
489,3
490,1
491,1
493,1
494,1
495,2
496,1
497,1
498,1
499,1
501,2
502,3
503,2
504,2
506,2
508,3
509,3
510,1
511,1
512,1
513,1
514,1
515,1
516,2
517,3
518,1
519,2
520,2
521,1
522,3
523,1
525,1
526,1
527,1
528,1
529,2
530,2
531,2
532,2
533,1
534,3
535,5
537,3
538,1
545,2
546,1
547,2
548,2
549,2
550,1
551,3
552,2
553,3
554,2
555,1
556,5
557,3
558,3
559,2
561,4
562,1
564,1
565,4
566,1
567,1
568,1
569,3
570,1
572,2
573,1
575,1
576,3
578,1
579,4
580,3
581,2
582,1
583,2
584,3
585,3
586,2
587,2
590,1
591,3
592,1
593,1
594,3
595,2
596,3
597,3
598,2
599,1
600,2
601,3
602,2
603,1
604,6
605,2
606,1
607,1
608,2
609,1
611,1
613,2
614,2
615,1
616,2
617,3
618,2
619,1
620,3
621,1
622,1
623,1
624,1
625,1
626,1
628,2
629,3
630,2
631,1
632,2
633,3
634,1
637,1
638,3
639,3
640,2
641,3
642,2
643,1
644,2
645,3
646,1
647,1
648,2
649,1
650,2
651,2
652,3
653,4
654,3
655,2
656,4
658,5
659,3
660,5
661,4
662,1
663,1
664,5
667,1
668,3
669,2
670,3
671,1
672,2
673,3
674,2
675,2
677,2
678,1
679,2
680,1
681,1
682,2
683,2
684,4
685,2
686,2
687,1
689,3
690,3
692,1
693,1
694,4
696,2
697,1
698,3
699,1
700,1
701,1
702,4
703,1
704,1
707,1
708,1
710,2
711,2
712,1
713,2
714,4
715,1
717,4
718,4
719,1
721,2
722,2
723,1
724,1
725,2
726,2
727,1
728,4
729,3
730,1
731,1
732,1
733,1
734,3
735,2
736,1
737,1
738,3
739,5
741,1
742,4
743,1
744,4
745,4
746,3
747,3
748,2
749,2
750,4
751,2
752,2
753,3
754,3
755,2
756,1
757,1
758,3
759,2
760,3
761,1
763,1
765,3
766,1
767,2
768,2
769,2
770,2
771,2
773,1
774,3
775,4
776,2
777,3
779,1
780,3
781,1
782,2
783,2
784,1
785,1
786,2
787,3
788,2
789,1
790,2
791,1
792,5
795,2
796,2
797,2
799,2
801,1
802,1
803,2
804,1
805,3
806,1
807,1
808,1
809,1
810,6
811,3
813,2
814,2
815,3
816,1
817,2
818,1
819,3
820,4
822,2
823,5
824,1
825,5
826,1
827,3
828,1
829,5
830,3
831,2
832,3
833,4
834,3
836,2
838,4
839,3
840,3
841,2
842,3
843,3
844,1
845,2
846,2
847,1
848,2
849,2
850,3
851,2
852,6
854,1
855,3
856,1
857,3
859,1
861,2
862,1
863,5
864,4
865,6
866,2
867,2
868,1
869,2
870,3
872,1
873,3
874,2
877,2
878,1
880,6
881,1
882,2
885,4
886,3
887,1
888,4
889,1
890,3
891,1
892,4
893,5
894,3
895,2
896,1
897,2
899,1
900,4
901,2
902,4
903,2
904,4
905,3
906,4
907,1
908,2
909,2
910,4
912,2
913,2
914,3
915,4
916,3
917,1
918,1
919,4
920,2
921,3
923,5
924,2
925,2
926,6
927,4
928,3
929,3
930,1
931,2
934,5
936,2
937,2
939,2
940,1
941,4
942,1
944,4
946,3
947,2
948,2
949,3
950,1
951,2
953,2
954,1
955,2
956,2
957,2
958,3
959,1
960,1
961,2
962,1
963,1
964,2
965,1
966,1
967,5
968,5
970,2
971,4
972,1
973,1
974,1
975,4
976,1
977,3
978,2
979,5
980,2
981,3
982,1
983,2
984,1
985,4
986,2
987,3
988,8
990,1
991,1
992,1
994,2
995,2
996,3
997,4
998,2
999,2
1000,2
1002,5
1003,1
1004,1
1005,2
1006,3
1007,2
1008,4
1009,1
1010,1
1011,3
1012,3
1014,1
1015,6
1016,3
1017,2
1018,1
1019,1
1020,1
1021,3
1022,5
1024,3
1025,1
1026,4
1027,1
1028,2
1029,3
1032,2
1033,2
1034,4
1035,1
1036,3
1037,3
1038,3
1039,2
1040,3
1041,1
1042,5
1043,1
1044,2
1045,4
1046,1
1047,2
1048,2
1049,1
1050,1
1051,2
1052,1
1053,2
1055,2
1056,2
1057,5
1058,2
1059,2
1060,2
1061,2
1062,5
1063,2
1064,2
1065,2
1066,5
1067,3
1068,4
1069,3
1070,1
1071,1
1072,3
1073,2
1074,1
1075,5
1076,2
1077,3
1078,1
1079,2
1080,1
1081,4
1082,2
1083,1
1084,2
1085,2
1086,4
1087,1
1088,3
1089,6
1090,3
1091,1
1092,2
1093,4
1094,1
1095,2
1096,2
1097,2
1098,7
1099,4
1100,3
1101,5
1102,6
1103,5
1104,4
1105,3
1106,3
1107,3
1108,3
1109,3
1110,2
1111,3
1112,3
1113,3
1114,1
1115,3
1116,5
1117,2
1118,1
1119,2
1120,4
1121,2
1122,3
1123,4
1124,8
1125,3
1126,2
1127,1
1128,1
1129,1
1130,5
1131,2
1132,3
1133,3
1134,3
1135,3
1136,3
1137,4
1138,1
1139,3
1140,2
1141,1
1142,6
1143,3
1144,7
1145,4
1146,4
1147,9
1148,6
1149,6
1150,7
1151,6
1152,8
1153,3
1154,10
1155,10
1156,16
1157,9
1158,10
1159,12
1160,14
1161,20
1162,13
1163,16
1164,24
1165,16
1166,16
1167,19
1168,18
1169,9
1170,14
1171,16
1172,23
1173,16
1174,15
1175,22
1176,15
1177,12
1178,23
1179,18
1180,23
1181,18
1182,15
1183,13
1184,10
1185,17
1186,8
1187,9
1188,12
1189,2
1190,9
1191,8
1192,6
1193,7
1194,4
1195,6
1196,3
1197,7
1198,5
1199,5
1200,4
1201,3
1202,7
1203,5
1204,3
1205,3
1206,2
1207,4
1208,6
1209,2
1210,5
1211,2
1212,2
1214,3
1215,5
1216,1
1217,6
1218,3
1219,3
1220,2
1221,2
1222,3
1223,1
1224,4
1225,2
1226,2
1227,3
1228,4
1229,5
1230,10
1232,2
1235,1
1236,3
1237,1
1238,1
1240,4
1241,4
1242,1
1243,6
1244,3
1245,4
1246,1
1247,2
1248,1
1249,3
1250,1
1251,3
1252,3
1253,2
1254,4
1255,3
1256,2
1257,2
1258,4
1259,2
1260,7
1261,2
1262,4
1263,6
1264,3
1265,3
1266,2
1267,6
