Rank,Frequency
1,3
2,5
3,4
4,4
5,8
6,9
7,6
8,9
9,10
10,9
11,9
12,4
13,8
14,11
15,10
16,8
17,7
18,10
19,8
20,9
21,7
22,5
23,3
24,8
25,7
26,5
27,10
28,13
29,4
30,6
31,8
32,5
33,5
34,1
35,8
36,3
38,5
39,5
40,4
41,2
42,3
43,1
44,1
45,1
46,2
47,4
48,2
49,2
50,1
51,2
53,5
54,2
55,2
56,3
57,2
58,1
59,1
60,3
61,1
62,1
63,2
64,3
65,3
66,6
68,1
69,2
71,1
72,1
73,2
75,1
76,2
77,3
78,3
79,5
80,1
81,2
82,3
83,2
84,2
85,3
86,2
87,2
88,1
89,4
91,1
92,1
93,1
94,3
96,1
99,2
100,1
101,1
102,2
103,1
104,5
105,2
106,3
107,7
108,3
109,8
110,6
111,6
112,7
113,14
114,10
115,13
116,21
117,29
118,25
119,26
120,29
121,24
122,28
123,27
124,26
125,32
126,34
127,29
128,28
129,24
130,21
131,11
132,14
133,15
134,13
135,13
136,9
137,13
138,8
139,5
140,4
141,4
142,2
143,9
144,4
145,2
146,2
147,1
148,2
149,1
150,2
151,1
152,1
153,1
156,3
157,1
159,1
160,4
161,2
162,1
163,2
164,1
165,2
166,2
167,2
168,1
169,2
171,1
172,1
173,1
176,1
177,1
178,1
180,1
181,2
183,2
184,2
185,2
186,2
187,1
189,2
190,4
192,1
193,5
194,5
195,2
196,2
197,1
198,3
199,3
200,2
201,2
202,1
203,3
204,2
206,2
207,2
208,2
209,1
210,1
213,3
214,1
215,1
216,2
217,2
218,4
219,1
220,3
221,1
223,1
224,5
226,2
227,2
230,2
231,3
232,4
233,6
234,1
235,1
236,2
237,3
238,1
240,2
241,1
242,3
246,1
247,1
248,5
249,1
250,2
251,2
252,2
253,1
254,2
256,2
258,1
259,4
261,3
262,1
263,1
264,1
265,2
266,2
267,2
268,4
270,1
271,2
273,1
274,1
276,3
277,2
279,5
281,2
283,1
284,1
286,1
287,1
288,1
290,3
291,3
292,2
293,2
294,3
295,2
296,2
298,2
299,3
300,3
301,1
302,2
306,1
307,2
308,2
310,3
311,1
312,1
314,3
315,2
316,3
317,3
318,2
319,1
321,1
323,1
325,2
326,2
327,4
328,1
330,1
331,1
333,3
334,2
335,1
337,2
339,1
340,3
341,2
342,1
343,1
344,5
345,1
346,2
347,3
348,1
349,2
351,2
352,2
354,2
355,1
356,2
358,1
359,1
360,1
361,1
363,1
364,2
365,1
366,1
368,2
369,1
370,4
372,2
373,2
375,3
376,2
377,2
379,1
380,2
381,2
383,1
384,1
385,1
386,4
387,2
388,2
389,1
390,1
391,2
392,1
393,2
395,1
396,2
397,1
398,1
399,3
400,2
401,2
402,3
404,2
405,3
406,3
407,1
408,1
409,2
410,1
411,2
412,2
413,1
415,1
416,1
417,1
418,1
419,3
420,1
421,2
422,1
423,1
425,3
426,1
427,1
429,1
431,1
432,3
433,2
434,2
435,1
436,3
437,1
438,1
439,2
441,1
442,1
443,1
446,1
447,2
448,1
449,1
450,2
451,3
452,3
454,2
455,3
456,2
457,2
458,2
459,3
460,2
461,2
462,1
463,2
464,2
465,1
466,2
468,3
470,2
471,4
472,2
473,1
476,3
477,1
478,1
480,2
481,3
483,3
484,1
485,2
486,1
487,1
488,3
489,1
491,2
492,4
494,3
497,3
498,2
499,2
500,1
501,1
502,3
504,1
505,2
506,1
507,2
508,1
509,2
510,2
511,1
514,1
515,1
516,3
517,2
522,2
523,3
524,4
525,4
526,1
527,2
530,3
531,1
534,2
535,4
536,1
537,1
538,1
539,1
540,1
541,2
542,1
544,1
546,2
547,1
548,1
549,1
550,2
551,1
552,2
553,2
554,3
555,1
556,1
557,1
558,4
560,2
561,3
562,3
564,2
565,1
567,1
568,2
570,5
573,1
574,2
576,2
577,3
578,1
580,1
581,1
582,3
583,3
584,1
585,1
586,1
587,3
588,3
589,1
591,1
592,2
594,1
595,3
596,4
597,2
599,1
600,3
601,1
602,3
604,4
605,2
606,2
607,4
608,2
609,2
610,1
611,2
612,1
614,4
615,3
616,3
617,1
618,1
620,4
621,1
622,4
623,2
625,1
626,2
627,2
628,1
629,2
630,1
631,4
632,1
633,1
635,1
639,2
640,1
641,2
642,2
643,1
645,2
647,1
648,2
649,2
650,2
651,2
652,2
653,1
654,2
655,1
658,3
659,1
660,4
661,2
664,2
665,1
666,1
667,1
668,1
669,3
670,2
672,1
673,3
674,2
676,1
677,1
678,2
679,2
680,2
682,1
683,1
685,1
687,4
688,1
689,1
690,1
691,1
692,1
693,1
694,2
695,3
697,3
698,1
699,4
700,2
701,1
703,1
705,2
706,6
707,1
708,2
709,3
710,1
711,5
713,2
714,3
715,3
716,1
718,1
719,2
721,4
723,2
724,2
725,2
726,1
727,2
728,1
729,2
730,2
731,2
732,2
733,2
734,3
735,3
736,4
737,2
738,2
739,1
740,2
741,3
742,2
743,1
744,1
745,2
746,1
747,1
750,3
751,1
752,1
753,5
754,2
755,1
758,1
759,2
761,5
762,1
764,1
765,1
766,3
769,1
772,4
773,4
774,2
775,1
776,2
777,2
778,1
779,1
780,1
782,1
