Rank,Frequency
2,1
3,2
4,7
5,6
6,9
7,8
8,18
9,8
10,11
11,11
12,13
13,6
14,14
15,18
16,14
17,10
18,10
19,6
20,5
21,9
22,5
23,10
24,5
25,10
26,3
27,10
28,2
29,6
30,3
31,6
32,7
33,7
34,4
35,3
36,3
37,3
38,1
39,6
40,7
41,4
42,4
43,4
44,1
45,1
46,1
47,1
48,3
49,3
50,1
51,3
53,2
54,1
55,2
56,2
57,1
58,1
61,1
63,1
65,1
68,1
69,1
74,1
75,1
79,2
81,1
82,2
83,2
84,4
85,1
90,1
91,3
92,1
93,1
94,3
95,1
97,2
98,2
99,1
100,2
101,2
102,1
104,1
108,1
109,1
110,2
112,2
115,2
118,1
120,2
121,2
123,1
124,2
126,2
127,2
130,2
132,1
133,2
134,1
135,1
136,3
137,2
138,1
139,1
140,2
143,1
145,1
147,1
150,1
151,3
152,1
154,3
155,1
156,2
157,1
158,2
159,1
160,2
161,2
163,1
164,4
165,4
166,1
167,3
168,5
169,1
170,1
171,1
172,4
173,2
174,1
175,1
178,2
180,2
181,1
183,1
184,2
185,1
187,3
188,1
190,1
191,3
194,2
195,2
196,3
197,1
198,1
199,3
201,5
202,3
203,3
204,1
205,1
206,1
207,2
209,3
210,2
211,1
213,1
216,1
217,1
218,1
222,3
224,1
225,3
226,2
227,1
229,2
230,2
231,2
235,2
236,2
239,1
240,1
241,2
243,2
244,5
245,3
246,1
247,1
248,2
249,1
250,3
251,1
252,2
253,1
255,1
256,4
259,3
260,4
261,1
262,1
264,2
265,2
266,1
267,3
268,1
269,3
270,1
271,1
272,2
273,1
275,1
277,1
278,1
279,2
280,3
282,1
284,1
285,3
286,1
287,3
288,3
289,1
290,1
292,2
293,2
294,2
296,1
297,3
298,1
299,2
300,2
301,2
302,4
305,3
306,2
307,3
308,1
309,2
311,1
313,3
316,2
317,2
318,2
319,2
320,3
321,1
322,4
323,2
324,1
325,2
326,2
327,2
328,1
330,1
331,1
332,2
334,1
335,2
336,1
337,1
339,1
340,1
341,1
342,2
343,2
344,3
346,1
348,3
349,1
352,1
353,1
354,2
356,2
358,1
359,4
360,1
361,3
362,2
363,3
365,2
366,1
367,2
368,1
369,2
370,1
372,1
373,2
374,1
376,3
378,2
379,1
380,1
382,2
383,2
384,3
386,2
387,2
388,1
389,1
390,1
391,2
392,1
394,3
396,1
397,2
398,1
399,3
400,3
401,1
402,1
403,2
404,3
405,3
406,5
407,1
409,2
410,2
412,1
414,2
415,1
416,1
417,4
418,1
420,2
421,2
422,1
423,1
424,1
425,3
426,3
428,1
430,3
431,1
432,1
434,3
435,3
437,2
438,2
439,1
441,3
442,1
443,1
444,1
446,4
447,3
448,1
449,3
450,1
451,1
452,3
453,1
454,1
455,2
457,1
459,4
460,3
462,2
463,1
464,1
465,1
466,3
467,2
468,1
469,1
473,1
474,2
475,1
476,2
477,1
478,2
481,1
482,1
483,1
484,1
486,4
487,1
488,2
489,1
490,2
491,4
492,4
493,5
494,3
495,1
496,1
497,1
498,1
499,2
500,2
501,2
502,2
503,1
505,1
506,1
508,1
509,2
514,2
516,1
518,4
519,2
521,1
522,3
523,1
524,4
525,2
526,2
528,1
529,1
530,2
531,2
532,3
533,2
534,4
535,2
536,1
537,5
539,2
540,1
541,1
542,1
543,2
544,2
545,3
546,1
547,1
549,1
550,1
551,2
552,1
553,4
555,1
556,2
558,2
562,3
563,1
564,2
565,4
566,1
568,1
569,1
570,1
571,1
572,2
575,3
578,2
579,1
580,1
582,1
583,3
584,2
586,1
587,1
588,3
590,2
591,3
592,1
594,3
595,2
596,1
597,1
598,2
599,4
600,3
601,2
602,1
603,1
604,3
605,1
606,1
607,2
608,1
609,3
610,1
611,4
613,3
614,1
615,2
616,1
618,5
619,3
621,5
622,4
623,1
624,2
626,2
627,3
628,3
629,3
630,1
631,3
632,1
633,2
634,2
636,2
637,1
638,3
639,3
641,2
642,3
644,1
645,1
647,3
648,1
649,1
650,2
651,1
652,2
653,5
654,1
655,3
656,1
657,1
658,1
659,2
660,1
662,2
663,2
664,2
666,4
667,4
668,2
669,4
670,3
671,1
672,4
673,1
674,3
678,4
679,2
680,4
681,3
682,2
684,1
685,2
686,1
687,6
688,3
689,3
690,1
691,2
692,2
693,1
694,2
697,1
699,3
700,3
701,2
702,4
704,2
705,1
706,2
708,2
709,1
710,3
711,2
713,2
714,2
715,1
716,4
717,3
718,4
719,1
720,2
721,2
722,1
723,1
724,3
725,1
726,1
728,2
729,4
731,4
732,3
733,2
734,1
735,2
736,2
737,3
738,2
739,1
740,4
741,2
742,3
746,4
747,2
748,1
749,2
751,1
753,3
754,2
755,4
756,7
757,2
758,3
759,1
760,3
761,2
762,3
763,1
767,2
769,3
770,2
771,2
773,1
774,2
776,3
777,2
778,3
779,5
780,6
781,4
782,1
783,3
786,3
787,2
788,4
789,2
790,1
791,4
792,4
793,1
794,5
795,1
796,2
797,2
798,2
799,3
800,2
801,1
802,3
803,2
804,2
805,2
806,1
807,1
808,1
809,3
810,1
811,2
812,3
813,2
814,3
816,2
819,1
821,4
822,5
823,5
824,1
825,1
826,2
827,2
828,1
830,4
831,1
832,3
834,3
835,2
836,4
837,1
839,1
840,3
841,3
843,1
845,1
846,2
847,1
848,3
849,2
851,5
853,2
854,1
855,3
856,4
857,3
858,2
859,5
860,2
861,1
862,3
864,2
865,3
866,1
867,2
868,2
869,1
871,2
872,3
873,3
874,5
877,2
878,2
879,1
880,2
882,1
884,1
885,1
886,1
887,2
888,3
889,2
891,4
892,4
893,3
894,1
895,2
898,2
899,1
900,1
901,3
903,1
904,2
905,3
906,2
907,2
909,3
910,2
911,1
912,1
913,1
914,2
915,2
916,3
917,2
918,1
919,4
920,1
921,2
922,1
923,4
924,1
925,3
927,2
928,2
929,1
930,2
931,2
932,1
933,4
934,4
935,3
936,1
937,1
938,2
939,2
940,4
941,3
942,3
943,2
944,2
945,1
946,1
947,2
948,2
949,1
950,4
951,3
952,2
953,1
954,2
955,1
956,2
957,3
958,3
959,3
960,1
961,5
962,2
963,3
964,1
965,2
966,2
967,3
968,2
969,1
970,3
971,4
972,2
974,3
975,3
976,3
977,4
978,3
979,3
980,1
981,3
982,1
983,1
984,1
985,3
986,3
987,2
988,1
989,3
991,3
993,3
994,2
995,3
996,7
997,1
998,3
999,1
1000,1
1001,1
1003,2
1004,1
1005,1
1006,1
1007,3
1008,1
1009,2
1010,5
1011,2
1012,4
1013,1
1014,1
1016,2
1017,1
1018,2
1019,1
1020,2
1022,2
1023,2
1025,1
1026,2
1027,1
1028,2
1029,1
1030,1
1031,2
1032,2
1033,5
1034,3
1035,1
1036,1
1037,2
1038,2
1039,2
1040,1
1041,2
1042,2
1043,1
1044,1
1045,3
1046,2
1047,2
1048,2
1049,4
1050,1
1051,3
1052,3
1053,3
1054,2
1055,3
1056,1
1057,3
1058,1
1059,2
1060,1
1061,2
1062,1
1064,3
1065,2
1066,1
1067,7
1068,1
1069,1
1070,2
1071,4
1072,3
1073,2
1074,2
1075,1
1077,1
1078,1
1079,1
1080,3
1081,4
1082,1
1083,2
1084,1
1085,2
1086,3
1087,1
1088,3
1089,4
1090,1
1091,3
1092,1
1093,3
1094,4
1095,2
1096,2
1097,5
1098,2
1099,3
1100,1
1101,2
1102,1
1103,2
1104,3
1105,2
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,5
1113,2
1114,2
1115,2
1117,3
1118,1
1120,1
1121,3
1122,2
1123,1
1124,2
1125,3
1126,1
1127,4
1128,4
1129,3
1131,3
1132,1
1133,3
1134,2
1135,3
1137,5
1138,2
1139,2
1140,4
1141,2
1142,3
1143,1
1144,2
1145,3
1146,2
1147,1
1148,1
1149,2
1150,1
1151,1
1152,1
1154,4
1155,3
1156,2
1157,1
1158,2
1159,3
1160,5
1161,1
1162,1
1163,2
1165,3
1166,2
1167,3
1168,3
1169,2
1171,2
1173,1
1174,3
1175,3
1176,4
1178,6
1179,2
1180,3
1181,1
1183,2
1184,4
1185,2
1186,1
1187,2
1188,2
1189,1
1190,4
1192,2
1193,3
1194,1
1195,2
1196,3
1197,1
1198,3
1199,3
1201,4
1202,1
1203,1
1204,3
1205,3
1207,1
1208,1
1209,2
1210,2
1211,2
1212,2
1213,4
1214,2
1215,1
1216,3
1217,3
1218,4
1219,4
1220,4
1221,1
1222,1
1223,3
1224,2
1225,1
1226,5
1229,2
1230,3
1231,2
1232,2
1233,3
1234,1
1235,3
1236,1
1237,5
1238,2
1239,2
1240,1
1241,3
1242,3
1244,1
1245,4
1246,1
1247,4
1248,2
1250,2
1251,3
1252,4
1253,2
1254,3
1255,1
1256,1
1257,3
1258,1
1259,2
1260,1
1261,2
1262,7
1263,4
1264,4
1265,7
1266,2
1267,4
1270,2
1272,1
1273,1
1274,2
1275,1
1276,3
1279,2
1280,1
1281,2
1282,3
1283,3
1284,2
1285,4
1286,2
1288,1
1289,1
1290,2
1291,3
1292,1
1293,3
1294,2
1295,2
1296,4
1297,3
1298,4
1299,2
1300,2
1303,1
1304,3
1305,1
1306,1
1307,5
1308,4
1309,1
1310,1
1311,3
1312,4
1313,1
1314,2
1315,2
1316,1
1317,4
1319,1
1320,1
1322,2
1323,1
1324,2
1326,3
1327,1
1328,2
1329,3
1330,2
1331,3
1332,5
1333,5
1334,5
1335,3
1339,3
1340,4
1341,3
1342,2
1343,1
1344,4
1345,1
1346,1
1347,2
1348,4
1349,2
1350,4
1351,1
1352,2
1354,4
1355,1
1356,4
1357,3
1358,1
1359,2
1360,4
1361,2
1363,3
1364,2
1365,3
1366,2
1367,1
1368,4
1370,1
1371,2
1372,5
1373,3
1374,2
1375,5
1376,2
1377,3
1378,1
1379,3
1380,4
1381,1
1382,2
1383,1
1384,1
1385,3
1386,1
1387,5
1388,3
1390,1
1391,4
1393,2
1394,1
1395,3
1396,2
1397,2
1398,3
1399,2
1400,1
1402,1
1403,3
1405,3
1406,1
1407,6
1408,3
1409,2
1410,4
1411,4
1412,2
1413,1
1414,4
1415,2
1416,2
1417,2
1418,3
1421,3
1422,3
1423,1
1424,2
1425,1
1426,3
1427,3
1428,4
1429,3
1430,3
1431,5
1432,1
1433,1
1434,2
1435,3
1436,1
1437,5
1438,3
1440,4
1441,2
1442,2
1443,1
1444,1
1445,1
1446,2
1447,3
1448,2
1449,2
1450,4
1451,1
1452,1
1453,4
1454,5
1455,2
1456,4
1457,3
1458,1
1459,2
1461,2
1462,3
1463,2
1464,2
1465,3
1466,3
1467,4
1468,3
1469,4
1470,5
1471,8
1472,6
1473,6
1474,10
1475,10
1476,11
1477,13
1478,11
1479,19
1480,20
1481,20
1482,27
1483,34
1484,38
1485,36
1486,48
1487,52
1488,49
1489,44
1490,48
1491,42
1492,63
1493,35
1494,43
1495,49
1496,36
1497,33
1498,27
1499,25
1500,17
1501,17
1502,17
1503,10
1504,10
1505,11
1506,8
1507,6
1508,13
1509,1
1510,5
1511,3
1512,4
1513,3
1514,2
1515,2
1516,1
1517,2
1518,1
1519,2
1520,3
1521,3
