Rank,Frequency
1,1
2,2
4,1
5,1
6,1
7,5
8,3
9,1
10,3
11,1
12,2
13,1
15,1
19,2
20,1
21,1
25,1
26,1
28,1
29,1
30,2
33,1
34,1
35,1
39,3
41,2
42,1
43,1
44,1
46,4
47,2
50,1
51,3
52,1
54,2
55,3
56,2
58,1
59,1
60,1
63,3
64,4
65,2
66,1
67,3
69,4
70,2
71,1
73,1
74,2
75,3
76,1
77,3
78,1
79,1
80,3
81,1
82,1
83,1
84,5
85,6
86,2
87,4
88,2
89,2
90,3
91,5
92,5
93,2
94,4
95,3
96,3
97,2
98,3
99,4
101,4
102,1
104,3
105,1
106,3
107,4
108,3
109,5
110,2
111,1
112,4
113,2
114,7
115,1
116,1
117,4
118,3
119,1
120,1
121,8
122,2
123,4
125,3
126,3
127,3
128,3
129,1
130,3
131,4
132,4
133,7
134,4
135,3
136,4
137,2
138,3
139,3
140,3
141,3
142,3
143,6
144,5
145,2
146,3
147,4
148,2
149,1
150,2
151,6
153,3
154,4
155,1
156,3
157,1
158,2
159,5
160,4
161,7
162,2
163,4
164,3
165,1
166,1
167,3
168,2
170,3
171,2
172,6
173,2
174,4
175,3
176,2
177,5
178,4
179,6
180,2
181,4
182,1
183,2
184,1
185,4
186,1
187,3
188,1
189,3
190,2
191,4
193,4
194,4
195,2
196,5
197,3
198,4
199,4
200,1
201,2
202,4
203,5
204,2
205,6
206,4
207,4
208,6
209,3
210,6
211,4
212,10
213,3
214,6
215,6
216,7
217,4
218,9
219,7
220,9
221,9
222,7
223,4
224,12
225,10
226,5
227,3
228,8
229,7
230,5
231,6
232,6
233,8
234,6
235,6
236,4
237,5
238,4
239,4
240,8
241,7
242,1
243,3
245,6
246,2
247,4
248,1
249,1
250,2
251,2
252,4
253,4
254,6
255,3
256,1
257,7
258,3
259,2
260,7
261,2
262,1
263,3
264,1
265,3
266,3
267,5
268,3
269,5
270,4
271,6
272,2
273,4
274,5
275,1
276,2
277,5
278,4
279,2
280,2
281,3
282,3
283,4
285,2
287,1
288,3
289,3
290,4
291,3
292,2
293,4
294,1
295,3
296,6
297,4
298,6
300,4
301,5
302,2
303,1
304,5
305,4
306,6
307,4
308,4
309,4
310,6
311,2
312,4
313,3
314,2
315,3
316,5
317,4
318,4
319,3
320,3
321,2
322,4
323,3
324,3
325,3
326,1
327,3
328,8
329,3
330,3
331,4
332,4
333,2
334,4
335,3
336,7
337,3
338,2
339,5
340,2
341,3
342,6
343,7
344,2
345,5
346,2
347,3
348,4
349,2
350,3
351,3
352,4
353,2
354,4
355,1
356,3
357,2
358,2
359,6
360,3
361,2
362,1
363,4
364,3
365,2
366,2
367,3
368,3
369,4
370,2
371,4
372,1
373,2
374,2
375,5
376,3
377,2
378,3
379,1
380,5
381,3
382,4
384,4
385,5
386,3
387,6
388,2
389,3
390,2
391,4
392,3
393,2
395,3
396,7
397,8
398,11
399,7
400,6
401,11
402,14
403,7
404,13
405,18
406,18
407,17
408,14
409,12
410,18
411,18
412,24
413,26
414,27
415,36
416,34
417,31
418,39
419,29
420,35
421,40
422,32
423,46
424,47
425,47
426,38
427,39
428,42
429,35
430,25
431,39
432,33
433,33
434,34
435,29
436,27
437,21
438,30
439,19
440,18
441,16
442,15
443,11
444,15
445,15
446,10
447,11
448,4
449,9
450,7
451,11
452,9
453,5
454,5
455,3
456,6
457,5
458,5
459,2
460,3
461,1
462,3
463,2
464,3
465,3
466,4
467,3
468,2
469,5
470,1
471,5
472,3
473,5
474,1
475,2
476,1
478,1
479,4
481,6
482,3
483,5
484,3
485,2
486,5
487,2
488,8
489,4
490,4
491,2
492,5
493,8
494,5
495,6
496,6
497,8
498,5
499,10
500,10
501,8
502,12
503,6
504,11
505,12
506,7
507,11
508,11
509,11
510,14
511,10
512,11
513,10
514,10
515,11
516,18
517,11
518,12
519,8
520,11
521,23
522,7
523,13
524,13
525,14
526,5
527,7
528,4
529,9
530,7
531,3
532,9
533,3
534,7
535,6
536,7
537,6
538,4
539,7
540,4
541,4
542,4
543,3
544,7
545,7
546,5
547,4
548,3
549,1
550,1
551,2
552,2
553,1
554,3
555,7
556,3
557,4
558,2
559,2
560,3
561,1
562,1
563,5
564,4
565,2
567,2
569,2
570,1
571,3
572,3
574,5
575,1
578,3
580,1
581,3
582,3
584,8
585,2
586,4
587,2
588,2
589,1
591,1
592,1
593,1
595,1
596,6
598,3
599,2
600,2
601,2
602,4
603,2
604,1
605,3
606,2
607,2
608,3
609,1
610,3
611,3
613,1
