Rank,Frequency
1,5
2,4
3,2
4,3
5,3
6,5
7,8
8,5
9,8
10,7
11,13
12,8
13,9
14,10
15,3
16,5
17,9
18,10
19,12
20,11
21,14
22,5
23,9
24,8
25,4
26,12
27,3
28,4
29,5
30,12
31,6
32,5
33,5
34,9
35,5
36,3
37,4
38,6
39,7
40,1
41,4
42,3
43,3
45,4
46,6
47,5
48,4
49,2
50,6
51,5
52,4
53,4
55,3
56,1
57,4
59,2
60,1
61,3
62,2
63,6
64,2
69,3
70,3
71,2
72,4
74,1
75,2
76,3
77,2
79,1
80,2
81,1
82,5
83,1
84,1
85,2
86,2
87,3
88,2
89,4
90,2
91,1
92,1
93,1
94,2
95,4
96,2
97,1
98,1
100,1
101,1
102,1
103,3
104,3
105,2
106,2
107,2
108,2
109,1
110,1
112,4
113,1
115,1
118,1
119,2
120,2
122,1
123,4
124,2
125,2
127,1
128,2
129,2
131,3
132,1
133,3
135,6
137,3
138,1
139,3
143,1
144,1
145,3
146,2
149,1
150,1
151,1
153,1
154,3
155,4
156,2
157,3
158,6
159,2
160,13
161,6
162,5
163,7
164,17
165,13
166,11
167,16
168,25
169,25
170,30
171,40
172,44
173,39
174,51
175,39
176,46
177,39
178,51
179,41
180,47
181,50
182,66
183,30
184,38
185,54
186,44
187,37
188,42
189,28
190,26
191,22
192,13
193,12
194,11
195,12
196,8
197,9
198,7
199,4
200,1
201,4
202,8
204,6
205,1
206,2
207,2
209,3
210,1
211,2
212,3
213,2
215,2
217,1
218,3
219,2
220,2
222,2
223,1
224,2
225,1
226,2
227,3
228,2
229,1
231,1
232,2
234,3
235,2
236,3
238,2
239,3
240,2
241,2
242,2
246,2
247,4
249,1
250,2
251,1
252,2
253,1
254,1
255,1
257,1
258,1
259,1
260,3
261,2
262,2
263,1
264,1
265,1
266,2
267,2
268,2
269,1
270,3
271,3
272,2
273,3
274,2
275,3
276,1
277,1
278,1
279,1
280,2
281,2
282,1
284,2
285,1
286,2
287,1
288,2
289,2
291,4
292,1
293,1
294,2
295,5
296,1
297,1
298,2
299,1
300,2
301,1
302,1
303,1
305,2
306,2
307,4
309,1
312,1
313,1
314,2
316,2
318,1
319,1
320,1
321,3
322,3
323,2
324,3
326,5
327,1
328,4
329,1
330,3
331,3
332,2
334,2
335,1
336,2
340,2
341,2
342,1
344,2
345,1
346,2
347,2
348,2
351,1
352,1
353,1
355,2
356,2
357,5
358,3
359,2
360,3
361,1
363,3
364,2
365,2
366,3
367,2
368,2
370,1
371,2
372,4
373,2
374,2
375,1
376,1
377,2
378,5
379,2
380,1
381,3
383,1
384,1
385,1
389,2
392,2
394,2
395,1
396,2
397,2
398,4
399,2
400,4
401,1
402,2
403,1
404,1
405,1
