Rank,Frequency
1,1
3,1
6,5
7,3
8,1
9,4
10,6
11,6
12,1
13,5
14,10
15,5
16,9
17,2
18,6
19,7
20,7
21,6
22,8
23,6
24,7
25,3
26,2
27,5
28,7
29,10
30,6
31,7
32,5
33,4
34,4
35,7
36,6
37,5
38,5
39,8
40,4
41,7
42,6
44,2
45,4
46,1
47,2
48,4
49,3
50,1
51,3
52,2
53,1
54,4
56,3
57,2
58,1
59,4
61,1
62,1
63,1
64,2
65,1
66,1
67,1
68,1
69,2
70,4
71,1
73,2
78,1
79,3
80,1
81,2
83,1
86,1
89,1
90,1
92,1
93,2
95,1
97,1
99,1
101,2
102,2
103,1
104,1
109,2
111,2
113,2
115,3
116,1
118,1
119,2
120,1
122,2
123,1
124,1
125,2
127,1
128,1
129,1
130,2
131,2
134,3
136,1
138,1
140,1
141,1
142,4
143,1
148,1
150,1
152,2
154,1
157,1
158,1
160,2
161,1
162,2
163,1
164,1
166,1
169,2
170,3
171,1
172,1
173,2
174,2
176,3
177,1
179,1
181,1
183,1
184,3
185,1
187,1
188,4
190,1
192,1
193,1
195,2
198,2
199,1
200,1
201,1
202,1
203,2
204,1
205,4
206,1
207,1
208,1
209,1
210,1
212,2
216,2
220,2
221,3
226,1
228,2
230,1
231,1
233,2
234,1
235,2
236,1
239,2
242,4
245,3
246,1
247,2
248,2
249,3
253,1
256,1
260,1
262,1
266,1
267,2
269,3
272,2
273,1
274,2
275,1
276,1
279,1
280,1
282,1
283,1
284,3
285,2
287,2
288,1
289,1
290,1
291,1
292,1
295,1
297,1
300,1
301,2
302,2
303,1
304,2
305,2
309,3
310,2
312,2
313,3
315,2
317,1
319,2
320,2
322,1
323,1
324,1
326,1
327,3
328,1
329,1
332,1
333,2
336,2
337,2
338,1
339,3
340,1
345,2
347,2
350,2
352,3
353,3
355,1
357,1
358,2
359,1
360,2
361,1
362,1
364,4
365,1
366,2
367,3
368,1
369,1
370,3
373,1
375,2
376,1
377,1
378,3
380,1
383,1
384,1
385,1
387,1
388,1
390,2
394,1
396,1
397,2
399,1
400,1
401,2
402,2
404,1
406,3
408,1
410,3
411,3
413,3
414,1
415,3
418,1
420,3
421,3
423,1
424,2
425,2
426,1
427,1
428,1
429,1
430,1
431,3
433,1
435,1
436,1
438,1
439,2
440,2
441,1
442,2
443,1
445,1
446,1
447,1
452,1
453,2
456,1
457,1
458,1
459,2
460,1
461,1
462,1
467,1
469,2
471,1
472,1
473,1
474,1
475,1
477,1
478,1
482,2
484,3
485,1
486,2
487,2
488,1
491,1
492,1
494,3
495,4
496,2
497,1
498,4
499,1
502,2
503,2
504,3
505,1
506,1
507,2
508,3
509,1
510,1
511,1
513,1
514,1
516,2
519,2
522,2
523,1
524,2
525,1
527,2
528,2
530,1
531,2
533,1
534,2
536,1
538,2
539,1
542,1
545,2
546,1
547,1
548,1
549,2
551,1
553,1
554,1
555,1
556,2
557,2
558,3
