Rank,Frequency
1,3
2,1
3,3
4,2
5,2
6,1
7,3
8,3
10,2
12,2
13,5
15,2
16,2
17,3
18,1
19,2
20,2
21,4
22,3
23,2
24,2
27,2
29,4
30,3
31,1
32,1
33,1
34,4
35,1
36,2
37,2
38,4
39,4
40,6
41,4
42,3
44,1
45,3
46,2
47,1
48,2
49,6
51,4
52,1
54,2
55,1
57,3
58,1
59,5
60,2
61,2
62,3
63,4
64,1
65,3
66,1
67,3
68,1
69,1
70,1
71,4
72,4
73,4
74,1
75,2
76,3
77,1
78,1
81,2
82,2
83,1
84,3
85,1
86,2
87,1
88,3
89,2
92,3
94,2
95,1
96,1
97,1
99,3
100,1
101,4
102,1
103,5
104,2
105,2
106,1
107,2
109,3
110,1
111,1
112,3
113,2
115,1
116,2
117,2
118,2
119,1
120,1
121,2
122,2
123,1
124,2
125,3
126,4
130,1
131,2
132,2
133,1
134,2
135,1
136,1
137,4
139,6
140,1
141,1
142,1
143,1
144,2
146,4
147,4
148,1
149,1
150,1
151,1
152,2
153,3
154,3
156,2
157,1
158,1
159,4
160,1
161,4
163,2
164,4
165,6
166,4
167,2
168,4
169,2
170,3
171,2
172,1
173,3
174,3
175,3
178,3
180,2
181,1
182,3
183,5
184,1
185,1
187,4
188,2
190,3
191,2
192,2
193,1
194,2
195,5
196,2
197,4
198,1
200,1
201,1
202,2
203,1
204,2
205,1
206,1
207,2
208,3
209,3
210,1
211,1
212,2
213,1
215,2
216,1
217,2
218,1
219,5
220,4
221,1
222,1
223,4
224,1
225,2
226,6
228,4
229,2
230,1
232,2
233,2
234,2
235,1
236,5
237,3
238,3
239,3
240,6
241,1
242,2
243,4
244,1
245,1
248,1
249,1
250,3
251,2
252,1
253,4
254,2
255,6
256,1
257,4
258,3
259,3
260,1
261,3
262,2
263,4
265,4
266,2
267,2
268,1
269,4
270,2
271,2
272,1
273,2
274,2
276,4
278,1
279,2
280,1
281,1
282,2
283,2
286,1
287,3
288,1
289,4
290,1
292,2
293,3
294,1
295,1
296,2
297,6
298,3
299,6
300,6
301,3
302,2
303,2
304,2
306,3
307,5
308,1
309,3
310,1
311,4
312,1
314,1
315,4
316,1
317,3
319,3
320,2
321,3
322,2
323,4
324,3
325,2
326,5
327,3
329,5
330,3
331,6
332,4
333,1
334,4
335,4
336,3
337,1
338,1
339,5
340,6
341,5
342,5
343,4
344,3
345,5
346,4
347,5
348,5
349,6
350,5
351,8
352,3
353,3
354,3
355,5
356,1
357,5
358,2
359,1
360,4
361,7
362,2
363,6
364,8
365,5
366,3
367,9
368,5
369,5
370,12
371,9
372,12
373,12
374,15
375,15
376,16
377,17
378,11
379,24
380,13
381,20
382,24
383,31
384,41
385,33
386,36
387,33
388,35
389,41
390,45
391,38
392,53
393,47
394,49
395,40
396,34
397,37
398,35
399,32
400,30
401,42
402,41
403,34
404,33
405,28
406,25
407,26
408,17
409,24
410,11
411,17
412,14
413,11
414,10
415,11
416,9
417,8
418,10
419,4
420,3
421,8
422,2
423,2
424,4
425,5
426,5
427,4
428,2
429,4
430,2
431,3
432,1
434,3
435,2
436,3
437,1
438,2
439,2
440,1
441,2
443,2
444,2
446,3
447,3
448,2
449,1
450,2
451,3
452,4
454,2
455,3
456,1
457,2
458,3
459,2
460,1
461,3
462,2
463,2
464,6
465,5
468,1
471,3
473,3
477,3
479,1
480,1
481,3
482,2
484,5
485,1
486,5
487,2
488,2
489,4
490,4
491,1
492,1
493,1
494,1
496,4
497,1
498,3
499,4
500,2
501,2
502,1
503,3
504,4
505,2
506,4
507,3
508,5
509,1
510,1
511,3
512,1
513,3
514,2
515,4
516,2
517,8
518,3
519,1
520,7
521,4
522,3
523,4
