Rank,Frequency
5,1
6,1
7,1
9,1
11,6
12,2
13,7
14,4
15,4
16,2
17,5
18,7
19,7
20,8
21,5
22,3
23,10
24,6
25,2
26,6
27,6
28,6
29,3
30,2
31,6
32,4
33,3
34,5
35,10
36,5
37,6
38,3
39,3
40,4
41,5
42,8
43,5
44,3
45,4
46,3
47,3
48,6
49,5
50,5
51,3
52,3
53,2
54,5
55,3
56,1
57,5
58,2
59,2
60,3
61,2
62,3
63,2
64,1
65,1
66,2
67,3
68,2
69,3
70,1
71,6
72,2
73,1
74,1
76,5
77,5
78,1
79,1
80,3
82,2
83,2
85,1
86,4
89,6
90,1
91,1
92,3
93,2
94,3
95,2
96,1
97,4
98,2
99,4
100,1
102,1
104,3
105,3
106,4
107,2
108,4
109,1
110,3
111,3
112,8
113,4
115,1
116,1
117,2
118,2
119,1
120,5
121,1
122,1
123,3
124,4
125,2
126,3
127,2
128,2
129,2
130,3
131,2
132,1
133,5
134,3
135,2
136,5
137,1
138,7
139,3
140,2
141,5
142,1
143,2
144,2
145,3
146,6
147,4
148,2
149,4
150,3
151,3
152,2
153,1
154,1
155,4
156,4
157,4
158,1
159,3
160,2
162,2
163,3
164,1
165,5
166,3
167,1
168,1
169,1
170,3
171,4
172,2
173,3
176,2
177,3
178,1
179,5
180,2
181,3
182,2
183,4
184,1
185,2
186,4
187,4
188,1
189,4
190,3
191,4
192,3
193,2
194,4
195,2
196,6
197,5
198,4
199,4
200,3
201,1
202,4
203,4
205,2
206,3
207,4
208,4
210,5
211,3
212,1
213,4
214,2
215,4
216,2
217,3
218,4
219,1
220,1
221,3
222,7
223,4
224,2
225,4
226,4
227,4
228,4
230,4
231,6
232,1
233,4
234,1
235,3
236,2
237,3
238,2
239,6
240,4
241,2
242,1
243,4
244,4
245,1
246,3
247,3
248,2
249,3
250,3
251,3
252,4
253,4
254,3
255,5
256,3
257,4
258,1
259,3
260,2
262,5
263,3
264,3
265,3
266,3
267,3
268,1
269,1
270,5
271,1
272,2
273,2
274,2
276,5
277,3
278,2
279,7
280,1
281,3
282,2
283,4
284,3
285,1
286,2
287,3
289,6
290,4
291,1
292,1
293,1
294,3
295,4
296,2
297,4
298,2
299,1
300,1
301,6
302,6
303,5
304,1
305,2
306,1
307,2
308,4
310,1
311,3
312,2
313,2
314,3
315,6
316,4
317,4
318,2
319,1
320,1
321,1
322,2
323,5
324,2
325,2
326,3
327,4
328,2
330,3
331,1
332,3
333,2
334,4
335,3
336,5
337,1
338,1
339,5
340,3
342,3
343,3
344,2
345,2
346,3
347,4
348,3
351,2
352,3
353,1
354,2
355,1
356,4
357,2
358,1
359,1
360,2
361,2
362,3
363,2
364,1
365,3
366,2
367,2
368,3
369,3
370,3
371,8
372,1
373,2
374,2
375,4
376,3
377,5
378,6
379,3
380,2
381,5
382,3
383,11
384,5
385,1
386,2
387,3
388,4
389,4
390,2
391,2
392,1
393,1
394,3
395,1
396,2
397,2
398,4
399,2
400,1
401,1
402,1
403,2
404,3
405,1
406,1
407,2
408,2
409,3
410,1
411,5
412,1
413,2
414,4
415,2
416,3
417,1
418,3
419,1
421,3
422,5
423,5
424,2
425,2
426,3
427,1
428,4
429,2
431,4
432,4
433,2
434,1
435,4
436,1
437,1
438,5
439,2
440,3
441,2
442,1
443,4
444,5
445,1
446,3
447,4
448,1
449,7
450,3
451,2
452,3
453,2
454,3
455,2
456,4
457,4
458,3
459,1
460,2
461,7
462,1
463,3
464,1
465,2
466,3
467,1
468,5
469,3
470,1
471,2
472,5
473,1
475,3
476,2
477,1
478,6
479,2
480,3
481,2
482,4
483,4
484,1
485,1
486,3
487,4
488,1
489,3
490,1
491,6
492,4
493,3
495,1
496,3
497,1
498,6
500,3
501,5
502,2
503,2
504,3
505,3
506,1
507,2
508,2
509,3
510,2
511,2
512,2
513,1
514,2
515,3
516,3
517,4
518,3
519,1
520,2
522,3
523,4
524,1
525,5
526,2
528,3
529,2
530,1
532,4
533,1
534,4
535,3
536,2
537,2
538,2
539,2
540,7
541,4
542,3
543,1
544,2
545,3
547,2
548,2
549,3
550,3
551,6
552,2
553,4
554,3
555,3
556,2
557,4
558,3
560,6
561,2
562,4
563,3
565,2
566,1
567,4
568,2
569,4
570,4
572,1
573,2
574,4
575,1
576,4
577,3
578,5
580,1
581,3
582,1
583,4
584,3
585,3
586,3
587,1
588,6
589,1
590,1
591,6
592,4
593,4
594,2
595,1
596,1
597,2
598,3
599,3
600,1
601,3
602,3
603,4
604,3
605,5
606,3
607,5
608,3
609,3
610,4
611,3
612,3
613,1
614,4
615,1
616,1
617,3
618,2
619,3
621,3
622,6
624,1
625,3
626,2
627,3
629,1
630,7
631,4
632,3
633,3
634,4
635,1
636,2
637,1
638,3
639,2
640,3
641,3
642,6
643,5
644,4
645,6
646,4
647,3
648,1
650,2
651,2
652,2
653,4
654,2
655,2
656,1
657,1
658,3
659,1
661,1
662,3
663,3
664,3
665,4
666,3
667,2
668,4
669,1
670,5
671,3
672,3
673,4
674,1
675,3
676,1
677,6
678,1
679,2
680,3
681,2
682,3
683,6
684,2
685,1
686,3
687,2
688,1
689,3
690,1
691,1
692,1
693,4
694,6
695,4
696,3
697,2
698,3
699,1
700,4
701,3
702,3
703,2
704,1
705,3
706,4
707,5
708,4
709,3
710,2
711,2
712,2
713,5
714,4
715,2
716,4
717,5
718,3
719,2
720,7
721,3
722,4
723,1
724,2
725,2
726,2
727,4
728,2
729,2
730,2
731,7
732,2
733,3
734,4
735,2
736,4
737,4
738,3
739,2
740,3
742,1
743,5
744,2
745,1
746,1
747,5
748,2
749,3
750,5
751,1
752,7
753,3
754,5
755,2
756,7
757,3
758,4
759,2
760,4
762,5
763,2
764,3
765,2
766,1
767,3
768,1
769,1
770,1
771,1
772,2
773,5
774,2
775,1
776,2
777,7
778,4
779,2
781,3
782,2
783,2
784,2
785,3
786,1
787,3
788,2
789,3
792,3
793,2
794,3
795,1
796,4
797,4
798,4
799,2
800,4
801,2
802,2
803,5
804,2
805,2
806,3
807,3
808,5
809,2
810,4
811,2
812,5
813,4
814,3
815,4
816,1
817,6
818,3
819,3
820,3
821,3
822,2
823,2
824,3
825,7
826,3
827,2
828,3
830,2
831,4
832,1
833,1
834,3
835,3
836,2
837,2
838,2
840,3
841,1
842,2
843,4
844,3
845,8
846,3
848,4
849,3
851,3
852,8
853,4
854,4
856,3
857,2
858,5
859,3
860,1
861,1
862,2
863,2
864,3
865,3
866,5
867,2
868,4
869,3
870,1
871,2
872,2
873,2
874,1
875,4
876,5
877,5
878,4
879,2
880,1
881,2
882,5
883,4
884,4
885,3
886,6
887,3
888,7
889,7
890,6
891,13
892,4
893,10
894,6
895,6
896,8
897,14
898,11
899,11
900,10
901,10
902,12
903,20
904,17
905,18
906,17
907,8
908,15
909,11
910,19
911,19
912,21
913,15
914,20
915,15
916,22
917,9
918,9
919,15
920,25
921,21
922,15
923,17
924,18
925,14
926,9
927,6
928,22
929,10
930,7
931,14
932,10
933,13
934,11
935,13
936,8
937,9
938,10
939,11
940,6
941,5
942,1
943,7
944,6
945,4
946,3
947,6
948,4
949,5
950,3
951,2
952,3
953,3
954,3
955,5
956,5
957,4
958,1
959,4
960,1
961,3
962,4
963,4
964,3
966,4
967,3
968,2
969,4
970,1
971,1
972,4
973,3
974,2
975,2
976,1
978,1
979,1
980,4
981,2
982,2
983,3
984,1
985,2
986,1
987,2
988,5
989,3
990,4
991,1
992,3
993,4
994,3
995,1
996,2
997,1
998,2
999,2
1000,3
1001,2
1002,6
1003,3
1004,2
1006,3
1007,2
1008,5
1009,3
1010,5
1011,1
1012,3
1014,2
1015,1
1016,3
1018,1
1019,4
1020,3
1021,7
1022,1
1023,3
1024,3
1025,4
1026,3
1027,3
1028,4
1029,2
1030,1
1031,1
1032,3
1033,2
1034,2
1035,2
1037,2
1038,3
1040,4
1041,2
1042,2
1043,3
1044,3
1047,1
1048,3
1049,1
1050,2
1052,3
1056,1
1057,3
1058,2
1059,3
1060,3
1061,4
1062,3
1063,3
1064,1
1065,1
1066,1
1067,1
1068,3
1070,2
1071,3
1072,2
1073,4
1074,4
1075,1
1077,2
1078,2
1079,2
1080,2
1082,1
1083,2
1084,1
1085,1
1086,2
1087,1
1088,1
1089,3
1090,2
1091,2
1092,2
1093,1
1094,2
1095,1
1096,3
1097,2
1098,1
1099,3
1101,1
1105,1
1106,3
1107,2
1108,1
1109,4
1110,3
1111,2
1112,1
1113,2
1114,1
1115,3
1116,2
1117,5
1118,1
1120,2
1121,4
1122,2
1123,2
1124,2
1125,1
1126,2
1127,1
1128,1
1129,1
1130,3
1131,2
1133,2
1134,3
1135,2
1136,2
1137,2
1138,4
1139,2
1143,2
1145,1
1146,2
1147,1
1150,1
1151,2
1153,1
1154,2
1155,2
1156,1
1157,3
1158,2
1159,3
1161,3
1162,1
1165,1
1166,3
1167,1
1168,2
1169,3
1170,2
1172,2
1174,1
1175,2
1176,2
1178,5
1179,3
1181,3
1182,3
1183,3
1184,1
1185,3
1186,2
1188,2
1189,1
1190,1
1191,1
1192,1
1193,1
1194,2
1195,1
1196,1
1197,2
1198,1
1199,2
1200,1
1202,2
1205,3
1207,1
1209,1
1211,1
1213,2
1214,2
1215,2
1216,1
1217,1
1218,2
1219,1
1220,2
1222,1
1223,2
1224,2
1225,1
1226,2
1227,1
1230,1
1234,2
1236,1
1237,2
1238,2
1239,3
1240,1
1241,1
1242,2
1245,3
1246,1
1247,2
1248,1
1249,1
1250,3
1252,1
1254,1
1255,1
1259,1
1260,1
1261,3
1262,1
1263,2
1265,1
1266,1
1267,2
1268,1
1271,1
1274,2
1276,1
1277,1
1278,2
1280,1
1282,2
1284,2
1285,2
1286,1
1287,1
1290,2
1291,1
1292,1
1293,4
1294,1
1295,6
1296,6
1297,1
1298,4
1299,4
1300,7
1301,16
1302,11
1303,13
1304,13
1305,13
1306,17
1307,12
1308,18
1309,20
1310,27
1311,40
1312,32
1313,41
1314,31
1315,25
1316,39
1317,36
1318,40
1319,47
1320,37
1321,39
1322,42
1323,36
1324,40
1325,46
1326,38
1327,27
1328,35
1329,16
1330,28
1331,22
1332,29
1333,18
1334,21
1335,18
1336,14
1337,12
1338,11
1339,13
1340,14
1341,11
1342,8
1343,4
1344,4
1345,1
1346,1
1347,3
1348,3
1349,3
1350,2
1352,2
1353,1
1354,1
1355,3
1356,1
1358,1
1361,2
1363,2
1364,1
1366,1
1369,1
1370,3
1371,1
1372,1
1375,2
1377,1
1378,1
1380,1
1381,1
1382,1
1383,1
1385,3
1387,1
1388,2
1389,1
1390,1
1392,1
1393,2
1396,1
1397,1
1399,2
1400,1
1402,2
1404,2
1405,1
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1417,1
1419,1
1421,1
1423,1
1429,1
1430,1
1433,1
1436,1
1439,2
1441,1
1443,1
1444,1
1446,2
1449,1
1451,2
1452,1
1453,2
1454,1
1455,2
1456,1
1457,2
1459,2
1461,2
1462,1
1463,1
1464,1
1465,1
1466,1
1469,1
1471,1
1473,1
1474,1
1476,1
1480,1
1484,1
1486,2
1487,1
1493,1
1495,1
1502,1
1504,2
1505,1
1508,1
1510,2
1511,2
1513,2
1514,2
1516,1
1519,1
1522,1
1523,1
1524,1
1525,1
1533,3
1535,2
1537,1
1540,2
1542,1
1543,1
1544,1
1546,1
1547,3
1550,1
1552,1
1553,1
1558,1
1560,1
1561,2
1563,1
1564,3
1565,1
1567,1
1568,1
1569,1
1571,2
1575,1
1576,1
1581,1
1584,1
1588,1
1594,1
1597,1
1598,1
1600,1
1602,1
1604,2
1605,1
1615,2
1619,1
1621,1
1629,1
1630,2
1636,1
1637,1
1650,1
1654,1
1658,1
1664,1
1665,1
1667,1
1668,1
1669,1
1674,1
1677,1
1679,1
