Rank,Frequency
1,2
2,1
3,2
5,1
6,3
8,3
11,1
12,2
14,1
15,1
16,2
18,1
19,1
20,1
21,3
22,2
25,1
26,2
28,1
29,1
30,2
31,1
34,2
35,3
37,1
38,2
39,2
40,1
41,1
42,4
43,1
44,6
45,3
46,6
47,7
48,3
49,10
50,12
51,11
52,10
53,18
54,13
55,10
56,10
57,7
58,2
59,9
60,4
61,3
62,4
63,4
64,3
65,1
66,1
67,2
68,3
69,2
70,1
71,3
72,1
73,2
74,2
75,1
76,1
77,2
78,2
79,2
80,3
82,2
83,3
84,2
85,2
86,2
87,4
88,1
89,2
90,5
91,2
92,1
93,1
94,3
95,2
96,4
97,1
98,1
99,1
101,3
103,7
104,1
105,1
106,4
107,4
108,2
109,1
110,3
111,6
112,2
113,3
114,4
115,1
116,1
117,1
118,3
119,3
120,2
121,1
122,2
123,2
125,2
126,1
127,1
128,5
129,3
130,1
131,1
132,1
133,2
134,3
135,2
136,3
137,3
138,2
139,2
140,3
141,4
142,1
143,1
144,2
145,3
146,2
147,1
148,1
149,3
150,3
151,2
152,4
153,1
154,2
155,4
156,4
157,1
158,3
159,5
160,7
161,2
162,4
163,2
164,4
165,3
166,3
167,2
168,3
169,4
170,2
171,1
172,4
173,3
174,4
175,2
176,5
177,1
178,2
179,6
180,1
181,2
182,2
183,1
184,4
185,2
186,2
187,4
188,1
189,2
190,2
191,7
192,5
193,5
194,2
196,1
197,2
198,3
199,4
200,1
202,2
203,4
204,3
205,3
206,2
207,3
208,3
209,4
210,2
211,2
213,2
214,4
215,3
216,5
217,2
218,1
219,2
220,2
221,2
222,1
223,7
224,2
225,2
226,5
227,4
228,2
229,5
230,3
231,4
232,4
233,3
234,2
235,4
236,4
237,3
239,2
240,2
241,1
242,2
243,1
244,2
245,10
246,4
247,3
249,2
250,1
251,4
252,4
253,4
254,3
255,4
256,3
257,1
258,4
259,2
260,3
261,3
262,1
263,1
265,4
266,3
267,2
268,3
269,1
270,4
271,2
272,1
274,3
275,4
276,1
277,4
278,4
279,5
280,3
281,3
282,4
283,5
284,2
285,2
286,5
287,3
288,2
289,3
290,1
291,1
292,5
293,4
294,3
295,4
296,1
297,3
298,2
301,1
302,3
303,6
305,3
306,8
307,6
308,4
309,2
310,5
311,1
312,6
313,1
314,3
315,8
316,1
317,2
318,4
319,5
320,3
321,4
322,4
323,2
324,1
325,5
326,2
327,5
328,4
329,5
330,3
331,1
332,3
333,3
334,1
335,1
336,3
337,2
338,1
339,4
340,2
341,2
342,5
343,1
344,3
345,1
346,2
347,3
348,6
349,2
350,3
351,3
352,1
353,3
354,3
355,3
356,2
357,1
358,2
359,5
360,1
361,4
362,3
363,8
364,3
365,1
366,4
367,4
368,5
369,3
370,1
371,2
372,6
373,1
374,7
375,2
376,3
377,2
378,1
379,5
380,6
381,2
382,3
383,1
384,5
385,6
386,4
387,1
388,5
389,4
390,2
391,4
392,4
393,4
394,1
395,3
396,3
397,2
398,3
399,4
400,2
401,5
402,3
403,5
404,3
405,5
406,2
407,3
408,2
409,4
410,5
411,4
412,1
413,3
414,3
415,4
416,4
417,6
418,5
419,1
420,7
421,4
422,7
423,2
424,2
425,3
426,4
427,3
428,2
429,2
430,4
431,4
432,4
433,1
434,3
435,6
436,4
437,1
438,6
439,1
440,4
441,2
442,3
443,3
444,5
445,2
446,5
447,7
448,7
449,3
450,3
451,2
452,1
453,3
454,3
455,4
456,6
457,5
458,3
459,1
460,1
461,4
462,3
463,5
464,2
466,3
467,3
468,6
469,2
470,2
471,3
472,5
473,1
474,6
475,2
476,3
477,3
478,5
479,4
481,4
483,5
484,2
485,1
486,6
487,3
488,1
489,6
490,4
491,4
492,2
493,4
494,7
495,3
496,4
497,2
498,3
499,6
500,6
501,2
502,6
503,2
504,4
505,3
506,1
507,3
508,7
509,6
510,1
511,3
512,5
513,3
514,2
515,4
516,2
517,2
518,4
519,2
520,1
521,2
522,2
523,4
524,1
525,4
526,3
527,4
528,4
529,3
530,3
531,3
532,4
533,5
534,4
535,6
536,1
537,4
538,5
539,3
540,5
541,6
542,2
543,4
545,3
546,4
547,3
548,6
549,2
551,2
552,7
553,2
554,4
556,3
557,3
558,3
559,4
560,3
561,2
562,1
563,1
564,4
565,5
566,1
567,2
568,3
569,2
570,6
571,8
572,5
573,3
574,3
575,1
576,4
577,1
578,2
579,5
580,4
581,1
582,5
583,4
584,5
585,4
586,7
587,5
588,3
589,3
590,4
591,4
592,3
593,8
594,6
595,2
596,4
598,3
599,5
600,5
601,2
602,1
603,3
604,5
605,5
606,4
607,3
608,5
609,2
610,5
611,4
612,5
613,4
614,7
615,2
616,4
617,1
618,2
619,2
620,5
621,4
622,1
623,3
624,3
625,2
626,3
627,6
628,5
629,4
630,2
631,2
632,2
633,3
634,2
635,5
636,5
637,3
638,1
639,1
640,3
641,2
642,3
643,1
645,5
646,2
647,3
648,1
649,4
650,2
651,4
652,4
653,1
654,2
655,3
656,6
657,4
658,4
659,4
660,2
661,2
662,4
663,2
664,1
665,4
666,4
667,4
669,6
670,2
671,3
672,6
673,2
674,2
675,2
676,6
677,1
678,2
679,5
680,2
681,5
682,8
683,3
684,11
685,8
686,4
687,6
688,3
689,7
690,5
691,3
692,5
693,4
694,3
695,6
696,4
697,6
698,7
699,5
700,2
701,8
702,1
703,6
704,7
705,4
706,6
707,6
708,7
709,2
710,11
711,4
712,11
713,9
714,4
715,9
716,4
717,9
718,3
719,6
720,9
721,4
722,9
723,7
724,6
725,8
726,7
727,3
728,4
729,7
730,7
731,7
732,5
733,7
734,7
735,7
736,8
737,8
738,9
739,9
740,3
741,4
742,7
743,6
744,3
745,5
746,2
747,4
748,4
749,5
750,1
751,5
752,8
753,5
754,3
755,8
756,2
757,2
758,1
759,5
760,1
761,2
762,2
763,1
764,3
765,1
766,3
767,5
768,2
769,2
770,1
771,1
772,2
773,1
774,4
775,1
776,1
777,1
778,1
779,3
780,3
781,1
782,2
783,3
784,3
785,3
787,2
788,3
789,3
790,1
791,2
792,7
793,2
794,5
795,2
796,4
797,2
798,5
799,3
800,3
801,2
802,2
803,3
804,3
805,2
806,5
807,4
808,2
809,2
811,1
812,1
813,2
814,4
815,1
816,1
817,3
818,1
819,2
820,2
821,2
822,1
823,4
824,1
825,3
827,4
828,3
829,3
830,2
831,2
832,2
833,3
834,1
835,1
836,3
837,2
838,4
839,3
840,1
841,2
842,3
843,2
844,3
846,2
847,3
848,6
850,2
851,4
852,2
853,2
855,1
856,1
857,1
858,3
859,1
860,1
861,4
862,3
864,1
865,4
866,3
867,3
868,2
870,1
871,4
872,4
873,2
874,4
876,1
878,2
879,2
882,1
884,4
885,3
886,3
888,4
889,4
891,1
892,3
893,1
894,1
895,6
896,1
897,5
899,3
900,3
902,4
904,1
905,2
908,2
909,1
910,2
911,1
912,2
913,2
914,1
916,1
917,1
918,2
919,2
921,4
922,3
923,2
924,2
925,5
926,6
928,4
929,2
931,4
933,1
934,2
935,1
936,2
938,1
939,1
940,3
941,3
942,5
943,2
944,3
945,2
946,2
947,2
948,4
949,3
950,1
951,1
952,2
953,4
954,5
955,1
956,1
957,4
958,1
959,1
960,2
961,3
962,6
963,4
965,1
967,3
970,1
972,1
973,3
974,2
976,1
977,1
978,1
979,4
980,2
981,3
983,2
984,3
986,2
987,2
988,2
991,2
992,2
993,2
994,1
996,2
997,3
998,1
999,2
1000,4
1001,3
1002,2
1003,1
1004,2
1006,3
1008,2
1010,3
1011,2
1012,4
1013,3
1015,3
1016,1
1017,4
1020,3
1021,1
1022,1
1023,4
1024,1
1026,3
1027,2
1028,1
1029,1
1030,1
1032,2
1033,1
1034,2
1035,2
1036,2
1037,4
1038,2
1039,1
1040,1
1041,4
1042,1
1043,1
1044,1
1045,1
1046,4
1047,1
1048,3
1049,2
1050,1
1051,2
1052,1
1053,1
1054,1
1056,2
1057,1
1058,1
1061,2
1063,2
1064,1
1065,1
1067,1
1068,1
1069,1
1070,3
1071,4
1072,1
1073,4
1074,1
1076,3
1078,2
1079,2
1080,1
1081,1
1082,2
1083,1
1085,1
1086,1
1087,1
1090,1
1091,3
1093,2
1094,1
1095,4
1096,2
1097,2
1099,2
1100,1
1102,4
1104,2
1105,1
1106,1
1107,2
1109,1
1110,1
1112,3
1113,2
1114,3
1117,1
1118,1
1119,1
1120,2
1121,3
1122,1
1123,1
1124,1
1125,1
1126,4
1127,2
1128,1
1129,3
1130,1
1131,2
1133,2
1134,1
1135,3
1136,2
1137,1
1138,1
1139,1
1140,2
1142,2
1143,3
1144,1
1145,2
1146,4
1147,1
1149,4
1150,2
1152,1
1153,1
1154,1
1155,1
1156,1
1158,4
1159,4
1160,1
1161,1
1162,2
1163,1
1166,1
1167,1
1168,2
1169,2
1170,1
1171,1
1172,1
