Rank,Frequency
2,2
4,2
7,2
9,1
11,1
12,2
13,4
14,4
15,3
17,2
19,1
20,3
25,1
26,1
27,3
28,2
31,1
33,2
34,1
35,2
36,1
41,2
42,1
43,2
44,3
45,2
46,2
47,3
48,2
50,1
51,1
52,1
54,2
55,1
56,2
57,2
58,1
59,1
60,2
63,2
64,3
66,1
68,3
69,4
70,4
71,2
73,5
74,2
75,6
76,2
77,3
78,1
79,1
80,1
82,2
83,1
85,1
87,2
89,3
90,2
91,2
92,3
93,3
94,3
95,2
96,2
97,1
98,2
99,1
100,1
101,3
102,3
104,4
105,2
106,2
107,3
108,1
109,2
110,3
112,1
113,1
114,4
116,3
117,1
118,4
119,3
120,1
121,2
122,3
123,3
124,3
125,4
126,3
127,2
128,3
129,3
130,1
131,4
133,2
134,1
135,3
136,2
137,3
138,4
139,4
140,6
142,4
145,5
147,5
148,1
149,4
150,2
151,3
153,3
154,3
156,6
157,1
158,3
159,1
160,3
161,6
162,1
163,1
164,3
165,4
166,3
167,5
168,3
169,2
170,3
172,2
173,1
174,2
175,1
176,2
177,2
178,6
180,1
181,4
182,5
183,4
184,2
185,2
186,4
187,1
188,3
189,1
190,4
191,3
192,2
194,1
195,2
196,3
197,4
198,1
199,1
200,3
202,4
203,2
204,2
205,4
206,2
207,2
208,5
209,4
210,6
211,1
212,2
213,2
214,4
215,1
216,2
217,2
218,5
220,7
221,2
222,2
223,4
224,6
225,1
226,3
227,2
228,2
229,4
231,2
232,2
233,1
234,3
235,3
236,4
237,3
239,1
240,1
241,2
242,1
243,2
244,2
245,4
246,2
247,3
248,1
249,4
250,1
251,2
252,2
253,1
254,2
255,1
256,3
257,3
258,2
259,1
260,1
261,3
262,1
263,3
264,2
265,6
266,3
267,1
268,1
269,3
270,1
271,2
272,2
274,1
275,3
276,5
277,2
278,1
281,1
282,1
283,2
284,3
285,1
286,1
287,2
288,2
289,3
290,3
292,2
293,3
294,2
295,1
296,3
297,4
298,1
299,1
300,2
301,4
302,1
303,1
304,1
305,3
306,2
307,1
308,2
309,1
310,5
312,3
313,4
314,1
315,1
316,1
317,4
318,4
319,4
320,4
321,2
322,2
323,3
324,1
325,2
326,1
327,3
328,2
329,3
330,3
331,3
332,4
333,4
334,5
336,2
337,4
338,5
339,1
340,5
341,3
342,4
343,5
344,2
345,3
346,3
347,2
348,4
349,3
350,2
351,3
352,1
353,3
354,7
355,2
356,3
357,1
358,2
359,6
360,4
361,1
362,3
363,4
364,1
365,1
366,2
367,1
368,3
369,2
371,2
372,3
374,2
375,1
376,1
377,4
378,1
379,4
380,3
383,3
384,2
385,2
386,1
387,1
388,4
389,2
390,5
391,1
392,3
393,3
394,2
395,1
396,4
398,1
399,2
400,2
402,1
404,3
405,2
406,1
409,1
410,1
411,4
412,2
413,1
414,1
415,1
416,1
417,2
418,5
419,3
421,3
423,1
424,3
425,6
426,3
427,4
428,2
430,1
431,1
432,1
437,1
438,5
439,2
440,4
441,1
442,2
443,3
444,4
446,1
447,2
448,1
449,1
450,4
453,3
455,7
456,2
457,1
459,2
460,1
461,1
462,2
463,1
465,1
467,8
468,3
469,3
470,1
471,2
473,1
474,1
475,3
476,6
477,5
479,3
480,2
481,1
482,2
483,1
484,1
486,2
488,7
489,3
490,2
491,1
492,2
493,2
494,3
495,3
496,5
497,2
498,2
500,2
502,4
504,3
505,5
507,3
508,2
509,4
510,1
511,2
512,1
513,1
515,2
518,2
519,5
520,3
522,3
523,2
524,3
525,4
526,2
527,2
528,4
529,3
530,1
531,2
532,1
533,4
534,2
536,1
537,1
539,1
540,1
542,2
543,2
545,2
546,3
548,1
550,2
551,2
552,3
553,1
554,2
555,1
556,2
557,1
558,5
559,2
561,1
562,1
563,2
564,2
567,2
569,1
570,3
571,2
572,4
573,3
575,2
577,2
578,1
579,2
580,1
581,2
582,5
583,1
584,2
585,1
586,3
588,5
589,2
590,4
591,2
592,7
593,3
594,1
595,4
596,8
597,3
598,1
599,4
600,4
601,5
602,10
603,4
604,5
605,7
606,3
607,6
608,7
609,4
610,8
611,6
612,9
613,7
614,9
615,7
616,11
617,15
618,12
619,10
620,11
621,14
622,15
623,13
624,27
625,11
626,12
627,13
628,9
629,13
630,15
631,18
632,20
633,21
634,19
635,8
636,16
637,9
638,18
639,18
640,15
641,9
642,12
643,9
644,12
645,9
646,12
647,12
648,6
649,9
650,5
651,5
652,9
653,1
654,4
655,8
656,5
657,2
658,7
659,3
660,3
661,1
662,5
663,5
664,1
665,2
666,1
667,4
668,4
669,1
670,2
671,3
672,2
673,3
674,5
675,4
676,2
677,4
678,4
679,2
680,3
681,2
682,6
683,5
684,4
685,7
686,11
687,8
688,15
689,5
690,11
691,9
692,21
693,16
694,14
695,10
696,16
697,23
698,17
699,28
700,25
701,23
702,29
703,22
704,26
705,30
706,41
707,25
708,35
709,23
710,31
711,22
712,32
713,26
714,21
715,32
716,22
717,27
718,24
719,27
720,38
721,23
722,22
723,24
724,18
725,14
726,13
727,17
728,14
729,18
730,15
731,16
732,11
733,14
734,7
735,11
736,9
737,11
738,5
739,8
740,7
741,6
742,2
743,6
744,4
745,2
746,2
747,1
748,2
749,5
750,6
751,6
752,3
753,2
754,2
755,2
756,4
757,1
758,1
759,1
760,2
761,2
762,5
764,2
765,4
766,1
767,4
768,1
769,1
771,3
773,3
775,2
776,2
777,2
778,2
779,2
781,1
784,1
785,5
786,3
787,1
788,1
789,5
790,6
791,1
792,2
793,2
794,2
795,3
797,5
798,2
799,1
800,2
801,3
802,1
803,1
804,4
805,2
807,1
808,2
809,3
810,3
811,3
814,1
