Rank,Frequency
1,1
3,1
4,1
5,1
6,1
8,2
9,2
11,1
14,3
16,1
18,2
19,4
20,2
21,4
22,3
23,1
25,1
26,5
27,3
28,2
29,3
30,2
31,3
32,3
33,2
34,2
35,3
37,2
38,3
39,2
40,4
41,2
42,2
43,2
44,3
45,5
46,5
47,3
48,6
49,5
50,4
51,2
52,3
53,2
54,4
55,3
56,4
57,1
58,3
59,1
61,5
62,6
63,5
64,3
65,2
66,3
67,5
68,2
69,3
70,1
71,1
72,3
73,4
74,3
75,3
76,3
77,1
78,4
79,3
80,2
81,2
82,1
83,3
84,5
85,1
86,5
87,1
88,5
89,1
91,1
92,5
93,5
94,4
95,1
96,3
97,1
98,1
99,3
100,3
101,3
102,6
103,1
104,3
105,1
106,3
107,3
108,1
109,2
110,1
111,2
112,2
114,5
115,3
116,3
117,3
118,1
120,1
121,3
122,2
124,2
125,2
126,1
128,3
129,2
131,4
132,4
133,3
134,1
135,2
136,1
137,1
139,3
141,2
142,1
143,1
144,4
146,1
147,1
149,1
150,2
151,2
152,5
153,3
154,2
155,2
157,3
158,1
159,1
160,2
161,2
164,1
165,3
166,2
167,2
168,2
169,1
170,1
171,2
174,1
175,2
177,5
178,1
179,2
180,3
181,2
182,2
186,2
187,2
188,4
189,1
190,1
191,1
192,3
193,1
194,1
196,3
197,1
199,2
201,1
203,2
204,2
205,1
206,3
207,1
209,1
210,1
211,1
212,1
213,2
214,3
216,4
217,2
218,2
220,1
221,2
222,4
223,4
224,3
225,1
226,2
227,2
228,4
229,2
230,1
233,2
234,3
236,2
237,1
238,1
239,1
240,3
241,1
242,1
243,3
244,4
245,3
246,3
247,3
248,2
249,1
250,2
251,6
252,1
253,2
254,1
255,4
256,1
258,2
259,3
260,3
261,6
262,5
264,1
265,2
267,2
268,1
269,2
270,2
271,2
273,3
274,1
275,7
276,3
277,2
278,1
279,1
280,4
281,3
283,1
286,3
287,5
288,2
289,4
290,2
291,1
292,1
293,4
294,5
295,2
296,1
297,2
298,1
299,1
300,3
301,3
302,3
303,2
304,3
305,5
306,3
307,1
308,2
309,4
310,4
311,1
312,1
314,3
315,2
316,2
317,3
318,4
319,4
320,1
321,2
322,4
323,2
324,3
325,3
326,3
327,2
328,2
329,2
330,2
331,1
332,1
333,3
334,2
335,3
336,3
337,1
338,1
339,3
340,1
341,3
342,2
343,2
344,3
345,7
346,3
347,3
348,2
349,1
350,2
351,2
352,2
354,3
355,1
356,1
357,2
358,1
359,2
360,1
361,2
363,5
364,5
365,3
366,3
367,3
368,1
370,5
371,2
372,2
373,3
374,2
375,4
376,3
377,5
378,2
379,4
380,1
381,1
382,3
383,3
384,3
385,1
386,3
387,6
388,1
390,2
391,1
392,2
393,3
394,3
395,6
396,3
397,4
398,3
399,1
400,2
401,4
402,3
404,4
406,2
407,5
408,2
409,2
410,2
411,2
412,1
413,1
414,2
415,1
416,1
417,3
418,1
419,3
