Rank,Frequency
1,1
2,4
3,1
4,1
5,1
6,5
7,1
8,2
9,2
10,1
11,6
12,4
13,2
14,7
15,4
16,5
17,6
18,12
19,8
20,8
21,7
22,8
23,2
24,10
25,3
26,11
27,2
28,4
29,4
30,13
31,9
32,2
33,6
34,7
35,5
36,6
37,2
38,4
39,2
40,6
41,2
42,8
43,5
44,1
45,5
46,10
47,10
48,4
49,5
50,13
51,15
52,12
53,21
54,29
55,37
56,35
57,38
58,51
59,50
60,65
61,63
62,62
63,63
64,61
65,51
66,47
67,45
68,40
69,32
70,18
71,16
72,15
73,17
74,11
75,5
76,8
77,6
78,6
79,3
80,9
81,7
82,7
83,3
84,4
85,2
86,3
87,3
88,3
89,2
90,3
91,2
92,3
93,5
94,1
95,3
97,3
98,5
99,1
100,4
101,1
102,4
103,1
104,1
105,3
106,6
107,1
108,3
109,2
110,3
111,2
112,4
113,6
114,3
115,2
116,1
117,1
118,3
119,4
120,2
121,2
122,1
123,1
124,6
125,1
126,1
129,2
130,2
131,2
132,4
133,2
135,1
137,1
138,1
139,1
140,2
141,1
142,4
143,2
144,6
145,2
146,1
147,3
148,1
149,2
151,3
152,1
153,4
155,1
156,2
157,1
158,1
159,1
160,1
161,3
163,2
164,3
165,4
166,2
167,2
169,3
171,3
173,2
174,4
175,2
176,1
177,1
178,3
179,1
180,4
181,3
182,1
183,3
184,2
185,2
186,3
188,1
189,1
191,1
192,4
193,2
194,4
195,2
197,1
199,1
201,6
202,1
203,1
204,2
205,1
206,2
207,3
208,1
209,4
210,1
211,4
212,3
213,3
214,1
215,3
216,2
217,1
218,1
219,1
220,2
223,4
224,3
225,2
226,4
227,5
228,1
229,3
230,3
231,2
232,1
233,3
234,5
235,1
236,1
237,4
238,1
239,2
240,1
241,2
242,3
243,1
244,1
245,2
246,3
247,3
248,1
250,1
251,2
252,2
253,2
254,1
255,1
257,1
258,1
259,2
260,3
261,2
262,4
264,3
265,3
266,4
267,3
268,2
269,2
270,2
271,5
272,1
273,1
274,1
275,1
277,1
278,2
279,1
280,1
282,2
283,2
284,5
286,2
287,2
288,2
289,1
290,1
293,2
294,1
296,6
297,2
298,2
299,1
300,5
301,2
302,2
303,2
304,1
305,3
306,1
307,3
308,3
309,3
310,3
311,3
312,2
313,1
314,1
315,1
316,3
317,3
318,1
319,2
320,4
321,3
322,2
324,2
325,1
327,1
328,6
331,2
332,2
333,3
334,3
336,2
337,1
338,1
339,1
340,2
341,1
343,3
345,2
346,3
347,6
349,3
350,3
351,2
352,1
354,3
355,3
356,3
357,5
358,2
359,3
360,3
361,2
362,4
363,6
364,8
365,6
366,15
367,6
368,8
369,10
370,12
371,13
372,12
373,13
374,14
375,8
376,22
377,28
378,24
379,14
380,24
381,26
382,26
383,31
384,35
385,27
386,25
387,26
388,32
389,28
390,31
391,29
392,30
393,30
394,30
395,30
396,29
397,17
398,22
399,29
400,17
401,21
402,16
403,10
404,10
405,11
406,7
407,9
408,10
409,10
410,6
411,7
412,10
413,2
414,4
415,3
416,2
417,7
418,4
419,2
420,2
421,2
423,1
424,1
425,3
426,4
427,3
429,3
430,2
431,4
434,3
435,3
437,3
438,1
439,2
442,4
445,5
446,6
447,1
448,4
449,1
451,2
452,4
453,2
454,2
455,2
456,1
457,2
458,4
459,1
462,3
463,2
464,2
466,2
467,3
468,1
469,1
470,2
471,1
472,1
473,2
474,3
475,1
476,3
477,2
478,1
479,1
480,2
481,2
483,3
484,3
485,1
486,4
487,2
488,4
489,1
490,2
491,3
493,2
494,2
496,3
498,1
499,3
501,1
503,3
504,1
505,1
506,2
507,1
508,2
510,2
511,1
512,3
513,3
514,1
515,2
516,2
517,2
518,2
519,2
521,1
522,2
524,4
525,3
526,2
528,5
529,1
530,5
531,2
533,2
534,1
537,4
538,1
539,2
541,2
544,2
545,2
546,3
547,1
549,1
550,1
552,1
554,1
556,1
557,1
558,2
559,1
560,4
562,2
563,1
564,1
565,1
568,5
569,1
571,4
572,1
574,2
575,3
577,1
578,1
579,3
580,4
581,1
584,2
585,1
586,1
587,1
588,2
589,3
590,1
592,1
593,1
594,1
595,1
596,3
597,2
598,1
599,1
604,2
605,2
606,1
607,2
609,1
610,4
612,1
613,5
614,4
615,1
617,2
618,1
619,2
620,2
621,1
622,1
623,2
625,1
626,1
628,1
630,1
631,1
632,2
633,3
636,1
637,3
640,3
641,3
642,1
643,1
645,1
646,1
648,2
649,6
651,2
652,2
656,4
657,2
658,1
659,1
662,5
663,1
664,2
665,3
666,2
667,1
669,2
670,1
671,1
673,2
674,1
675,1
676,1
677,1
678,1
679,1
680,1
682,2
683,1
685,2
686,3
687,2
688,1
690,1
691,1
693,4
694,3
695,2
696,1
698,1
701,1
703,3
705,1
706,3
707,2
708,1
710,2
711,2
713,2
714,2
716,1
718,1
719,1
721,1
722,1
723,2
724,1
725,2
726,2
727,2
728,2
730,2
731,1
732,2
734,3
737,3
739,3
740,3
741,2
742,2
743,4
745,1
746,1
747,2
748,1
749,1
750,1
752,2
753,2
754,2
755,3
756,1
758,1
759,1
761,2
762,3
763,4
764,1
766,3
767,2
768,2
769,1
770,4
771,2
772,4
774,1
775,1
778,2
779,5
781,2
782,1
784,1
785,1
787,1
788,2
789,1
791,1
792,1
793,4
794,3
795,3
796,3
797,1
799,1
800,1
801,1
802,1
803,3
804,3
805,5
806,2
809,2
811,3
812,2
814,5
815,1
816,2
818,1
819,4
820,1
821,2
822,2
824,3
825,1
826,1
827,1
828,2
829,2
831,2
832,2
833,1
836,2
837,1
838,1
840,2
841,1
842,1
843,2
844,2
846,2
847,1
849,1
850,1
851,2
852,1
853,1
855,1
856,4
857,1
858,3
859,3
860,1
861,1
863,2
864,3
865,1
866,2
867,1
868,2
869,2
870,2
871,1
872,2
873,3
875,1
876,2
877,1
878,4
879,1
880,1
881,3
882,1
883,2
884,3
885,1
886,1
887,1
888,1
889,1
890,2
891,1
892,1
894,2
895,2
897,4
898,1
899,1
900,1
902,1
903,1
904,1
905,2
906,4
907,3
908,1
911,2
912,3
913,2
914,2
916,2
917,2
920,4
921,3
922,1
923,2
924,1
926,2
927,1
929,1
930,1
931,1
933,1
934,2
935,1
936,1
937,2
938,1
942,3
943,1
945,1
946,1
949,2
950,3
952,2
953,2
954,2
955,2
956,1
958,3
961,1
962,1
965,2
966,2
967,5
968,1
969,2
970,2
972,2
973,2
974,1
976,1
977,2
978,2
980,2
981,1
982,2
983,2
984,2
985,3
986,1
988,1
989,1
991,2
992,2
994,1
995,1
996,1
997,1
998,2
999,1
1000,1
1001,3
1002,1
1003,4
1005,1
1006,1
1008,3
1009,3
1010,1
1011,4
1012,1
1014,3
1016,2
1017,1
1018,1
1019,4
1020,2
1022,2
1023,1
1025,2
1027,2
1030,1
1031,2
1032,1
1033,5
1034,3
1035,1
1036,2
1037,3
1038,2
1039,1
1041,4
1042,3
1043,2
1044,2
1045,1
1047,2
1048,3
1049,2
1050,2
1051,3
1052,5
1054,4
1056,3
1058,4
1059,1
1060,2
1061,1
1062,2
1064,2
1065,1
1066,1
1067,1
1070,2
1071,2
1072,1
1073,3
1074,2
1075,2
1077,1
1080,2
1081,1
1082,3
1083,1
1084,3
1085,2
1087,2
1089,3
1091,2
1093,1
1095,4
1096,1
1099,1
1100,3
1101,1
1102,1
1104,2
1105,1
1106,2
1107,3
1108,3
1109,3
1110,1
1111,2
1113,3
1114,2
1115,2
1116,1
1117,1
1118,1
1119,1
1121,2
1122,1
1124,1
1125,2
1126,1
1127,1
1128,2
1129,1
1130,3
1131,1
1132,3
1133,2
1134,3
1135,3
1137,2
1138,2
1139,1
1142,3
1143,1
1144,1
1145,1
1146,1
1147,3
1152,1
1153,2
1155,2
1156,4
1157,1
1158,3
1161,1
1162,1
1163,3
1164,1
1165,2
1166,1
1169,2
1170,1
1171,2
1172,1
1174,3
1175,1
1178,1
1180,2
1181,2
1182,1
1183,1
1184,1
1187,1
1188,2
1190,1
1191,2
1192,1
1193,3
1194,1
1195,1
1196,3
1197,1
1199,1
1200,3
1201,5
1202,2
1203,3
1204,2
1206,1
1207,1
1208,1
1209,1
1210,1
1211,2
1212,3
1214,3
1216,2
1217,1
1218,2
1221,1
1222,1
1223,3
1225,1
1226,1
1228,2
1229,2
1231,2
1232,1
1233,1
1234,1
1236,1
1238,4
1239,3
1240,1
1242,1
1244,1
1245,4
1247,2
1249,2
1250,2
1251,3
1252,2
1253,1
1254,1
1258,1
1259,2
1260,1
1261,2
1262,2
1263,2
1264,2
1265,1
1268,4
1269,1
1270,1
1273,1
1274,4
1276,1
1277,2
1278,2
1279,3
1281,1
1282,1
1283,2
1284,5
1285,3
1287,4
1288,2
1289,1
1290,2
1292,3
1293,3
1295,1
1296,1
1297,1
1298,3
1299,1
1300,2
1301,1
1302,3
1303,1
1304,1
1305,1
1306,4
1308,1
1309,5
1310,1
1311,1
1312,2
1313,4
1314,2
1315,5
1316,1
1317,1
1318,1
1319,3
1320,2
1321,1
1322,1
1323,2
1324,3
1325,3
1327,4
1329,4
1330,4
1331,1
1332,1
1333,1
1334,2
1335,1
1336,2
1337,2
1338,3
1339,4
1340,2
1341,1
1342,2
1343,2
1344,4
1346,3
1347,1
1349,3
1350,2
1351,1
1352,1
1353,5
1354,1
1355,1
1356,5
1357,4
1358,1
1359,2
1360,2
1361,2
1362,5
1363,1
1364,2
1365,2
1367,1
1369,2
1370,2
1371,1
1372,2
1373,1
1374,2
1375,3
1376,3
1377,1
1378,3
1379,3
1381,6
1382,2
1383,2
1384,1
1385,4
1386,6
1387,1
1388,3
1389,1
1390,3
1391,2
1392,2
1393,1
1394,3
1398,2
1399,1
1400,2
1401,1
1402,1
1403,2
1404,1
1405,3
1406,1
1407,5
1408,1
1410,3
1411,2
1412,7
1413,2
1414,1
1415,1
1416,3
1417,1
1418,2
1419,1
1420,2
1422,3
1423,1
1424,1
1425,2
1426,6
1427,4
1428,3
1429,5
1430,3
1431,4
1432,1
1433,5
1434,2
1436,1
1437,2
1438,1
1439,1
1440,1
1441,3
1442,3
1443,1
1446,4
1447,1
1448,5
1449,3
1450,3
1451,5
1452,2
1453,2
1454,3
1455,2
1456,3
1457,2
1458,3
1459,5
1460,1
1461,1
1462,3
1463,1
1464,2
1465,4
1466,2
1467,2
1468,2
1469,2
1470,3
1471,5
1472,2
1473,3
1474,1
1475,2
1476,4
1477,2
1478,5
1479,2
1480,3
1481,1
1482,3
1483,1
1484,3
1485,3
1486,1
1487,2
1488,1
1489,3
1491,6
1493,4
1494,4
1495,1
1496,2
1497,1
1498,1
1499,1
1500,3
1501,2
1502,4
1503,6
1504,3
1505,6
1506,1
1507,4
1508,5
1509,4
1510,1
1511,4
1512,3
1513,6
1514,2
1515,3
1516,9
1517,3
1518,1
1519,2
1520,1
1521,7
1522,3
1523,1
1524,1
1525,1
1526,4
1527,4
1528,3
1529,4
1530,1
1531,4
1532,4
1533,2
1534,3
1535,2
1536,3
1537,1
1538,2
1539,1
1540,4
1541,3
1543,2
1544,3
1545,2
1546,1
1547,2
1548,1
1549,2
1550,3
1551,5
1552,2
1553,6
1554,1
1555,4
1556,5
1557,1
1558,5
1559,4
1560,6
1561,4
1562,2
1563,1
1564,3
1565,6
1566,1
1567,1
1568,4
1569,1
1570,1
1571,2
1572,4
1573,5
1574,2
1575,2
1576,2
1577,4
1578,5
1579,7
1580,3
1581,3
1582,5
1583,5
1584,3
1585,3
1586,3
1587,3
1588,5
1589,5
1590,4
1591,3
1592,4
1593,2
1594,5
1595,3
1596,3
1597,4
1598,1
1599,1
1600,4
1601,5
1602,1
1604,2
1605,4
1606,4
1607,4
1608,3
1609,4
1610,4
1611,3
1612,8
1613,3
1614,3
1615,8
1616,7
1617,3
1618,5
1619,3
1620,7
1621,3
1622,4
1623,3
1624,8
1625,1
1626,5
1627,2
1628,8
1629,3
1630,5
1631,4
1633,1
1634,7
1635,4
1636,1
1637,3
1638,3
1639,7
1640,6
1641,5
1642,6
1643,3
1644,3
1645,5
1646,2
1647,4
1648,3
1649,4
1650,5
1651,4
1652,5
1653,5
1654,6
1655,4
1656,3
1657,2
1658,6
1659,4
1660,5
1661,4
1662,4
1663,4
1664,3
1665,5
1666,6
1667,5
1668,6
1669,7
1671,3
1672,6
1673,3
1674,4
1675,3
1676,1
1677,3
1678,6
1679,1
1680,4
