Rank,Frequency
1,9
2,6
3,7
4,5
5,7
6,2
7,3
8,3
9,8
10,7
11,3
12,5
13,11
14,5
15,6
16,3
17,3
18,5
19,2
20,6
21,3
22,2
23,3
24,6
25,2
26,1
27,8
28,2
29,3
30,5
31,7
32,4
33,2
34,4
35,6
36,5
38,7
39,2
40,3
41,3
43,4
44,6
45,4
46,5
47,4
48,6
50,3
51,7
52,3
53,5
54,9
55,3
56,6
57,4
58,2
59,2
60,2
61,5
62,3
63,1
64,4
65,4
66,2
67,3
68,6
69,3
70,2
71,4
72,4
73,6
74,11
75,4
76,7
77,2
78,6
79,6
80,7
81,3
82,3
83,4
84,4
85,7
86,3
87,4
88,4
89,7
90,9
91,7
92,9
93,13
94,14
95,11
96,19
97,14
98,17
99,30
100,25
101,33
102,27
103,27
104,17
105,22
106,16
107,18
108,15
109,14
110,17
111,14
112,6
113,11
114,5
115,10
116,7
117,7
118,1
119,2
120,4
121,7
123,2
124,2
125,2
126,5
127,3
128,1
129,2
130,5
131,5
132,4
133,5
134,3
135,5
136,3
137,3
138,5
139,3
140,6
141,4
142,1
143,6
144,3
145,6
146,4
147,1
148,4
149,5
150,5
151,3
152,4
153,4
154,3
155,6
156,5
157,2
158,2
159,4
160,3
161,1
162,2
163,2
164,6
165,1
166,5
167,2
168,2
169,4
170,6
171,5
172,2
174,5
175,4
176,2
177,2
178,1
179,3
180,1
181,4
182,3
183,2
184,3
185,5
186,3
187,4
188,4
189,5
190,2
191,5
192,2
193,2
194,4
195,4
196,4
197,2
198,3
199,4
200,2
201,9
202,4
203,2
204,2
205,5
206,3
207,8
208,4
209,7
210,1
211,4
212,3
213,10
214,3
215,3
216,2
217,4
218,5
219,3
220,2
221,2
222,1
223,5
224,3
225,2
226,3
227,2
228,3
229,1
231,2
232,3
233,1
234,2
235,3
236,3
237,1
238,7
239,4
240,3
241,3
242,4
243,4
244,3
245,2
246,2
247,7
248,3
249,1
250,2
251,3
253,3
254,5
255,6
256,1
257,1
258,1
259,3
260,4
261,3
262,2
263,6
264,2
265,1
266,2
267,2
268,8
269,2
270,3
271,1
272,2
273,1
274,1
275,3
276,3
277,6
278,7
279,1
280,4
281,2
282,5
283,4
284,4
285,7
286,2
287,4
288,2
289,1
290,2
291,2
292,5
293,1
294,4
295,2
296,3
297,3
298,2
299,4
300,4
301,3
302,2
303,3
304,3
305,1
306,2
308,1
309,3
310,1
311,1
312,1
313,1
314,2
315,5
316,1
317,4
318,3
319,4
320,4
322,2
323,2
324,1
325,2
326,1
327,3
328,4
329,1
330,2
331,2
332,1
333,5
334,3
335,1
337,1
338,1
339,2
340,3
342,3
343,1
344,1
345,2
346,2
347,2
348,5
349,2
351,4
352,3
353,2
354,4
355,1
356,1
357,5
358,5
359,2
361,4
362,4
363,3
365,3
366,3
367,3
368,3
369,2
370,1
371,3
372,1
373,3
374,4
375,2
376,4
377,3
378,1
379,4
380,1
381,1
382,2
383,2
384,5
385,3
386,2
387,5
388,3
389,3
390,2
391,2
392,4
393,4
394,5
395,3
396,2
397,3
399,2
400,7
401,1
