Rank,Frequency
2,1
7,1
9,2
11,1
12,2
15,2
17,2
25,2
26,4
28,2
30,2
31,3
32,1
33,1
34,1
36,1
38,3
39,2
40,1
41,2
45,1
47,3
48,4
49,2
50,2
51,3
54,3
55,1
56,2
58,1
59,3
61,2
62,1
63,1
64,2
65,1
67,4
68,2
69,1
70,2
72,3
73,3
74,2
75,2
76,2
77,1
78,3
79,1
80,4
81,4
82,2
83,2
84,7
85,3
86,2
87,4
88,2
89,1
90,3
91,2
93,2
94,1
95,5
96,2
97,1
99,5
100,2
101,2
102,1
103,1
104,4
105,3
106,1
107,3
109,2
110,1
111,2
112,4
113,1
114,2
115,1
116,3
117,4
118,3
119,1
120,4
121,3
122,4
123,5
124,3
125,5
126,5
128,4
129,4
130,2
132,3
133,1
134,2
135,4
136,3
137,2
138,1
139,3
140,1
141,3
142,3
143,3
144,2
146,2
147,2
148,4
149,2
150,4
151,4
152,1
153,7
154,1
155,2
156,3
157,3
158,1
159,5
160,2
161,2
163,2
164,2
165,1
166,3
168,3
169,3
170,1
171,4
172,2
173,4
174,5
175,3
176,4
177,5
178,3
179,1
180,2
181,4
182,2
183,3
184,3
185,6
187,1
188,1
189,4
190,4
192,1
193,2
194,1
195,1
196,1
197,1
198,3
199,2
201,2
202,1
203,2
204,2
205,1
206,2
207,3
209,2
210,2
211,2
212,3
213,2
214,2
215,1
216,1
217,4
218,2
219,6
222,3
223,3
224,1
225,3
226,3
227,3
228,6
232,3
233,3
234,3
235,2
236,2
237,2
238,2
239,2
240,1
241,3
242,1
243,2
244,3
245,3
246,11
247,2
248,2
249,4
250,1
251,1
252,2
253,3
254,1
256,2
257,3
258,2
259,1
260,2
261,4
262,2
263,2
264,2
265,1
267,1
268,3
270,4
272,3
273,1
274,1
275,2
276,2
277,3
278,4
279,3
280,1
281,4
282,3
283,2
284,2
285,3
286,1
287,1
288,5
289,2
290,2
291,2
292,3
293,7
294,2
295,3
296,3
297,1
298,5
299,1
300,4
301,2
302,1
303,2
304,2
306,1
307,1
308,2
309,1
310,2
311,3
313,4
314,1
315,5
317,1
319,3
320,1
321,1
322,1
323,3
324,5
325,2
326,4
328,5
329,3
330,5
331,1
332,2
333,4
334,3
335,2
336,1
337,3
338,2
339,2
340,6
342,4
343,3
344,2
346,3
347,2
348,2
349,1
350,3
351,2
352,4
353,8
354,1
355,3
357,6
359,2
360,3
361,4
362,3
363,2
364,3
365,4
366,2
367,4
368,3
369,2
370,1
371,6
372,2
373,4
374,2
375,1
376,1
377,3
378,2
379,5
381,2
382,5
383,3
384,3
386,1
387,1
388,1
389,5
390,4
391,5
392,2
393,5
394,4
395,4
396,4
397,3
398,2
399,2
400,3
401,3
402,3
403,4
404,2
405,2
406,4
407,1
408,4
409,4
410,5
411,4
412,1
413,3
414,4
415,3
416,2
417,3
418,3
419,3
420,3
421,1
422,8
423,1
424,1
425,3
426,3
427,2
428,5
429,3
430,4
431,4
432,3
433,7
434,6
435,2
436,2
437,4
438,4
439,3
440,1
441,3
442,3
443,3
444,2
445,2
446,3
447,1
448,2
450,1
451,3
452,1
453,4
454,1
455,1
456,1
457,3
458,1
459,3
460,4
461,3
462,2
463,3
464,1
465,5
466,5
467,1
