Rank,Frequency
1,1
3,1
4,2
7,1
8,2
9,2
10,2
11,1
12,3
13,2
14,1
16,3
18,6
19,6
20,5
21,4
22,3
23,3
24,1
25,5
26,7
27,3
28,5
29,3
30,5
31,3
32,3
33,2
34,2
35,1
36,2
37,6
38,1
39,4
40,2
41,4
42,6
43,5
44,4
45,6
46,2
47,6
49,6
50,8
51,5
52,2
53,3
54,2
55,4
57,4
58,3
59,2
60,1
61,3
62,3
63,6
64,4
65,4
66,4
67,3
68,3
69,6
70,4
71,3
72,5
73,2
74,4
75,5
76,3
77,2
78,3
79,3
80,1
81,4
82,1
83,3
84,3
85,2
86,4
87,2
88,3
89,1
90,6
91,4
92,6
93,3
94,1
95,2
96,3
97,3
98,3
99,6
100,4
101,1
102,3
103,1
104,4
105,5
106,3
108,4
109,2
110,3
111,1
112,4
113,1
114,3
115,1
116,4
117,1
118,6
119,1
120,2
121,4
122,2
123,1
124,2
125,3
126,1
127,4
128,2
129,5
130,2
131,1
132,2
133,3
134,2
135,3
136,3
137,3
138,1
139,3
140,1
141,1
142,1
143,4
144,6
145,1
146,2
147,1
151,6
152,4
153,1
154,3
155,5
156,6
157,1
158,6
159,1
160,3
161,2
164,4
165,5
166,2
167,2
168,3
169,3
170,3
171,2
172,5
173,1
174,3
175,2
177,1
179,2
181,3
182,3
183,2
184,6
185,4
186,1
187,2
188,3
189,1
190,4
191,2
192,2
193,1
194,2
195,2
196,2
197,3
198,2
199,5
200,2
201,2
202,2
203,2
205,2
206,2
207,1
209,3
210,3
211,1
212,3
213,3
214,1
215,4
216,2
217,2
218,2
219,2
220,2
221,2
222,1
223,2
224,4
225,3
226,1
227,5
228,2
229,2
232,2
233,4
234,4
235,3
236,2
237,2
238,2
239,1
240,2
241,2
242,3
244,2
245,2
246,2
247,3
248,4
249,4
250,4
252,5
254,1
255,1
256,4
257,5
258,5
259,1
260,3
261,5
262,2
263,2
264,1
265,3
266,3
267,3
268,2
269,1
270,2
271,3
272,2
273,1
274,4
275,1
276,1
277,1
278,4
280,3
281,2
282,3
283,3
284,3
285,1
286,1
288,2
289,3
291,5
292,5
293,1
294,2
295,2
296,1
297,4
298,2
299,1
300,2
302,4
303,3
304,3
306,2
307,3
308,1
309,5
310,3
311,4
313,1
315,2
316,2
317,1
318,1
319,1
320,2
321,2
322,2
323,4
324,4
325,2
326,5
328,1
329,4
330,3
331,3
332,3
333,2
334,3
335,5
336,2
337,2
338,4
339,2
341,5
342,2
343,2
344,5
345,1
346,4
347,1
348,1
350,3
351,1
352,5
353,4
355,2
356,2
357,1
358,3
359,2
360,1
362,1
363,2
364,2
365,2
366,3
367,3
368,1
369,2
370,2
371,2
372,1
373,3
374,4
375,1
377,1
378,1
379,3
381,1
382,3
383,2
384,2
388,1
389,1
390,1
392,3
393,2
394,2
395,4
396,1
397,1
398,5
399,1
400,2
401,2
402,1
403,1
404,5
405,2
406,4
407,2
