Rank,Frequency
1,4
2,2
3,5
4,4
5,1
6,1
8,3
9,2
10,5
11,2
12,1
13,3
14,4
15,7
16,4
17,1
18,5
19,1
20,3
21,2
23,3
24,2
25,3
26,2
27,1
28,7
29,3
30,2
31,2
32,6
33,3
34,4
35,4
36,1
37,3
38,6
39,4
41,2
42,5
43,1
44,4
45,2
46,2
47,3
48,1
49,4
50,4
51,7
52,7
53,3
54,2
55,3
56,3
57,7
58,3
59,2
60,3
61,4
62,3
63,4
64,6
65,1
66,1
67,6
68,2
69,5
70,3
71,5
72,6
73,3
74,5
75,3
76,2
77,3
78,4
79,6
80,3
81,2
82,4
83,2
84,7
85,3
86,5
87,3
88,5
89,1
90,3
91,5
92,5
93,4
94,2
95,3
96,1
97,4
98,1
99,3
100,3
101,1
102,5
103,3
104,4
105,3
106,1
107,2
108,3
109,1
110,3
111,4
112,2
113,3
114,3
115,1
116,4
117,6
118,3
119,2
120,6
122,5
124,3
125,2
126,4
127,4
128,3
129,2
130,3
131,3
132,4
133,3
134,6
135,2
136,2
138,1
139,2
140,3
141,1
142,3
143,4
144,3
145,1
146,4
147,2
148,5
149,3
150,2
151,3
152,3
153,3
154,2
155,6
156,2
157,2
158,5
159,2
160,5
161,3
162,1
163,4
164,2
165,4
166,3
167,4
168,2
169,5
170,1
171,3
172,1
173,2
174,4
175,4
176,2
177,5
178,2
179,1
180,3
181,3
182,3
183,5
184,6
185,1
186,3
187,3
189,1
190,8
191,3
192,3
193,4
194,2
195,4
196,2
197,4
198,7
199,5
201,1
202,2
203,2
204,3
205,2
206,4
207,2
208,3
209,1
211,3
212,3
213,2
214,7
215,5
216,2
217,4
218,3
219,2
220,2
221,5
222,1
223,5
224,4
227,5
228,4
230,2
232,1
233,1
234,3
235,2
236,3
237,2
238,2
239,1
240,2
241,4
242,5
243,4
244,3
245,2
246,1
247,3
248,3
249,1
250,4
251,4
252,2
253,2
254,3
255,1
256,5
258,2
259,2
260,1
261,2
263,2
264,1
265,5
266,4
267,3
268,1
269,3
270,5
271,1
272,2
273,3
274,7
275,5
276,1
277,7
278,4
279,3
280,4
281,4
282,3
283,3
284,2
285,1
286,7
287,4
288,4
289,2
291,7
292,3
293,1
294,4
295,1
297,7
298,5
299,2
300,3
301,2
302,5
303,2
304,3
305,4
306,2
307,4
308,1
309,5
310,6
311,3
312,5
313,6
314,3
315,2
316,3
317,2
318,1
319,1
320,4
322,1
323,2
324,3
325,3
326,3
327,3
328,2
329,2
330,6
331,4
332,3
333,3
334,1
336,1
337,2
338,4
339,1
340,1
341,6
342,3
343,3
344,3
345,5
346,2
348,2
350,3
351,3
352,2
353,2
354,3
355,2
357,3
358,4
359,3
360,2
361,2
362,2
363,5
364,4
365,3
366,3
367,4
368,4
369,2
370,2
371,2
372,1
373,5
374,3
375,1
376,4
377,1
378,4
379,1
380,1
382,1
383,5
384,3
385,3
386,3
387,4
388,1
389,3
390,5
391,1
392,3
393,2
394,4
395,2
396,4
397,3
398,2
399,3
400,2
401,3
402,2
403,6
404,3
405,3
406,3
407,1
408,2
409,3
410,3
411,1
412,1
413,1
414,3
415,2
416,2
417,3
418,1
419,2
420,1
421,3
422,1
423,5
424,1
425,3
426,4
427,2
428,1
429,3
430,1
431,2
432,2
433,1
434,3
435,4
436,1
437,7
438,1
439,1
440,1
441,2
442,1
443,2
444,3
445,3
447,1
448,7
450,3
451,2
454,5
