Rank,Frequency
5,1
6,1
9,1
12,1
15,1
16,3
19,2
20,1
21,2
22,1
23,2
24,2
25,1
26,3
28,3
29,2
30,2
31,4
32,1
33,2
34,3
35,2
36,4
37,3
38,2
39,2
40,4
41,1
42,1
43,3
44,2
45,3
46,3
47,4
48,2
49,2
50,5
51,4
52,3
53,2
54,3
55,2
56,5
57,4
59,1
60,2
61,1
63,1
64,3
65,1
66,3
67,3
68,3
69,3
70,2
71,2
72,3
73,1
74,2
75,2
76,3
77,3
79,1
80,1
81,1
82,5
83,2
84,2
85,3
86,3
87,2
88,1
89,3
90,1
91,1
92,2
93,5
94,4
95,3
96,3
97,2
98,1
101,2
102,4
104,2
105,3
106,2
108,4
109,2
110,3
111,2
112,1
114,3
115,6
116,2
117,1
119,4
120,4
121,1
122,2
123,5
125,2
126,3
128,1
129,1
130,2
132,1
134,2
135,3
136,3
138,3
140,2
141,1
142,2
143,3
145,2
147,2
148,4
149,1
150,3
151,1
152,2
153,1
154,1
155,4
157,6
158,1
159,2
161,1
162,3
163,1
164,1
165,3
166,3
167,4
168,2
169,2
170,4
172,1
174,1
175,2
177,1
178,2
179,3
181,3
182,2
183,4
184,1
185,1
186,2
188,1
189,1
190,2
191,3
192,4
193,4
194,3
196,1
197,3
198,1
201,2
202,1
203,2
204,1
205,1
206,2
207,2
209,1
210,2
211,3
212,2
213,2
214,2
216,1
218,1
219,1
220,4
221,1
224,2
225,1
226,2
227,3
228,2
229,2
230,2
231,1
232,4
233,1
234,1
235,3
237,1
238,3
240,2
241,3
242,1
243,3
244,2
245,1
246,3
247,4
248,2
250,3
251,3
252,2
253,3
256,2
257,1
258,1
259,2
260,2
261,3
262,3
263,2
264,1
265,1
266,2
267,2
268,1
269,2
270,1
272,2
273,2
274,2
275,2
278,3
279,2
280,3
281,2
282,3
283,3
284,2
285,4
286,3
287,2
288,1
289,1
292,5
293,4
294,2
296,1
297,2
298,2
299,2
300,2
301,2
302,2
303,3
304,1
305,3
306,3
307,4
308,1
309,2
310,1
312,3
313,2
314,1
315,3
316,2
317,3
318,3
319,2
320,1
321,1
322,3
323,3
324,2
325,2
326,1
327,2
328,3
329,1
330,4
331,2
332,2
333,2
335,1
336,2
337,3
338,2
339,2
340,2
341,2
342,3
343,2
344,4
345,1
346,1
347,1
348,1
349,3
350,2
351,2
352,2
353,1
354,2
355,4
356,3
357,1
358,4
359,1
360,2
362,3
363,2
365,2
367,5
368,1
369,6
370,1
371,1
372,5
373,1
375,1
377,3
378,3
379,1
380,5
381,3
382,2
383,3
384,3
385,1
386,2
387,2
388,4
389,2
390,3
391,2
392,3
393,1
395,4
396,4
397,2
398,1
399,1
400,1
401,1
402,1
403,2
404,2
405,1
406,3
407,1
408,2
409,2
410,1
411,3
412,2
413,2
414,1
415,2
416,3
417,1
418,4
419,3
421,2
422,2
423,4
424,4
425,3
426,1
427,2
428,3
429,2
430,4
431,1
432,2
433,2
435,1
436,1
437,3
438,2
440,5
441,5
442,1
443,2
444,3
446,1
447,1
448,2
449,3
450,2
451,4
453,3
454,2
455,3
456,3
457,4
458,1
459,2
460,1
461,1
462,2
464,2
465,2
469,3
470,1
471,2
472,3
473,6
475,2
477,2
478,1
481,1
482,4
483,3
484,1
485,3
486,2
487,1
488,4
489,2
490,5
491,4
492,1
493,2
494,3
495,1
496,2
497,3
499,1
500,1
501,4
504,1
505,1
507,1
508,1
510,1
511,1
512,2
513,1
514,3
515,2
516,1
517,2
518,3
519,2
520,3
522,1
523,2
524,2
525,4
526,3
527,1
528,3
529,2
530,5
531,1
532,1
533,4
534,2
535,4
536,1
537,3
539,1
540,1
541,4
542,3
543,3
544,3
545,3
546,5
547,5
548,3
549,5
550,2
551,6
552,5
553,3
554,4
555,9
556,10
557,9
558,14
559,7
560,8
561,12
562,15
563,18
564,8
565,16
566,6
567,23
568,23
569,27
570,25
571,28
572,26
573,25
574,33
575,28
576,30
577,33
578,42
579,23
580,36
581,48
582,30
583,48
584,40
585,25
586,32
587,36
588,41
589,38
590,27
591,25
592,26
593,25
594,22
595,31
596,22
597,16
598,16
599,14
600,21
601,20
602,10
603,13
604,10
605,10
606,11
607,7
608,5
609,8
610,5
611,4
612,6
613,4
614,5
615,2
616,1
617,2
618,5
619,1
620,4
621,2
622,2
623,2
625,4
626,2
627,2
628,2
629,3
630,2
631,1
633,1
635,4
636,1
637,5
638,4
639,3
641,1
642,1
643,2
644,1
645,2
646,1
647,4
648,3
649,2
651,2
653,2
654,1
655,5
656,1
657,2
658,2
659,2
660,3
661,2
662,2
663,2
664,2
665,1
666,1
667,2
668,1
669,3
670,4
671,5
672,2
673,2
674,3
675,2
676,1
677,3
679,3
680,1
681,1
682,1
683,2
684,3
685,4
686,4
687,4
688,2
689,3
691,2
693,4
694,2
695,1
696,5
697,3
698,2
699,2
700,3
701,3
702,3
703,1
704,8
705,3
707,4
708,3
709,4
711,2
712,1
714,3
716,2
717,4
718,2
719,3
720,3
721,5
722,4
723,2
724,1
725,2
726,3
727,4
728,1
729,2
730,3
731,2
732,3
733,3
734,4
736,3
737,4
738,2
739,1
740,4
741,1
742,5
743,1
744,3
745,1
746,1
747,4
748,7
749,1
750,2
751,3
752,3
753,6
756,3
757,3
758,2
759,6
760,4
761,2
762,6
763,3
764,8
765,3
766,4
767,1
768,9
769,7
770,8
771,8
772,10
773,8
774,9
775,10
776,9
777,17
778,11
779,13
780,12
781,11
782,7
783,18
784,11
785,11
786,10
787,8
788,23
789,14
790,17
791,18
792,20
793,19
794,21
795,18
796,16
797,14
798,21
799,13
800,11
801,10
802,11
803,18
804,12
805,14
806,8
807,17
808,13
809,13
810,13
811,12
812,8
813,18
814,5
815,7
816,5
817,5
818,6
819,6
820,3
821,4
822,5
823,5
824,5
825,7
826,4
827,2
828,2
829,4
830,2
831,4
832,3
833,1
834,2
835,5
836,3
837,2
838,2
839,1
840,3
841,3
842,2
843,2
844,4
845,2
847,5
848,1
849,5
850,3
851,2
852,1
853,4
854,1
855,1
856,4
857,4
858,4
860,1
861,2
863,3
864,5
865,1
866,5
867,3
868,8
869,3
870,3
871,4
872,1
874,5
875,1
876,3
877,2
879,4
880,3
881,8
883,1
884,1
885,2
886,5
888,6
889,2
890,2
891,1
892,2
893,3
894,3
895,4
896,2
897,2
898,2
899,2
900,6
902,2
904,1
905,1
906,1
907,1
908,2
909,4
910,3
911,1
912,4
913,2
914,1
915,1
916,2
917,3
918,2
919,2
920,2
921,2
922,5
923,3
925,2
926,3
927,1
928,6
929,2
930,3
931,3
932,3
933,3
934,2
935,3
936,6
937,4
938,1
939,4
940,2
941,3
942,7
943,3
944,2
945,5
946,4
947,2
948,4
949,1
950,3
951,2
952,3
953,3
954,1
955,6
956,2
957,5
958,1
959,4
960,2
961,1
962,3
963,1
965,2
967,2
968,2
969,1
970,2
971,2
973,2
974,3
975,2
976,3
977,3
978,1
979,5
980,2
981,4
982,1
983,7
984,2
985,1
987,3
988,2
989,3
990,3
991,6
993,1
994,7
995,2
996,2
997,4
998,6
999,2
1000,1
1001,4
1002,3
1004,3
1005,4
1006,6
1007,2
1008,3
1009,4
1010,2
1011,2
1013,3
1014,2
1015,5
1016,2
1017,2
1018,1
1019,3
1020,2
1021,1
1022,6
1023,4
1024,2
1025,5
1026,3
1027,5
1028,6
1029,5
1030,2
1031,3
1032,3
1033,3
1034,5
1035,3
1036,4
1037,1
1038,2
1039,3
1040,3
1041,2
1042,3
1043,3
1044,5
1045,3
1046,5
1047,2
1048,3
1049,2
1050,1
1051,5
1052,1
1053,1
1054,2
1055,2
1056,2
1057,5
1058,5
1059,1
1060,1
1061,2
1062,4
1063,2
1064,1
1065,7
1066,1
1067,5
1068,4
1069,1
1070,3
1071,1
1072,5
1073,3
1074,1
1076,1
1077,1
1078,5
1079,1
1080,7
1081,1
1082,2
1083,3
1084,1
1086,2
1087,1
1088,3
1089,4
1090,4
1091,3
1093,3
1094,1
1095,4
1096,6
1097,5
1098,3
1099,4
1100,1
1101,2
1102,2
1103,4
1104,1
1105,3
1107,1
1108,5
1109,2
1110,3
1111,2
1112,2
1113,3
1114,5
1115,4
1116,4
1119,2
1120,3
1121,2
1122,2
1123,6
1124,4
1125,2
1126,1
1127,4
1128,2
1129,2
1130,3
1131,4
1133,5
1136,1
1138,2
1139,2
1140,1
1141,1
1142,2
1143,2
1144,2
1146,3
1147,2
1148,2
1149,2
1150,2
1151,2
1152,4
1153,3
1154,1
1155,3
1156,1
1157,1
1158,2
1159,2
1160,3
1161,1
1162,2
1163,4
1164,3
1165,1
1166,5
1167,3
1168,1
1169,2
1170,4
1171,2
1172,2
1173,1
1175,1
1176,3
1177,5
1178,2
1179,2
1180,2
1181,4
1182,3
1184,3
1185,1
1186,2
1187,2
1188,3
1189,4
1190,3
1192,3
1193,4
1194,3
1195,4
1196,3
1197,2
1198,3
1199,5
1200,1
1201,2
1202,1
1205,2
1206,3
1207,6
1208,3
1209,2
1211,2
1213,1
1214,1
1216,3
1217,2
1218,1
1219,1
1220,1
1221,1
1222,2
1223,2
1224,3
1226,3
1227,1
1228,3
1229,1
1230,3
1231,2
1232,2
1233,1
1234,2
1235,1
1236,1
1237,1
1238,2
1239,1
1242,4
1243,4
1244,4
1245,2
1246,5
1248,1
1249,2
1250,2
1251,4
1252,1
1253,2
1254,2
1256,2
1257,1
1258,4
1259,1
1261,5
1262,6
1263,1
1264,2
1265,4
1266,2
1268,4
1270,2
1271,1
1272,5
1275,2
1276,1
1277,2
1278,3
1279,1
1280,2
1281,1
1282,2
1283,4
1284,5
1285,2
1286,2
1287,2
1288,3
1289,2
1290,2
1291,2
1292,4
1293,1
1294,2
1297,3
1298,1
1299,6
1300,2
1301,1
1302,1
1303,4
1304,2
1305,1
1306,1
1307,1
1308,2
1309,3
1310,3
1311,3
1312,1
1313,2
1315,3
1317,4
1318,1
1319,3
1320,2
1321,3
1322,2
1323,2
1326,3
1327,1
1328,5
1329,2
1330,2
1331,1
1332,1
1333,3
1335,2
1338,2
1339,5
1342,1
1344,1
1345,1
1348,2
1349,2
1351,1
1352,1
1353,1
1354,2
1355,1
1356,1
1357,3
1358,4
1359,2
1360,1
1361,2
1363,2
1365,4
1368,1
1370,2
1371,3
1372,1
1374,4
1375,1
1376,2
1377,1
1378,1
1379,4
1380,4
1382,2
1383,2
1384,1
1385,1
1386,3
1387,3
1388,1
1390,4
1391,3
1392,1
1393,2
1394,1
1395,1
1397,3
1398,3
1399,1
1400,2
1401,3
1402,1
1403,1
1406,4
1407,1
1408,1
1410,1
1411,2
1412,3
1413,3
1414,3
1415,1
1416,2
1418,3
1419,1
1420,3
1421,2
1422,1
1423,1
1424,1
1425,3
1426,1
1427,1
1429,3
1430,1
1431,1
1432,3
1433,4
1434,1
1437,1
1438,1
1440,1
1441,1
1442,2
1443,2
1444,3
1445,1
1446,4
1448,1
1449,1
1450,1
1451,3
1453,2
1455,3
1457,1
1458,2
1460,3
1461,2
1462,1
1463,3
1466,1
1467,2
1468,2
1469,3
1470,3
1471,1
1472,3
1473,1
1476,1
1477,3
1478,3
1479,1
1480,2
1481,1
1482,1
1483,2
1484,2
1485,3
1487,1
1489,1
1490,1
1491,2
1492,2
1494,4
1497,2
1498,1
1499,4
1500,3
1501,1
1502,1
1503,4
1504,1
1505,1
1506,3
1507,2
1508,1
1509,1
1510,1
1512,2
1513,2
1514,1
1515,2
1516,1
1517,1
1518,4
1519,4
1521,1
1522,3
1523,3
1524,1
1526,3
1527,1
1528,1
1529,4
1530,1
1533,2
1534,2
1537,2
1538,3
1539,1
1541,1
1543,1
1544,3
1545,4
1548,2
1549,1
1550,1
1551,1
1552,2
1553,1
1554,3
1555,1
1556,1
1557,1
1558,1
1559,4
1562,2
1563,2
1564,1
1566,1
1567,1
1571,2
1574,1
1575,2
1577,4
1579,2
1580,1
1581,2
1582,1
1583,3
1584,2
1585,2
1586,3
1588,2
1590,2
1591,3
1592,2
1593,3
1595,1
1596,1
1597,3
1599,1
1602,3
1603,1
1604,1
1605,1
1606,1
1607,1
1608,1
1610,2
1611,1
1612,2
1613,3
1615,2
1616,2
1618,2
1619,1
1620,1
1621,1
1623,1
1624,2
1626,1
1627,2
1628,3
1629,1
1630,1
1631,1
1632,3
1633,1
1635,2
1636,1
1638,2
1640,1
1641,2
1642,1
1643,1
1644,1
1645,2
1646,2
1647,1
1648,4
1650,2
1651,1
1652,3
1655,1
1656,2
1657,3
1658,2
1659,1
1662,1
1663,1
1664,1
1667,1
1669,7
1670,2
1671,2
1675,3
1677,1
1680,1
