Rank,Frequency
8,1
19,1
20,1
23,2
26,2
30,1
34,2
37,1
38,1
39,1
40,3
41,3
42,1
44,3
45,2
47,2
49,1
51,2
53,2
54,2
55,2
57,3
58,1
59,2
60,1
63,1
66,1
67,3
69,4
72,2
73,2
74,2
75,1
76,3
78,1
79,2
81,1
83,1
84,1
85,3
86,1
87,1
88,2
89,4
90,2
94,2
95,1
96,1
97,7
98,1
99,1
100,1
102,2
104,1
106,2
108,1
109,3
111,2
112,3
114,1
115,2
116,2
118,2
119,2
120,1
121,1
122,1
123,1
125,2
126,5
127,2
128,2
131,1
133,2
136,6
138,2
139,1
140,4
141,1
142,4
143,2
146,1
149,1
150,4
151,2
152,2
154,1
155,1
156,1
158,5
159,2
160,1
161,2
162,4
164,2
165,3
166,2
167,1
168,2
171,1
172,1
173,4
174,2
176,1
177,1
179,2
180,1
181,1
182,1
183,3
184,4
185,2
187,4
188,5
189,1
190,2
191,1
192,6
193,2
194,2
195,3
196,3
198,1
200,2
201,1
202,2
203,1
204,2
205,2
206,1
207,2
208,3
210,1
211,2
212,2
213,2
214,3
215,2
216,2
217,2
218,2
219,2
220,2
221,1
222,1
223,1
224,3
225,3
227,1
228,2
230,1
231,3
232,1
233,1
235,2
236,2
237,2
240,2
241,1
242,3
243,3
244,3
245,4
246,1
248,2
250,2
251,1
252,5
254,1
255,1
256,3
257,1
258,1
259,1
260,3
261,2
262,3
264,1
265,1
266,1
267,3
268,1
270,3
271,1
272,2
274,3
275,4
276,1
278,3
281,3
282,2
283,2
285,2
286,3
287,2
288,3
289,2
290,1
291,3
292,1
293,4
294,1
295,2
297,2
298,1
299,4
300,2
302,1
303,2
304,2
305,1
306,3
308,1
309,1
310,1
311,5
312,1
313,2
314,4
315,1
317,2
318,2
319,3
321,1
323,5
324,1
326,1
327,2
328,2
329,7
330,3
331,2
332,2
335,2
336,3
337,2
338,1
339,1
340,1
341,2
342,3
344,4
346,2
347,1
349,1
350,2
352,2
353,1
354,3
355,2
357,2
358,2
359,2
360,3
361,2
362,3
363,3
364,2
365,1
366,1
368,1
369,4
370,6
371,2
372,2
373,1
374,1
375,1
376,1
377,3
379,2
381,4
382,2
383,1
384,2
385,2
386,1
387,2
388,4
389,1
390,2
391,3
392,3
393,1
394,3
395,2
396,2
398,2
399,2
400,3
401,3
402,3
403,1
404,2
406,4
407,2
408,2
409,1
411,1
412,4
413,3
414,1
415,1
417,2
418,2
419,1
420,1
421,3
422,3
424,2
425,1
426,3
427,1
428,2
429,4
430,3
431,1
432,1
435,1
436,5
437,4
438,5
439,3
440,2
441,4
443,2
444,1
445,2
446,2
448,3
449,3
452,3
455,3
456,1
457,1
458,2
459,1
460,2
461,1
462,3
463,1
464,4
465,1
466,1
467,2
468,1
469,1
471,1
473,2
474,1
475,5
476,1
477,3
479,1
480,5
481,2
482,1
485,2
486,2
487,3
488,2
489,2
490,5
491,2
492,3
493,1
494,1
495,3
496,2
497,3
498,4
499,1
500,1
502,1
503,5
504,1
505,1
506,1
507,1
509,2
510,2
511,2
512,1
513,3
514,4
515,4
516,1
518,2
519,2
521,4
522,3
523,1
524,5
525,2
526,5
528,2
529,2
530,4
531,1
532,4
533,2
534,5
535,1
536,4
537,4
538,2
539,1
540,2
541,1
543,2
544,3
545,1
546,2
547,5
548,2
549,1
551,1
552,1
555,3
556,2
558,1
559,1
561,4
562,3
563,3
564,1
566,3
567,2
568,1
569,2
570,3
571,4
572,2
573,2
575,2
576,3
578,2
579,2
580,3
581,4
582,1
583,1
584,2
585,1
587,3
588,1
589,2
590,1
591,1
592,3
593,1
594,2
595,4
596,1
597,4
598,1
599,2
600,6
601,2
602,5
603,3
604,2
605,2
606,2
607,3
608,1
609,6
610,7
611,4
612,3
613,7
614,4
615,2
616,5
617,7
618,7
619,10
620,12
621,16
622,18
623,8
624,14
625,19
626,20
627,15
628,18
629,26
630,23
631,24
632,24
633,23
634,32
635,29
636,31
637,20
638,24
639,29
640,30
641,29
642,33
643,35
644,26
645,31
646,26
647,30
648,29
649,38
650,24
651,29
652,19
653,23
654,21
655,19
656,17
657,14
658,12
659,15
660,15
661,14
662,16
663,7
664,10
665,10
666,10
667,7
668,9
669,5
670,5
672,3
673,1
674,2
675,2
676,2
677,2
678,5
679,4
680,2
681,1
682,1
683,1
684,3
686,1
687,1
688,1
689,5
690,1
691,4
692,3
693,4
694,1
695,5
696,3
697,5
698,1
699,1
702,1
703,2
704,2
707,4
708,4
709,4
710,1
711,1
712,1
713,2
714,2
715,1
716,1
717,1
718,3
719,5
720,3
721,2
722,4
723,2
725,2
726,2
727,1
728,4
729,1
730,2
731,2
732,3
733,3
734,4
735,2
736,2
738,3
739,3
740,1
741,1
742,2
743,4
744,1
745,1
747,4
748,1
749,3
750,4
751,1
752,2
754,2
755,1
756,3
759,5
760,2
761,3
762,5
763,2
764,5
765,1
766,3
767,1
768,2
769,1
770,1
771,3
772,4
773,6
774,2
775,3
776,5
777,1
779,2
780,3
781,2
782,2
783,4
785,1
787,2
789,2
790,2
791,3
792,1
793,1
794,1
795,2
796,1
797,4
798,3
799,3
800,3
801,2
802,4
803,2
804,1
805,1
806,2
807,2
808,1
809,2
810,2
811,8
812,3
813,2
814,1
815,2
816,2
817,4
818,2
819,1
820,3
821,1
822,2
823,2
825,2
826,4
827,2
828,2
829,3
831,1
832,2
833,1
834,3
835,4
836,4
837,2
839,2
840,2
841,1
843,3
844,2
845,6
846,1
847,4
848,2
849,2
850,3
852,4
853,2
854,4
855,2
856,3
857,2
858,2
859,5
860,2
861,4
862,2
863,1
864,3
865,3
867,3
869,2
870,4
871,2
872,4
873,3
875,5
876,2
877,2
878,2
879,1
880,1
881,2
882,3
883,3
884,2
885,1
886,1
887,1
889,4
890,2
891,2
892,2
893,2
894,5
895,1
896,4
897,2
898,5
900,2
901,2
902,1
903,1
904,2
905,1
906,4
907,3
908,2
909,5
911,4
912,2
913,2
914,3
915,1
916,5
917,3
918,2
919,1
920,3
921,2
922,3
923,2
924,5
925,3
926,4
927,2
928,2
929,1
931,3
932,2
933,1
935,3
936,2
937,1
938,5
939,2
940,2
941,2
942,2
943,2
944,3
945,3
946,4
947,2
948,1
949,2
950,3
951,1
952,3
953,2
955,3
956,2
957,5
958,3
959,2
960,5
961,2
962,3
963,3
965,2
966,2
969,1
971,3
972,2
973,1
974,3
975,5
976,2
977,3
978,2
980,2
981,2
982,3
983,3
984,3
985,4
986,2
987,2
988,2
990,3
991,1
992,2
993,1
994,3
995,1
996,3
997,2
998,2
999,3
1001,2
1002,4
1003,2
1004,1
1005,5
1006,3
1007,4
1008,1
1009,4
1010,1
1011,2
1012,2
1013,3
1014,4
1015,2
1016,3
1017,3
1018,6
1019,1
1020,2
1021,4
1023,1
1024,4
1026,1
1027,4
1028,5
1029,7
1030,3
1031,3
1032,1
1033,3
1034,3
1035,3
1036,4
1037,1
1038,4
1039,4
1040,2
1041,1
1042,3
1043,1
1045,3
1046,1
1047,1
1048,1
1049,1
1050,1
1051,2
1052,3
1054,3
1055,1
1056,2
1057,2
1058,4
1059,2
