Rank,Frequency
2,1
3,1
4,2
6,1
9,3
10,3
11,1
12,2
13,1
15,1
16,3
17,1
18,4
19,2
20,1
21,2
23,4
24,1
25,4
27,3
28,1
30,3
31,1
32,2
34,1
35,2
37,1
39,1
40,2
41,1
43,3
45,4
46,4
47,1
48,3
49,3
50,1
51,2
52,4
53,1
54,1
55,2
56,2
57,1
59,4
60,4
62,1
63,5
64,2
65,3
66,1
67,2
68,1
69,3
70,1
71,3
73,2
74,6
75,2
78,2
79,3
80,1
81,2
82,1
84,2
85,3
86,1
88,5
89,4
90,1
91,2
92,2
93,3
94,3
95,2
96,2
97,3
98,2
99,2
100,6
101,1
102,3
103,2
104,2
105,1
106,1
107,2
108,2
109,1
110,4
111,2
112,4
113,2
114,3
115,5
116,2
117,1
118,4
119,3
120,3
121,3
122,1
123,3
125,3
126,1
127,3
128,3
129,3
131,3
133,2
134,6
135,1
136,2
137,1
138,1
141,1
143,4
144,3
145,3
147,3
148,2
149,3
150,4
151,2
152,7
153,5
154,5
155,4
156,2
157,4
158,2
159,1
161,3
162,5
163,7
164,2
165,3
166,2
167,3
168,1
169,6
170,1
171,4
172,1
173,2
174,1
175,3
176,3
177,3
178,4
179,6
180,3
181,3
182,1
183,2
184,6
185,3
186,8
187,1
188,4
190,6
191,6
192,3
193,11
194,2
195,5
196,11
197,5
198,8
199,4
200,3
201,8
202,7
203,7
204,3
205,10
206,6
207,10
208,9
209,10
210,7
211,9
212,3
213,9
214,6
215,4
216,5
217,5
218,5
219,8
220,3
221,6
222,3
223,2
224,3
225,4
226,3
227,1
228,4
229,4
231,4
232,4
233,2
234,2
235,5
236,1
237,2
238,2
239,6
240,5
241,3
242,4
243,3
245,2
246,4
247,2
248,3
249,4
250,2
251,3
252,4
253,3
254,4
255,4
256,1
257,1
258,5
259,4
260,5
261,2
263,2
264,3
265,2
266,2
267,1
268,1
269,1
270,1
271,4
272,3
273,3
274,3
275,4
276,1
277,4
278,5
279,3
280,3
281,2
282,2
283,6
284,3
285,4
286,2
287,4
288,1
289,3
290,2
291,4
292,1
294,3
295,2
296,2
298,5
299,4
300,5
301,2
302,3
303,4
304,2
305,1
306,1
307,3
308,4
309,3
310,3
311,5
312,1
313,1
314,1
315,3
316,5
317,4
318,6
319,1
320,3
321,1
322,7
323,5
324,4
326,8
327,4
328,2
329,2
330,3
332,1
333,2
334,2
335,4
336,5
337,2
338,1
339,1
340,8
341,2
342,4
343,3
344,3
345,6
347,3
349,1
350,2
352,3
353,3
354,6
355,3
356,5
357,3
358,2
