Rank,Frequency
1,2
3,1
6,1
8,1
9,1
10,3
11,1
12,3
13,1
15,1
16,1
20,1
21,1
22,1
27,1
28,1
29,3
30,2
31,1
32,3
35,1
37,2
39,3
40,1
41,2
42,1
43,2
44,3
46,1
47,2
48,1
49,2
51,5
55,1
56,2
57,1
58,2
59,3
60,1
62,2
63,4
64,2
65,4
66,1
68,3
69,1
70,1
71,3
74,5
75,3
76,2
78,2
79,2
80,2
82,3
83,3
84,1
85,1
86,1
87,1
88,2
90,1
91,1
93,2
94,1
95,1
96,2
97,2
98,3
99,2
100,2
101,5
102,3
103,2
104,3
105,3
106,2
107,6
108,1
109,2
112,3
113,2
114,3
115,1
116,1
117,1
118,1
119,1
120,1
121,4
123,2
124,2
125,2
126,4
127,2
128,1
129,2
130,3
131,4
132,3
133,2
134,6
135,2
138,2
139,2
140,3
141,2
143,1
144,2
145,2
147,2
148,1
149,2
150,1
152,4
153,2
154,2
155,1
156,1
157,1
158,2
159,2
160,4
164,1
165,1
166,3
167,1
168,2
170,5
171,3
172,3
173,1
174,2
175,1
176,2
177,3
178,2
179,1
180,3
182,1
183,2
184,3
185,1
186,3
187,2
188,2
189,3
191,3
192,2
194,1
195,2
196,4
197,2
198,2
199,1
200,3
201,2
202,2
203,1
204,3
205,2
206,2
207,3
208,1
209,1
210,4
211,3
212,2
213,1
214,2
215,1
216,3
217,2
218,1
219,1
220,3
221,1
222,4
223,1
224,1
225,2
227,2
228,2
229,2
230,1
231,3
232,2
233,1
234,2
235,3
236,3
238,1
239,1
240,2
242,3
243,3
244,1
245,4
246,2
247,2
248,1
249,1
250,2
251,3
253,3
254,2
255,3
257,1
258,4
259,3
260,3
261,6
262,4
263,3
265,1
266,1
267,5
268,4
269,2
270,3
271,3
273,1
274,2
275,4
276,2
278,1
279,3
280,2
281,3
283,4
284,2
285,2
286,1
287,3
289,2
290,2
291,4
292,2
293,2
294,3
295,2
296,3
297,2
298,3
299,2
300,4
301,4
302,2
303,1
304,2
305,3
306,2
307,2
308,1
309,2
310,2
311,3
312,3
314,1
315,1
316,2
318,4
319,1
320,2
321,2
322,2
323,2
324,4
325,2
327,2
328,6
329,1
330,3
331,1
333,1
335,1
336,1
337,2
339,2
340,5
341,2
342,1
343,1
344,4
345,3
346,2
347,2
348,3
350,2
351,2
352,4
353,1
354,2
355,4
356,4
357,1
358,1
359,4
360,2
361,2
362,5
363,1
365,3
366,2
367,2
368,1
369,3
371,1
372,1
373,1
374,2
376,2
378,3
379,2
380,2
381,3
382,2
383,4
384,1
385,3
386,2
387,2
388,2
389,2
390,1
391,4
392,1
394,1
396,4
398,1
399,2
400,2
401,1
402,1
403,1
404,5
405,5
406,4
408,2
409,2
410,1
411,5
412,3
413,3
414,1
415,2
416,2
417,4
418,3
419,1
420,7
421,1
422,2
423,2
424,3
425,2
426,1
427,2
428,2
429,3
431,5
432,1
433,2
434,2
435,1
436,1
437,5
438,2
439,5
440,5
441,2
442,3
443,4
444,1
445,5
446,1
448,2
449,5
450,3
451,1
452,5
453,2
455,5
456,1
457,3
458,2
459,2
460,1
462,2
463,1
464,2
466,3
467,1
468,4
469,3
470,1
471,4
472,1
473,2
474,2
475,3
476,2
477,1
478,7
479,4
480,1
481,1
482,5
484,3
485,3
486,9
487,2
489,5
491,2
492,1
493,1
494,3
495,1
496,1
497,2
499,3
500,6
501,4
502,4
503,5
504,1
505,2
506,2
508,1
509,1
510,2
511,1
512,2
513,1
514,5
515,5
516,1
