Rank,Frequency
5,1
6,1
7,1
10,3
12,2
13,3
14,1
15,6
16,1
17,2
18,1
19,2
20,1
21,2
22,2
23,3
24,2
26,3
27,4
28,1
29,3
30,4
31,4
32,3
33,6
34,7
35,2
36,1
37,8
38,1
39,3
40,3
41,1
42,3
43,3
44,3
45,2
46,5
47,3
48,1
49,1
50,3
51,2
52,4
53,4
54,2
55,3
56,1
58,4
59,4
60,4
61,2
62,4
63,3
65,5
66,3
67,2
68,2
69,3
70,4
72,7
73,1
74,2
75,4
76,8
77,3
78,2
79,4
80,1
81,1
82,4
83,1
84,1
85,2
86,1
87,4
88,3
89,1
90,5
91,4
92,2
93,3
94,1
95,1
97,1
98,2
99,5
101,3
103,3
104,4
105,4
106,3
107,2
108,4
109,1
110,1
111,1
112,4
113,1
114,4
115,2
116,1
117,3
119,3
120,1
121,1
122,4
123,2
124,5
125,2
126,2
127,3
129,4
130,3
131,2
132,1
133,1
134,2
135,1
136,1
137,2
139,4
140,2
141,2
143,1
144,3
145,2
146,1
147,1
148,2
149,1
150,3
151,4
152,1
153,3
154,1
155,1
157,2
159,5
160,2
162,2
163,2
164,1
166,4
167,2
168,1
169,1
170,1
171,1
173,1
174,2
175,4
176,3
178,1
179,1
180,1
182,3
183,3
184,1
185,2
186,1
188,1
189,1
190,1
191,1
192,1
193,2
194,3
195,3
196,4
197,2
198,3
199,1
201,2
202,2
203,1
204,1
205,3
207,1
208,3
209,5
210,1
211,3
212,2
213,2
214,6
215,3
216,1
217,3
218,3
219,4
220,1
221,1
222,2
223,3
224,3
225,5
226,2
227,2
228,5
229,5
230,6
231,11
232,12
233,10
234,16
235,9
236,18
237,15
238,25
239,17
240,30
241,30
242,31
243,32
244,41
245,37
246,33
247,34
248,41
249,39
250,41
251,31
252,36
253,45
254,42
255,22
256,27
257,32
258,28
259,29
260,18
261,23
262,17
263,26
264,19
265,6
266,12
267,15
268,11
269,7
270,9
271,3
272,1
273,2
274,3
275,3
276,2
277,2
279,2
280,5
281,2
282,1
285,1
286,2
288,2
289,2
291,1
292,1
293,2
295,2
297,3
298,1
299,1
301,3
302,2
303,2
304,3
305,3
306,1
307,5
308,1
309,2
311,1
312,4
313,1
314,4
315,7
316,4
317,8
318,4
319,8
320,8
321,8
322,7
323,6
324,15
325,10
326,6
327,5
328,10
329,17
330,8
331,12
332,8
333,8
334,11
335,15
336,10
337,10
338,16
339,11
340,17
341,8
342,16
343,15
344,13
345,9
346,15
347,13
348,12
349,11
350,7
351,5
352,8
353,5
354,7
355,8
356,4
357,5
358,6
359,6
360,3
361,2
362,1
364,1
365,4
366,4
367,1
368,1
369,1
370,2
371,1
372,4
373,5
374,2
375,4
378,2
379,4
380,2
381,2
382,1
383,2
384,1
386,1
387,1
388,1
389,3
390,1
391,2
392,4
393,1
395,2
396,2
397,1
398,4
399,2
400,2
401,1
402,1
403,3
404,2
405,1
406,5
407,2
408,4
409,2
412,1
413,3
415,2
416,2
417,1
418,1
419,2
420,1
423,3
424,2
425,1
426,2
429,2
430,1
431,2
433,1
434,3
435,1
436,1
437,4
438,2
440,2
441,2
442,3
443,1
444,2
446,4
447,1
448,1
449,2
450,2
451,1
452,3
453,1
455,1
456,1
457,2
458,1
460,1
461,3
462,3
464,5
465,3
466,2
468,1
470,1
472,1
473,1
474,1
476,3
477,2
478,3
481,2
485,1
486,5
487,4
488,2
489,1
492,1
494,1
495,2
497,2
498,3
499,3
500,2
501,1
502,2
504,2
505,4
506,4
507,2
508,1
509,3
510,3
511,1
513,1
514,1
515,2
516,2
517,1
518,3
521,1
522,1
523,3
524,2
526,1
527,2
528,1
529,4
530,2
532,1
533,1
534,3
535,1
536,1
537,2
538,1
539,2
540,4
541,1
542,2
543,1
544,5
545,4
546,2
547,1
548,1
549,1
551,2
552,2
553,1
554,1
555,1
556,2
557,2
558,3
560,1
561,2
563,2
564,2
565,4
567,2
569,1
570,3
572,2
573,1
574,1
575,3
576,1
578,1
580,2
581,1
582,1
585,3
586,1
587,1
589,2
590,4
591,1
592,1
594,1
595,2
596,2
598,3
600,2
601,1
602,1
603,2
604,4
605,1
606,2
607,1
608,1
609,1
612,1
613,2
614,2
615,1
616,3
617,5
618,3
619,2
620,1
621,1
624,2
625,2
626,4
627,4
628,2
630,2
631,2
632,7
634,1
635,1
637,1
638,6
639,1
640,2
641,2
643,2
645,3
646,2
647,2
648,1
649,1
650,1
652,1
653,1
654,1
657,2
658,1
659,1
660,1
661,1
662,1
663,1
664,2
665,1
666,2
667,2
668,1
669,2
670,3
671,1
672,3
673,3
674,3
675,2
676,3
677,1
678,2
681,1
682,1
684,3
686,4
687,1
688,3
689,1
690,1
692,2
693,2
694,2
696,2
697,1
698,1
699,1
700,3
701,1
702,3
704,3
705,1
708,3
709,2
710,3
711,2
712,1
713,1
714,1
715,4
716,3
717,2
718,2
719,2
720,1
721,2
723,2
724,1
725,1
729,2
730,1
731,3
733,1
735,4
737,2
740,1
742,2
743,1
744,2
745,1
746,1
747,2
749,1
750,1
751,2
752,2
753,2
755,2
760,1
761,1
762,3
763,1
764,1
767,1
768,2
770,3
771,1
772,2
774,1
775,1
776,2
777,4
778,3
780,1
781,2
782,1
784,2
785,2
786,3
789,2
791,3
792,4
794,1
796,2
798,2
802,1
803,4
804,2
806,1
807,4
808,1
809,1
810,1
811,5
812,3
813,3
814,1
815,1
816,4
818,2
819,1
820,1
821,2
822,2
823,2
824,2
826,1
827,2
828,2
829,3
830,2
831,2
832,1
833,1
834,4
835,4
837,2
838,1
839,1
840,2
841,3
842,1
845,2
846,1
848,2
849,3
850,2
851,3
854,1
855,2
856,2
857,1
858,3
859,1
860,1
862,1
863,1
864,1
866,1
867,1
868,2
869,2
870,3
873,2
874,1
876,5
879,1
880,3
881,3
882,2
883,1
885,3
886,2
887,2
888,1
890,1
891,1
892,1
895,1
896,2
897,1
899,1
900,2
904,4
905,2
906,1
909,1
910,1
911,1
912,3
913,4
915,2
916,4
920,1
922,2
923,3
925,2
927,2
928,2
930,3
934,2
935,2
936,1
938,3
941,1
942,1
943,2
944,3
945,1
947,1
948,3
949,2
950,1
951,1
952,1
953,1
954,3
955,1
956,2
957,2
959,1
960,1
961,3
962,1
963,3
964,1
965,1
966,1
967,4
968,2
969,2
970,1
971,5
972,1
973,1
974,1
975,1
976,1
977,4
978,1
979,2
981,2
982,2
983,2
984,1
985,2
986,3
987,2
988,1
989,1
990,2
991,1
992,3
993,3
994,2
996,1
997,1
998,2
999,1
1001,2
1002,1
1004,1
1005,3
1007,1
1009,1
1010,1
1013,1
1014,2
1015,2
1016,1
1017,4
1019,2
1020,3
1021,1
1022,1
1023,2
1025,4
1026,2
1027,1
1028,4
1029,4
1030,2
1031,2
1032,5
1033,5
1034,10
1035,6
1036,8
1037,11
1038,3
1039,6
1040,8
1041,7
1042,12
1043,9
1044,10
1045,10
1046,7
1047,12
1048,12
1049,12
1050,10
1051,15
1052,13
1053,13
1054,10
1055,12
1056,13
1057,14
1058,13
1059,15
1060,7
1061,9
1062,9
1063,9
1064,11
1065,7
1066,11
1067,12
1068,4
1069,1
1070,15
1071,4
1072,7
1073,5
1074,5
1075,7
1076,4
1077,3
1078,2
1079,8
1080,5
1081,3
1082,2
1083,4
1084,3
1085,4
1086,3
1087,3
1088,1
1089,1
1090,3
1091,2
1092,1
1093,2
1094,1
1095,1
1096,2
1097,2
1098,2
1100,1
1101,1
1103,2
1104,7
1105,2
1106,3
1108,1
1109,2
1110,3
1111,2
1114,1
1115,1
1117,2
1118,2
1121,2
1122,3
1123,1
1124,2
1125,2
1126,2
1127,1
1128,3
1129,2
1130,2
1131,1
1132,2
1133,6
1134,4
1135,3
1136,3
1137,1
1138,1
1139,3
1140,2
1141,2
1143,1
1144,2
1145,1
1146,3
1147,1
1148,2
1150,2
1151,3
1152,2
1153,1
1154,2
1155,1
1156,2
1157,1
1158,1
1159,3
1160,2
1161,1
1162,3
1163,1
1164,3
1166,4
1167,1
1168,2
1169,3
1170,2
1171,1
1172,2
1173,1
1174,1
1176,1
1177,1
1178,2
1179,2
1180,6
1181,3
1182,1
1183,1
1184,2
1185,4
1186,2
1188,1
1189,3
1190,1
1191,1
1192,1
1193,5
1194,2
1195,3
1196,4
1197,1
1198,3
1199,2
1201,1
1202,2
1203,1
1205,2
1207,2
1208,3
1209,2
1211,2
1212,3
1213,3
1214,1
1215,1
1217,1
1218,1
1219,4
1220,4
1222,2
1223,1
1225,2
1226,2
1227,2
1228,1
1229,1
1230,2
1231,5
1232,2
1233,2
1234,2
1235,3
1237,3
1238,3
1239,2
1240,5
1242,3
1243,4
1244,1
1246,1
1247,4
1249,5
1250,3
1251,1
1252,2
1253,1
1254,1
1255,4
1256,1
1257,6
1259,2
1260,1
1261,2
1262,1
1263,2
1264,3
1265,4
1267,1
1268,2
1269,3
1270,1
1271,3
1272,3
1273,3
1274,1
1275,2
1276,2
1277,5
1278,1
1279,1
1281,2
1282,2
1284,3
1285,1
1287,3
1289,2
1290,2
1291,2
1292,1
1294,2
1295,2
1296,3
1297,2
1298,2
1299,3
1300,1
1301,3
1302,2
1303,2
1304,2
1305,3
1306,2
1308,1
1309,2
1310,1
1311,2
1312,2
1313,1
1314,2
1315,1
1316,4
1317,3
1318,2
1319,4
1320,2
1321,1
1322,2
1323,4
1324,2
1325,2
1326,3
1327,2
1328,1
1330,1
1331,1
1333,2
1334,1
1335,4
1337,3
1338,1
1340,3
1341,2
1342,1
1343,2
1344,1
1345,1
1346,1
1347,2
1350,2
1351,1
1352,2
1353,3
1354,1
1355,2
1356,2
1357,2
1358,1
1359,1
1360,2
1362,3
1363,4
1364,2
1365,3
1366,2
1367,3
1368,6
1369,3
1370,2
1371,4
1372,4
1373,2
1374,1
1375,2
1376,2
1377,4
1378,3
1380,2
1381,1
1382,5
1385,1
1386,1
1387,1
1388,3
1389,3
1390,2
1391,2
1392,5
1393,2
1394,4
1395,2
1396,1
1397,4
1398,3
1399,3
1400,5
1402,2
1403,4
1404,3
1406,1
1408,4
1410,1
1411,1
1412,2
1413,4
1414,2
1415,1
1416,5
1417,1
1418,2
1419,2
1420,2
1421,1
1422,2
1424,3
1425,2
1426,2
1427,1
1428,2
1429,3
1430,2
1431,2
1432,4
1433,3
1434,1
1435,2
1436,4
1438,1
1439,3
1440,1
1441,1
1442,7
1443,3
1444,3
1445,2
1446,3
1447,2
1448,2
1449,5
1450,2
1451,1
1452,3
1453,2
1454,2
1455,1
1456,5
1458,3
1459,2
1460,1
1461,2
1463,4
1464,1
1465,2
1466,2
1467,3
1468,6
1469,4
1470,2
1471,2
1472,6
1473,4
1474,3
1475,1
1476,1
1477,3
1478,2
1479,3
1480,3
1481,2
1482,3
1483,3
1484,2
1485,2
1486,2
1487,1
1488,1
1489,5
1490,1
1491,2
1492,1
1493,2
1494,1
1495,4
1497,4
1498,5
1500,6
1501,1
1502,2
1503,3
1504,1
1505,2
1506,5
1507,6
1508,1
1509,3
1510,2
1511,3
1512,4
1513,5
1514,3
1515,6
1516,2
1518,1
1519,7
1520,3
1521,6
1522,4
1523,3
1524,4
1525,4
1526,9
1527,4
1528,2
1529,8
1530,3
1531,5
1532,2
1534,2
1535,3
1536,3
1537,4
1538,3
1539,1
1540,6
1541,3
1542,2
1543,4
1544,5
1545,5
1546,4
1547,1
1548,2
1549,2
1550,2
1551,2
1552,2
1553,2
1554,3
1555,6
1556,5
1557,4
1558,2
1559,1
1560,2
1561,3
1562,4
1563,3
1564,2
1565,4
1566,1
1567,3
1568,5
1569,2
1570,3
1571,3
1572,5
1573,5
1574,3
1575,5
1576,3
1577,9
1578,1
1579,5
1580,3
1581,1
1582,8
1583,9
1584,5
1585,6
1586,7
1587,4
1588,4
1589,6
1590,5
1591,6
1592,7
1593,6
1594,3
1595,3
1596,3
1597,4
1598,3
1599,6
1600,2
1601,4
1602,5
1603,6
1604,4
1605,5
1606,6
1607,4
1608,5
1609,2
1610,4
1611,9
1612,3
1613,9
1614,5
1615,6
1616,5
1617,5
1618,7
1619,2
1620,6
1621,7
1622,4
1623,5
1624,6
1625,6
1626,8
1627,2
1628,5
1629,5
1630,10
1631,5
1632,2
1633,4
1634,5
1635,4
1636,5
1637,5
1638,4
1639,10
1640,6
1641,4
1642,7
1643,8
1644,6
1645,3
1646,3
1647,6
1648,10
1649,5
1650,7
1651,5
1652,4
1653,3
1654,6
1655,9
1656,3
1657,3
1658,7
1659,2
1660,7
1661,6
1662,5
1663,8
1664,5
1665,4
1666,5
1667,7
1668,1
1669,8
1670,5
1671,4
1672,3
1673,9
1674,5
1675,11
1676,4
1677,4
1678,7
1679,6
1680,5
