Rank,Frequency
1,1
2,1
3,1
5,1
13,4
14,1
15,1
16,1
20,3
22,2
23,1
24,2
26,1
30,2
33,1
35,1
38,1
39,1
41,1
45,1
46,1
48,2
50,1
51,2
53,1
54,2
55,2
57,2
59,1
60,1
61,1
62,2
63,1
64,1
65,3
66,2
71,2
72,1
73,3
75,1
77,1
78,1
79,2
80,2
81,1
83,2
84,1
85,1
86,2
89,2
90,1
91,2
92,1
94,4
95,1
96,1
97,4
98,4
99,1
100,2
101,5
102,7
103,4
104,1
105,4
106,8
107,5
108,6
109,8
110,7
111,8
112,7
113,9
114,7
115,6
116,6
117,3
118,3
119,3
120,5
121,6
122,9
123,7
124,6
125,4
126,11
127,8
128,14
129,16
130,35
131,26
132,31
133,28
134,41
135,48
136,57
137,67
138,47
139,49
140,65
141,70
142,62
143,68
144,79
145,71
146,46
147,65
148,43
149,38
150,32
151,25
152,28
153,23
154,16
155,11
156,12
157,8
158,13
159,4
160,12
161,3
162,5
163,4
164,1
165,1
166,4
167,3
169,2
170,1
171,1
172,3
173,3
174,1
175,2
176,1
177,2
179,1
181,3
182,2
184,1
185,1
186,3
187,3
188,4
189,2
190,2
191,3
193,2
194,1
195,8
196,2
198,2
199,2
200,1
202,1
204,2
205,2
206,2
207,1
208,2
209,2
212,1
213,3
214,2
215,1
216,3
217,3
218,2
219,3
220,4
221,3
222,2
223,1
224,1
225,1
226,2
227,8
228,3
229,1
230,2
231,1
233,2
234,4
237,3
238,2
239,2
240,1
241,4
242,4
243,2
244,2
245,2
247,1
248,1
249,4
250,1
251,1
252,3
253,2
255,4
256,7
257,1
259,1
260,4
261,5
262,1
263,3
264,1
265,2
266,3
267,2
268,2
269,3
270,4
271,6
272,4
273,2
274,2
275,4
276,1
277,5
278,1
279,2
280,4
281,2
282,2
283,2
284,3
285,1
286,4
287,3
288,1
289,2
290,2
291,3
292,2
293,2
295,2
296,4
297,1
298,2
299,2
300,1
301,1
302,2
303,2
304,5
305,2
306,2
307,1
308,2
309,4
310,1
311,4
312,3
313,1
314,1
316,7
317,2
318,3
319,3
320,2
322,6
323,4
324,3
325,3
327,3
329,5
334,5
335,1
337,1
338,1
339,4
340,2
341,4
342,1
343,1
344,3
345,5
346,1
347,3
349,1
350,2
351,2
352,2
353,1
354,2
355,3
356,2
357,6
358,3
359,3
360,1
361,1
363,3
364,2
365,2
366,3
367,3
368,4
369,4
370,3
371,1
372,1
374,2
375,2
377,1
378,1
379,2
380,4
381,1
382,2
383,2
384,1
385,2
386,4
387,2
388,3
390,1
391,4
392,4
393,2
394,2
396,5
397,1
398,3
399,1
400,2
401,3
402,3
403,1
404,1
405,4
406,2
407,1
408,1
409,4
410,3
411,1
414,1
415,3
416,4
417,3
418,2
419,5
420,4
421,2
422,5
423,7
424,6
425,2
426,4
427,5
428,4
429,7
430,8
431,6
432,4
433,6
434,7
435,13
436,10
437,7
438,11
439,13
440,6
441,9
442,4
443,11
444,11
445,8
446,13
447,9
448,11
449,8
450,22
451,13
452,12
453,11
454,10
455,7
456,12
457,5
458,4
459,6
460,7
461,10
462,7
463,9
464,4
465,7
466,4
467,5
468,4
469,5
470,5
471,6
472,3
473,6
474,3
475,2
476,1
477,1
478,3
479,3
480,2
482,2
483,2
484,2
485,2
486,2
487,2
488,4
489,3
490,1
491,2
492,1
493,4
494,2
495,3
496,3
497,2
498,3
499,3
500,1
501,1
502,1
503,2
504,1
505,4
506,3
507,3
508,5
509,3
510,2
511,3
512,6
513,2
514,3
515,2
516,1
518,4
519,2
520,1
521,1
522,2
524,4
525,3
526,4
528,2
529,2
530,2
531,2
532,1
533,2
534,4
535,7
536,1
537,1
538,1
540,3
541,3
542,4
543,2
544,2
545,2
546,2
547,2
548,2
549,1
550,6
551,2
552,1
553,1
554,2
555,1
556,4
557,2
558,2
559,3
560,1
561,1
562,4
563,2
564,2
565,2
566,1
568,2
569,2
570,5
571,2
572,2
573,5
574,1
575,1
577,2
578,3
579,2
580,1
581,2
582,5
583,2
584,2
585,1
586,4
587,3
588,5
589,2
590,7
591,2
592,2
593,2
594,3
595,4
596,4
597,4
598,4
599,1
600,4
601,5
602,4
603,1
604,5
605,4
606,6
607,1
608,4
609,4
610,5
611,7
612,3
613,4
614,7
615,3
616,4
617,3
618,1
619,2
620,5
621,4
622,6
623,1
624,2
625,5
626,1
627,2
629,2
631,2
632,2
633,1
634,2
635,4
636,1
637,2
639,1
640,1
641,2
642,1
643,1
644,5
645,2
646,4
647,1
648,2
649,4
651,3
653,3
654,2
655,2
656,5
657,2
658,4
659,3
660,6
661,2
662,3
663,3
664,2
665,3
666,1
667,2
668,3
669,3
670,2
671,8
672,2
673,1
674,4
675,2
676,2
677,3
678,2
679,1
680,3
681,1
682,3
683,2
685,2
686,2
687,2
688,2
