Rank,Frequency
6,1
10,1
11,1
15,1
20,1
21,1
22,2
23,1
25,2
26,1
27,1
28,1
30,1
32,1
34,1
36,1
37,2
38,1
41,1
42,1
43,1
44,1
46,1
47,3
50,1
51,1
52,3
53,2
57,2
58,1
59,1
60,2
62,3
64,1
66,2
67,2
70,1
71,1
72,2
73,2
74,2
77,2
78,3
79,3
80,2
83,1
84,2
85,1
86,2
87,4
88,1
89,2
90,5
91,1
92,3
93,3
94,1
95,1
97,1
98,2
100,1
101,3
102,3
103,2
104,2
105,2
108,2
109,2
110,1
112,2
114,2
115,3
116,3
118,2
120,3
121,1
122,2
123,2
124,3
125,1
126,2
127,2
128,2
129,2
130,2
131,1
133,1
134,2
135,1
137,3
138,2
139,2
140,2
141,1
142,4
144,1
145,2
146,1
148,1
149,6
150,3
151,1
152,1
153,1
155,1
156,3
159,2
160,1
161,3
162,2
164,1
165,1
167,3
168,6
169,3
170,4
171,1
172,2
173,2
174,1
175,1
178,3
179,1
180,1
181,2
182,1
183,1
184,1
185,4
186,4
187,1
188,1
189,2
190,2
191,1
192,5
193,1
195,2
196,4
197,4
199,1
200,2
202,3
203,2
204,2
205,2
207,3
208,5
209,2
210,1
212,4
213,2
214,1
215,1
216,4
217,2
218,1
219,2
220,3
221,1
222,4
223,2
224,1
225,1
226,3
227,1
228,2
230,2
231,2
232,3
233,1
234,2
236,2
237,3
238,2
239,1
241,1
243,2
244,3
246,4
247,1
248,1
249,1
250,1
251,1
253,4
254,2
256,2
257,1
258,3
259,1
261,2
262,1
263,2
264,1
265,2
266,5
267,2
268,2
269,1
270,2
271,1
273,3
274,2
275,4
278,3
281,2
282,1
283,2
284,4
286,2
287,2
288,2
290,2
291,2
293,2
294,3
295,3
296,1
297,1
298,1
299,2
300,1
301,1
302,1
303,2
304,4
305,4
307,1
308,5
309,1
310,1
312,2
314,1
315,3
316,2
317,2
318,1
320,1
321,1
322,1
323,1
324,3
326,2
327,2
329,1
330,1
331,2
332,1
333,5
334,1
335,3
336,4
337,7
338,2
339,2
340,1
341,2
342,2
343,1
344,2
345,1
346,1
347,1
348,3
349,1
350,3
351,1
352,1
353,1
354,3
355,3
357,1
358,2
359,1
360,4
361,1
363,1
364,1
365,1
366,2
368,2
369,1
370,3
371,1
372,4
376,2
377,1
378,3
379,4
383,3
384,4
385,1
386,2
387,4
388,1
389,2
390,1
391,1
392,1
393,3
394,1
396,2
397,2
398,1
399,2
400,2
401,4
