Rank,Frequency
6,1
7,2
12,2
13,1
17,2
18,1
19,1
20,2
22,2
23,1
24,1
25,1
26,1
27,4
28,1
29,2
30,4
31,3
32,4
33,5
34,4
35,1
36,3
37,1
38,4
40,2
41,7
42,3
43,2
44,7
45,3
46,7
47,10
48,24
49,28
50,35
51,49
52,48
53,69
54,104
55,98
56,105
57,105
58,107
59,114
60,99
61,77
62,75
63,57
64,45
65,39
66,33
67,25
68,15
69,7
70,10
71,7
72,2
73,2
74,5
75,2
76,5
77,3
78,1
79,3
80,1
81,1
82,3
83,2
84,2
85,3
86,1
87,3
88,1
89,3
90,4
91,5
92,1
93,1
94,4
95,5
96,2
97,1
98,4
99,4
100,1
101,3
102,1
103,4
104,1
105,2
106,2
108,2
109,2
110,5
111,2
112,1
113,2
114,2
116,1
117,2
118,4
119,1
121,1
122,2
124,4
125,1
126,4
127,1
128,4
129,3
130,3
131,2
132,2
133,2
134,3
135,1
136,3
137,1
138,3
140,2
141,1
142,1
143,2
145,1
146,4
147,2
148,3
150,2
152,3
153,1
154,3
155,2
156,1
158,3
159,2
161,3
163,1
164,2
165,3
166,1
167,3
168,3
170,3
171,3
172,3
173,2
174,5
175,2
176,1
177,2
181,1
182,1
184,1
185,4
187,1
188,1
189,3
190,2
191,1
193,1
196,1
197,1
198,2
199,2
200,1
201,1
202,3
203,1
204,1
205,5
208,1
209,6
210,1
211,1
213,3
214,4
215,5
217,1
218,1
219,1
220,2
221,2
223,6
224,3
225,3
226,2
227,1
229,2
230,2
231,1
232,5
234,3
235,1
236,2
237,2
238,1
239,3
240,2
241,2
242,2
243,3
244,5
245,1
246,1
249,2
251,1
252,1
253,1
254,1
255,1
256,2
257,5
258,1
260,1
261,3
263,5
264,2
265,1
266,1
267,1
268,2
269,1
270,2
271,2
272,1
273,2
274,1
275,5
276,1
277,1
278,3
279,2
281,1
286,2
287,1
289,2
290,3
291,4
292,1
293,1
294,2
295,4
296,3
297,1
299,1
300,2
301,1
