Rank,Frequency
1,1
2,1
7,1
10,1
11,2
15,2
18,4
19,5
20,4
21,10
22,14
23,17
24,25
25,19
26,19
27,23
28,20
29,13
30,11
31,12
32,3
33,2
34,8
35,2
36,1
37,4
40,2
41,1
42,2
44,4
45,1
51,2
52,1
55,2
56,1
58,2
59,1
60,1
61,1
63,2
64,1
65,1
66,3
68,1
69,2
70,1
72,2
73,1
74,2
75,1
77,2
79,3
80,1
81,1
83,2
84,1
87,3
88,1
89,2
93,2
96,5
98,1
99,1
101,1
102,1
103,1
105,2
106,2
107,1
108,1
109,2
110,2
112,2
116,1
118,2
119,1
121,1
122,1
124,2
127,2
128,2
130,4
131,4
132,2
133,2
136,1
140,3
142,1
144,2
145,2
147,3
148,1
151,1
152,1
154,1
155,3
156,2
157,2
158,1
159,2
160,1
161,7
162,3
163,1
164,5
165,6
166,5
167,7
168,4
169,13
170,9
171,10
172,15
173,20
174,9
175,14
176,13
177,22
178,18
179,19
180,21
181,27
182,33
183,34
184,38
185,26
186,28
187,53
188,31
189,31
190,45
191,36
192,38
193,42
194,47
195,40
196,43
197,37
198,38
199,28
200,25
201,25
202,32
203,29
204,19
205,16
206,15
207,5
208,4
209,7
210,6
211,5
212,3
213,6
214,4
215,2
217,4
218,1
219,1
224,2
225,1
226,1
227,3
228,2
229,1
230,1
231,1
232,2
233,2
234,1
235,2
237,2
239,3
241,3
243,2
245,1
246,2
247,4
249,2
251,3
253,1
254,2
255,1
256,1
257,1
261,1
262,1
263,1
264,1
266,1
267,1
268,2
269,3
271,1
274,1
276,2
277,1
278,2
279,5
280,1
281,1
282,3
283,1
284,2
286,2
288,3
289,1
290,3
291,1
297,2
298,4
299,1
301,1
302,1
303,1
304,2
305,2
306,3
307,2
308,1
309,1
310,2
311,1
312,1
314,2
316,1
317,2
319,1
320,2
322,1
323,1
324,5
325,1
327,1
329,1
330,1
331,1
333,1
335,3
336,3
337,2
338,1
339,1
341,1
342,1
343,1
344,1
345,1
347,1
348,2
349,1
351,1
352,1
353,1
354,1
355,1
356,2
358,1
359,1
360,1
361,2
364,3
365,3
366,2
367,1
368,1
370,1
371,1
372,1
373,3
374,1
375,2
376,1
377,1
378,1
379,1
380,1
381,1
383,2
384,2
386,3
387,2
388,2
392,1
393,2
394,2
395,1
396,2
398,1
399,3
402,2
404,1
405,3
406,1
408,1
411,1
412,1
413,1
414,2
415,2
416,6
419,1
420,2
421,1
422,3
423,3
424,1
425,2
426,3
427,1
428,2
429,3
431,1
432,1
434,2
436,3
437,3
438,2
439,1
440,2
441,2
442,1
443,3
444,4
445,2
446,4
447,1
449,1
450,3
451,2
453,2
454,2
455,4
457,1
458,2
459,1
460,1
461,2
462,2
463,1
464,3
465,2
466,1
467,3
468,2
471,1
473,2
474,3
475,1
476,1
477,2
478,1
480,5
481,3
482,1
483,1
484,2
487,2
488,1
489,2
490,1
491,2
492,3
494,2
495,1
496,2
498,1
499,1
500,1
501,1
502,2
503,3
505,1
508,2
510,2
511,1
512,2
514,1
515,3
516,1
517,1
519,1
521,2
522,1
523,1
524,1
525,3
526,2
528,3
531,1
532,2
533,3
534,1
535,2
536,3
537,1
538,1
539,3
540,2
541,1
543,2
544,3
546,1
547,2
550,3
551,3
552,2
553,2
554,2
555,2
556,1
558,2
559,2
561,1
562,6
564,1
565,3
566,4
568,2
569,1
571,2
572,1
573,1
574,1
575,2
576,2
577,4
578,1
579,2
580,1
581,4
582,3
583,2
584,2
585,2
586,1
588,2
589,1
590,1
591,2
592,1
593,1
595,1
596,1
599,1
600,1
601,1
602,5
603,3
605,1
606,1
607,2
608,4
609,2
611,3
613,3
614,1
615,3
616,2
617,5
618,2
619,2
620,1
621,1
622,2
623,2
624,1
625,3
626,4
628,1
629,1
630,2
631,2
632,1
634,4
635,1
636,1
637,1
638,3
640,1
641,1
642,3
643,2
644,1
645,1
646,3
647,1
648,2
650,2
651,1
653,2
655,2
656,3
657,3
658,1
659,3
660,1
661,2
662,3
663,2
664,2
666,1
667,3
669,1
670,1
672,3
674,3
676,4
677,2
679,2
680,1
681,1
683,2
684,3
685,3
686,1
688,2
689,2
690,3
691,5
695,5
696,3
698,2
699,1
701,2
702,1
704,1
705,6
706,2
707,3
708,2
710,2
711,3
712,2
714,2
715,2
716,2
717,3
719,2
720,2
722,1
723,1
725,2
726,4
727,2
728,3
729,2
730,1
731,2
732,4
733,1
734,5
736,1
737,3
738,1
739,3
740,2
741,2
742,3
744,1
746,3
747,3
748,2
749,5
750,3
752,1
754,2
755,2
756,2
757,2
758,2
759,1
760,1
761,1
762,4
763,2
767,3
768,1
770,3
771,3
772,2
773,1
775,3
777,2
778,2
781,1
782,1
785,2
786,3
787,1
788,2
789,3
790,3
791,2
792,1
793,1
794,1
795,1
796,1
797,1
798,2
