Rank,Frequency
1,2
2,1
3,1
4,3
5,5
6,3
7,4
8,1
9,3
10,4
11,2
12,2
13,2
14,3
15,2
16,2
17,1
19,1
20,3
21,5
22,3
23,6
24,4
25,1
26,3
27,4
28,4
29,4
30,6
31,7
32,5
33,3
34,4
35,6
36,5
37,1
38,4
39,6
40,3
41,5
42,3
43,3
44,3
45,1
46,4
47,3
48,2
49,3
50,4
51,2
52,6
53,2
54,4
55,3
56,2
57,2
58,4
59,4
60,4
61,5
62,2
63,6
64,3
65,9
67,3
68,1
69,2
70,3
71,5
72,3
73,3
74,4
75,2
76,2
77,1
78,2
79,2
80,5
81,2
82,4
83,4
84,3
85,3
86,4
87,1
88,2
89,3
90,1
91,6
92,3
94,4
95,5
96,6
98,2
99,4
100,2
101,2
102,1
103,2
104,3
106,1
107,2
108,3
109,4
110,3
111,5
112,4
113,2
115,6
116,3
117,1
118,4
119,2
120,5
121,2
122,5
123,2
124,6
125,2
126,1
127,1
128,2
129,1
130,4
131,1
132,2
133,3
134,5
135,3
136,2
137,3
138,4
139,4
140,2
141,4
142,4
143,6
144,3
145,1
147,5
148,3
149,5
150,1
151,2
153,2
154,3
156,5
157,3
158,2
159,2
160,4
161,3
162,2
165,4
166,3
167,4
168,3
169,2
170,3
171,3
172,4
173,5
174,4
175,2
176,3
177,3
178,6
179,1
180,1
181,3
182,2
183,5
184,2
185,4
186,4
187,3
188,3
189,1
190,3
191,1
192,5
193,2
196,3
198,1
199,2
200,5
201,2
202,2
203,6
204,2
205,6
206,3
207,2
208,3
209,2
210,5
211,2
212,3
213,3
214,4
215,1
216,1
217,3
218,2
219,3
220,3
221,4
222,2
223,3
225,5
226,1
227,3
229,3
230,2
231,2
232,1
233,2
234,3
235,3
236,4
237,2
238,3
239,1
240,2
241,7
242,1
243,5
245,1
246,2
247,3
248,3
249,2
250,2
251,4
252,2
253,2
254,3
255,2
256,2
257,2
258,4
259,2
260,3
261,1
262,4
263,3
264,3
265,1
266,1
269,2
270,3
271,1
272,1
273,4
274,2
275,2
276,5
277,4
278,3
279,5
280,2
281,1
282,1
283,4
285,4
287,2
288,4
289,2
290,2
291,2
292,2
293,1
294,3
295,3
298,4
300,2
301,3
303,2
304,2
305,4
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,4
314,2
315,2
316,2
317,2
318,3
319,1
320,2
321,1
322,1
323,2
324,1
326,1
327,2
328,1
329,2
330,2
331,1
332,1
333,3
334,3
335,2
336,1
337,1
339,2
340,3
341,1
343,1
344,4
345,2
346,3
347,2
348,3
349,3
350,2
351,1
352,1
353,1
354,1
355,1
356,2
357,7
358,3
359,4
360,1
361,2
362,2
363,2
364,3
365,2
367,3
368,4
370,1
371,2
372,3
373,1
374,2
375,1
376,2
379,2
380,2
381,1
382,4
383,1
384,2
385,1
386,2
387,7
388,1
389,2
390,3
391,5
392,3
393,2
394,3
395,7
396,3
397,1
398,1
399,1
400,4
401,2
402,1
404,1
405,2
406,3
407,1
408,2
409,1
410,3
411,3
412,1
414,2
415,2
416,1
417,3
418,3
419,2
420,2
421,1
422,1
423,4
424,1
425,2
426,4
427,1
428,4
429,3
430,2
431,1
432,1
433,2
434,3
435,1
436,2
438,2
439,2
440,3
443,5
444,4
445,1
446,2
448,4
450,2
451,3
452,2
453,1
454,4
455,5
456,2
457,3
458,4
459,1
460,1
461,4
462,2
464,4
466,5
467,3
470,1
471,1
472,1
473,3
474,3
475,5
476,1
478,2
479,2
480,3
481,3
482,1
483,3
484,1
485,2
486,5
487,3
488,1
489,3
490,3
491,1
493,1
494,3
495,1
496,1
497,1
498,2
499,1
500,1
501,1
502,1
503,1
504,2
505,1
506,1
508,1
509,5
510,1
511,3
515,1
516,7
517,1
519,2
520,2
521,2
522,1
523,1
524,3
525,3
526,4
529,2
530,3
532,2
533,1
535,2
536,3
537,2
540,2
541,1
542,1
543,1
544,3
545,1
546,1
547,1
548,2
549,2
550,1
551,1
552,4
553,4
554,2
555,1
556,4
557,1
558,2
560,1
561,1
563,1
564,4
565,2
566,1
568,1
569,2
570,2
571,5
574,2
575,4
576,2
577,3
578,5
579,1
580,4
581,1
582,1
584,3
585,3
586,3
587,4
590,2
591,3
592,3
593,3
594,1
595,3
596,1
597,2
598,1
599,3
600,2
601,2
603,2
606,1
607,1
609,3
610,1
611,1
612,3
613,1
614,2
616,1
617,4
618,3
619,4
620,3
621,1
623,2
625,1
627,6
628,1
629,3
630,1
631,4
632,2
633,1
634,3
635,2
637,2
638,2
639,2
641,2
642,1
643,2
644,2
645,1
646,1
647,1
649,4
651,2
652,1
653,4
654,4
655,2
656,2
657,4
658,1
659,2
660,1
661,1
663,2
664,1
665,2
666,1
668,5
669,1
671,2
672,1
673,3
674,1
675,4
676,3
677,2
678,4
679,2
680,3
682,4
684,2
685,3
686,2
687,2
688,1
689,2
690,1
691,2
692,2
693,1
694,1
695,6
696,1
697,2
699,1
700,1
701,1
702,1
703,2
704,1
706,1
708,1
710,3
711,1
712,1
713,3
714,1
715,2
716,2
717,1
718,2
719,2
720,2
722,2
724,3
727,1
731,2
732,3
733,4
736,3
740,1
741,3
742,3
743,5
744,2
746,1
747,1
748,2
749,2
750,2
751,1
752,1
754,3
755,2
756,1
757,3
758,1
759,5
760,1
761,3
762,4
764,1
767,1
768,2
769,2
770,1
772,1
773,1
774,1
775,1
776,2
777,4
779,1
780,4
781,1
782,1
783,3
784,2
785,3
786,2
787,3
788,1
789,4
790,1
791,2
792,1
794,1
795,1
796,2
797,1
798,1
800,1
801,1
803,3
804,2
806,3
807,3
808,3
809,2
810,3
811,1
814,1
815,5
816,2
818,1
819,1
820,1
821,1
822,3
824,4
825,2
826,1
827,3
828,1
829,1
831,3
833,3
834,4
835,1
836,4
837,2
838,3
839,4
840,2
841,1
842,3
843,1
846,1
848,1
849,1
850,1
851,6
852,2
853,2
854,2
855,3
856,1
857,2
862,3
863,2
864,1
865,2
866,1
867,2
868,1
869,1
870,2
871,2
873,2
874,1
875,2
877,3
878,1
880,2
881,1
883,1
884,2
885,1
886,3
887,1
888,1
889,1
890,1
891,3
892,1
893,1
894,3
895,1
896,1
897,2
898,2
900,2
903,2
904,3
905,2
906,1
907,4
908,2
909,4
910,2
911,2
912,1
914,1
915,1
916,1
917,2
918,1
921,2
922,1
923,1
925,2
927,3
931,3
932,1
933,3
934,2
935,2
936,1
937,3
938,1
940,1
941,1
942,1
943,1
944,1
945,2
946,4
948,1
949,6
950,2
953,4
954,3
955,1
957,3
959,2
961,2
962,1
963,3
964,2
966,1
967,5
968,2
970,2
971,3
972,3
974,3
975,3
976,2
977,2
978,1
979,3
980,1
981,2
982,2
983,1
984,3
987,3
989,4
990,4
991,1
993,1
994,4
995,4
996,1
997,3
998,2
1000,1
1001,2
1002,2
1003,3
1004,2
1005,5
1006,3
1007,4
1010,2
1011,2
1012,2
1013,4
1014,2
1016,2
1017,2
1018,1
1019,1
1020,3
1022,1
1023,1
1026,1
1027,1
1028,4
1029,1
1030,3
1032,1
1033,2
1034,1
1035,1
1036,2
1037,2
1038,1
1039,2
1040,1
1041,3
1042,5
1043,4
1044,2
1045,2
1046,1
1047,1
1048,2
1049,1
1050,3
1052,2
1053,4
1054,2
1055,3
1056,6
1057,7
1058,5
1059,8
1060,7
1061,8
1062,9
1063,9
1064,7
1065,10
1066,18
1067,12
1068,15
1069,8
1070,16
1071,17
1072,26
1073,20
1074,19
1075,24
1076,19
1077,21
1078,16
1079,29
1080,21
1081,28
1082,27
1083,24
1084,30
1085,28
1086,28
1087,30
1088,32
1089,29
1090,30
1091,28
1092,35
1093,29
1094,31
1095,34
1096,28
1097,46
1098,44
1099,47
1100,46
1101,40
1102,33
1103,38
1104,32
1105,45
1106,35
1107,30
1108,32
1109,33
1110,25
1111,32
1112,30
1113,30
1114,32
1115,28
1116,27
1117,16
1118,26
1119,25
1120,18
1121,17
1122,14
1123,17
1124,21
1125,14
1126,13
1127,7
1128,11
1129,5
1130,9
1131,9
1132,10
1133,9
1134,7
1135,5
1136,5
1137,1
1138,2
1140,1
1141,3
1142,2
1144,2
1145,2
1146,2
1147,2
1148,1
1149,2
1150,2
1151,4
1152,3
1153,4
1154,2
1155,3
1156,2
1157,2
1158,2
1159,6
1160,2
1161,2
1163,1
1165,1
1166,2
1168,1
1169,1
1170,1
1171,1
1172,3
1175,2
1176,1
1177,3
1179,2
1180,3
1181,3
1183,4
1184,2
1185,1
1186,1
1187,2
1188,2
1190,3
1191,2
1192,1
1195,5
1196,1
1197,4
1198,1
1199,1
1200,3
1202,2
1204,1
1205,1
1207,3
1208,3
1209,4
1210,4
1211,1
1212,3
1213,4
1214,4
1215,4
1216,1
1218,1
1219,3
1220,3
1221,1
1224,3
1225,4
1226,1
1227,1
1228,1
