Rank,Frequency
2,2
4,1
5,1
7,1
8,1
9,2
14,3
15,2
16,1
17,2
18,2
19,1
20,1
22,2
23,1
25,2
26,3
27,1
29,1
31,2
33,1
34,1
35,1
36,1
37,1
38,2
40,1
44,1
45,1
47,1
50,1
51,2
54,1
57,2
58,1
61,2
62,1
63,3
65,1
66,1
67,1
68,2
69,2
71,2
73,2
75,2
77,1
79,4
81,1
82,1
83,2
85,1
86,1
87,1
88,2
89,1
91,1
94,1
95,1
97,2
98,2
100,1
101,1
103,1
106,1
107,1
108,1
112,3
116,3
119,3
126,1
127,2
128,1
129,2
132,2
133,1
135,1
138,2
139,1
141,1
142,1
144,1
145,1
146,2
147,1
152,1
153,1
154,1
156,2
158,1
162,2
163,2
164,1
165,1
167,2
170,1
171,1
172,1
173,2
174,1
180,1
181,1
183,4
184,1
185,3
189,1
190,2
193,2
194,2
200,2
201,2
203,1
205,2
206,1
208,2
213,1
214,4
218,2
219,2
224,1
225,1
226,1
230,1
231,3
232,1
234,1
235,1
236,2
241,3
242,2
246,1
248,3
254,1
255,1
256,2
257,2
258,2
262,1
263,1
264,2
266,1
267,3
268,1
269,2
271,1
273,3
274,1
276,1
277,2
279,1
280,1
281,1
282,1
283,1
284,2
285,2
286,2
288,2
289,1
293,2
296,1
297,1
298,1
299,1
300,3
301,2
304,1
307,1
310,1
311,1
312,3
315,1
317,3
319,1
321,1
322,1
324,1
327,1
328,2
330,1
333,1
335,1
336,2
338,2
339,1
341,1
342,2
343,1
344,1
346,2
347,2
351,2
352,1
353,2
354,1
359,1
361,1
363,2
364,1
365,1
366,2
367,1
370,2
371,3
372,2
373,1
374,1
375,3
378,1
381,1
383,1
385,3
386,2
389,2
391,1
392,2
393,1
394,2
397,2
398,1
399,1
400,3
401,1
402,2
405,1
406,2
409,1
410,1
411,1
412,1
416,1
417,1
419,2
422,1
425,3
426,1
429,1
430,2
432,1
433,2
434,2
435,2
436,1
437,2
438,2
439,1
440,1
441,2
442,1
445,2
446,1
447,2
450,1
452,5
453,2
454,1
455,1
456,1
458,3
459,2
460,1
463,2
464,2
465,1
466,1
467,2
468,1
472,2
473,2
474,2
475,1
476,2
477,1
479,1
483,2
484,2
485,1
486,1
488,1
492,1
494,1
497,2
498,2
499,1
500,3
501,2
502,2
503,3
504,3
505,1
506,2
507,4
508,1
510,2
511,3
512,3
515,1
516,1
517,1
518,1
521,1
522,2
523,2
524,1
525,1
527,1
528,2
529,3
530,1
532,2
533,1
534,1
535,1
536,1
537,1
539,1
542,1
543,1
544,1
547,1
548,2
551,2
552,4
554,1
555,2
558,1
559,1
562,1
563,2
564,1
566,1
568,4
572,3
573,4
574,1
576,2
577,4
578,1
579,1
580,1
581,1
582,1
585,2
587,1
589,1
591,1
592,3
594,2
595,1
596,4
597,2
598,2
599,1
600,1
601,1
602,2
603,2
606,1
607,2
608,2
609,1
611,3
612,1
614,1
615,1
616,3
618,1
619,1
621,3
622,1
623,3
624,1
625,1
627,2
629,2
630,1
631,1
632,1
633,1
636,1
637,2
639,2
641,2
642,2
644,3
645,1
646,1
649,2
654,2
655,1
656,1
657,2
658,1
659,3
660,2
662,2
663,2
664,1
665,1
666,1
670,1
671,1
672,1
674,1
675,1
678,3
679,4
680,3
681,3
682,2
683,1
684,2
686,2
687,1
688,2
690,4
692,1
694,1
695,1
696,1
697,1
698,1
699,1
702,1
703,1
704,1
705,1
706,2
707,4
708,3
710,3
711,2
712,3
713,1
714,1
715,1
716,2
718,2
719,4
720,1
721,2
722,1
724,2
725,3
726,2
727,3
728,1
729,2
733,1
736,2
737,1
739,2
740,1
742,2
743,2
746,3
748,1
749,2
750,1
751,1
752,1
753,1
754,2
757,2
758,1
759,1
