Rank,Frequency
5,1
8,1
10,1
11,2
12,1
15,1
16,1
17,1
19,1
23,1
29,1
30,1
33,2
36,2
39,1
41,1
43,2
44,2
45,3
46,4
47,2
48,2
49,5
50,4
51,4
52,9
53,2
54,2
55,1
56,2
57,2
58,1
59,2
61,1
62,1
63,2
66,1
71,2
73,1
75,1
77,1
78,2
80,1
81,1
82,1
87,1
89,1
90,2
91,1
92,1
94,1
95,1
99,1
100,2
102,1
103,2
104,5
105,3
106,6
107,3
108,2
109,6
110,9
111,12
112,12
113,8
114,5
115,14
116,6
117,20
118,16
119,13
120,13
121,12
122,18
123,16
124,16
125,9
126,8
127,2
128,5
129,6
130,5
131,3
132,3
133,2
134,3
135,1
136,1
137,2
138,1
139,5
140,1
142,1
143,3
144,1
145,2
146,4
147,4
148,2
150,3
151,1
152,2
153,1
154,1
155,1
156,1
157,1
159,2
160,1
162,1
163,1
164,1
165,4
166,2
167,1
168,1
170,1
171,2
172,2
173,1
174,1
175,1
176,3
177,3
178,2
180,1
181,1
183,1
184,3
185,1
187,1
190,1
191,2
193,1
194,1
195,2
197,1
198,2
199,4
200,1
201,1
202,1
203,2
204,1
206,1
207,1
208,3
210,3
211,2
212,2
213,2
214,1
217,2
218,1
220,1
221,1
222,2
223,3
224,2
225,3
227,2
228,3
230,1
231,1
233,1
234,2
236,2
237,2
238,2
239,2
240,4
241,3
242,3
243,2
245,3
248,1
249,1
250,3
251,2
252,2
253,1
254,1
255,1
256,3
257,3
258,2
259,4
260,3
261,2
263,1
264,1
265,2
266,3
267,1
268,1
269,5
270,2
271,1
272,3
273,3
274,2
275,2
276,3
277,2
278,1
279,1
280,1
281,2
282,2
283,2
284,1
285,1
286,5
287,3
288,1
289,1
290,7
291,1
292,3
293,2
295,2
296,1
297,4
298,5
299,1
300,1
301,2
302,1
303,4
304,1
305,1
306,1
307,3
308,1
309,1
310,1
311,6
312,4
313,4
314,2
315,1
316,5
317,5
318,1
319,1
320,1
321,4
322,2
323,2
324,3
326,3
327,1
328,4
329,3
330,1
331,3
332,1
333,2
334,3
335,4
336,3
337,1
338,3
339,1
341,4
342,4
343,2
344,4
345,4
348,4
349,2
350,1
356,1
357,1
358,6
359,1
360,1
361,3
363,1
364,2
365,3
366,4
367,5
368,1
369,2
370,5
371,3
372,3
373,1
374,2
375,1
376,3
377,3
379,2
380,2
381,5
382,1
383,1
384,2
386,3
387,2
388,2
389,1
391,2
393,1
394,4
396,2
397,1
398,2
399,5
400,4
402,3
403,1
404,2
405,3
406,2
407,4
408,2
409,1
410,3
411,4
412,2
413,1
414,3
415,3
416,3
417,1
418,2
419,4
420,1
421,2
422,1
423,3
424,1
425,2
426,2
427,1
428,2
430,2
432,4
433,1
434,2
435,5
436,3
437,1
438,3
439,5
440,1
441,5
442,5
443,1
444,3
445,3
446,3
447,5
448,1
449,2
450,1
451,2
452,1
453,4
454,3
455,3
456,2
458,3
459,4
460,4
461,4
463,7
464,2
465,3
466,3
467,3
470,2
471,3
472,1
473,2
474,2
475,3
476,1
477,1
478,1
479,2
480,1
481,3
483,2
484,2
485,5
486,5
487,3
488,2
490,3
491,2
493,1
494,6
495,2
496,1
497,3
498,1
499,3
500,3
501,2
502,5
504,3
505,3
507,1
508,4
510,1
511,3
512,2
513,1
515,2
516,3
517,1
518,2
519,3
521,2
522,2
523,3
524,1
525,4
526,1
527,4
528,5
529,4
530,1
531,5
532,5
533,2
534,3
535,1
536,2
537,1
539,4
541,1
542,4
543,2
544,6
545,3
546,5
547,2
548,2
550,2
551,2
552,4
553,2
554,2
556,2
558,7
559,2
560,5
561,3
562,2
563,2
564,5
565,2
566,2
567,1
569,3
573,1
574,2
575,2
576,2
577,5
578,3
579,4
580,1
581,3
582,4
583,3
584,1
585,5
586,7
587,4
588,6
589,1
590,5
591,3
592,3
593,1
594,6
595,2
596,2
597,4
598,2
599,1
600,1
601,7
602,4
603,3
604,5
605,2
606,2
607,3
608,1
609,2
610,5
611,2
612,1
613,2
614,3
615,3
616,3
617,4
619,6
620,2
621,1
622,2
623,5
624,7
625,4
626,2
627,1
629,1
631,4
632,2
633,5
634,1
635,1
636,5
637,3
638,3
639,1
640,3
641,3
642,4
644,3
645,2
646,1
647,4
648,2
649,3
651,1
654,7
655,2
656,4
657,3
659,1
660,4
661,2
662,4
663,2
664,3
665,4
667,8
668,1
669,1
670,1
671,3
672,4
673,2
675,5
676,1
677,2
678,1
679,2
680,2
681,4
682,2
684,2
685,1
689,1
690,1
691,2
692,4
693,1
694,4
695,2
696,5
697,3
698,1
699,3
700,3
701,7
702,5
703,4
704,6
705,5
706,4
707,2
709,2
710,4
711,3
712,5
713,1
714,7
715,7
716,3
717,6
718,5
719,4
720,5
721,4
722,3
723,3
724,8
725,5
726,13
727,9
728,17
729,11
730,19
731,15
732,27
733,17
734,17
735,17
736,15
737,22
738,31
739,17
740,23
741,30
742,31
743,38
744,34
745,24
746,23
747,28
748,17
749,21
750,20
751,24
752,18
753,21
754,18
755,26
756,29
757,29
758,21
759,16
760,25
761,23
762,21
763,15
764,16
765,21
766,6
767,16
768,14
769,18
770,15
771,10
772,8
773,11
774,6
775,6
776,8
777,3
778,6
779,3
780,8
781,3
782,3
783,11
784,6
785,6
786,2
787,1
788,8
789,5
790,3
791,3
792,4
793,4
794,1
795,3
796,1
797,2
798,3
799,3
800,2
801,4
802,3
803,1
804,4
805,3
806,2
807,2
808,1
809,2
810,4
811,4
812,5
813,1
814,1
815,4
816,2
817,4
818,2
819,2
821,2
822,2
823,4
825,3
826,1
827,2
828,4
829,2
830,5
831,1
832,5
833,2
834,7
835,2
836,1
837,4
838,5
839,1
840,6
841,3
842,5
843,4
844,12
845,4
846,3
847,6
848,4
849,6
850,3
851,9
852,3
853,8
854,4
855,8
856,10
857,10
858,10
859,6
860,10
861,6
862,16
863,14
864,11
865,11
866,15
867,18
868,19
869,12
870,13
871,18
872,19
873,15
874,13
875,14
876,23
877,13
878,16
879,17
880,17
881,14
882,12
883,15
884,10
885,11
886,15
887,10
888,12
889,10
890,10
891,7
892,6
893,9
894,9
895,9
896,7
897,3
898,5
899,7
900,10
901,2
902,4
903,3
904,3
905,2
906,6
907,3
908,5
909,4
910,4
911,3
912,7
913,3
914,2
915,2
916,1
917,1
918,4
919,2
920,6
921,2
923,2
924,5
925,2
926,4
927,3
930,1
931,2
932,2
933,2
934,2
935,2
936,1
937,5
938,3
939,5
941,4
942,1
943,2
944,1
945,6
946,3
947,1
948,1
949,3
950,2
951,1
952,1
953,2
954,7
955,1
956,1
957,4
958,1
959,3
960,1
961,3
962,3
963,1
