Rank,Frequency
3,1
5,1
6,1
7,1
10,2
13,1
14,1
15,3
16,1
17,1
19,2
20,1
21,1
22,2
23,2
24,2
25,1
26,3
27,3
28,2
29,3
30,2
31,1
32,3
33,2
35,2
36,4
37,2
38,3
39,3
40,3
41,1
42,3
43,2
44,1
45,3
46,3
47,2
48,4
49,2
50,3
51,3
52,2
53,5
54,2
56,5
57,1
58,1
59,1
60,1
62,1
63,2
64,2
65,1
66,4
67,1
68,6
69,6
70,5
72,3
73,1
74,3
75,2
76,2
77,2
78,1
79,1
80,4
81,2
82,4
83,3
84,1
85,6
86,5
87,1
88,3
89,4
90,2
91,1
92,8
93,2
94,6
95,7
96,1
97,2
98,4
99,6
100,2
101,1
102,1
103,2
104,4
105,3
106,1
107,2
108,1
109,1
110,2
111,4
112,2
113,1
114,1
115,2
116,2
117,1
118,2
119,3
120,1
121,2
123,4
124,2
125,2
126,2
127,2
129,3
130,3
131,5
132,3
133,1
134,1
135,2
136,1
137,2
138,1
142,1
143,4
144,1
145,3
146,1
147,2
148,1
149,1
150,1
151,3
152,1
153,2
154,3
155,5
156,2
157,2
158,1
159,1
160,4
161,1
162,3
163,4
164,2
165,3
166,5
167,1
168,3
169,2
170,2
171,1
172,1
174,2
175,1
176,2
177,1
182,2
183,1
184,1
185,7
186,3
187,3
189,1
190,1
191,1
193,2
194,3
195,2
197,1
198,1
199,2
200,3
203,2
204,1
205,3
206,1
207,1
208,1
209,1
210,3
211,2
212,1
213,2
214,2
215,3
216,2
217,2
218,2
219,2
220,2
222,2
223,2
224,1
228,1
229,2
233,2
234,4
237,1
238,2
239,2
240,4
241,1
242,2
243,1
245,3
246,1
248,1
255,1
256,1
258,3
260,3
265,1
266,1
267,3
271,1
272,1
273,1
274,1
276,2
277,1
278,3
279,4
280,1
281,1
282,2
285,1
286,2
287,2
289,2
292,1
294,2
295,2
296,1
297,1
299,1
301,3
302,2
303,1
305,1
307,2
308,3
310,2
311,3
312,2
315,1
319,1
321,1
322,3
329,1
331,2
333,2
334,2
336,3
339,2
340,3
341,1
342,2
344,1
345,2
346,4
348,2
349,1
351,2
353,2
355,1
356,2
357,1
358,1
359,3
360,2
363,1
364,4
365,1
366,1
368,1
370,1
371,1
372,3
373,3
374,3
379,4
381,1
