Rank,Frequency
1,1
2,3
3,1
4,3
5,1
6,1
7,4
8,1
9,2
10,1
12,1
13,2
15,2
16,1
17,3
18,3
19,3
20,3
21,3
22,1
24,2
25,5
26,1
27,5
28,1
29,2
30,2
31,4
33,2
34,2
35,2
36,2
37,4
39,3
40,1
41,1
42,1
43,1
45,4
46,5
47,4
48,4
49,1
50,4
51,2
52,6
53,2
55,2
56,2
57,1
58,4
60,1
61,3
63,4
64,2
65,1
66,3
67,1
68,2
69,1
71,1
72,1
73,2
74,3
75,5
76,1
77,6
78,2
79,1
81,3
82,3
83,3
84,2
85,1
86,2
88,3
89,4
90,1
91,1
92,1
93,4
95,2
96,3
97,1
98,4
100,2
101,3
102,1
103,4
104,3
105,3
106,5
107,3
108,2
109,3
110,3
111,3
112,4
113,7
114,2
115,5
116,16
117,9
118,10
119,8
120,20
121,12
122,12
123,20
124,23
125,19
126,12
127,27
128,13
129,20
130,14
131,16
132,8
133,8
134,14
135,7
136,15
137,7
138,9
139,6
140,6
141,6
142,4
143,5
144,4
145,1
146,4
147,4
148,3
149,1
150,3
151,3
152,2
153,2
154,1
155,5
156,3
157,1
158,2
159,2
160,2
161,3
162,3
163,2
164,2
165,3
166,1
167,8
168,5
169,2
170,2
171,2
172,2
173,1
174,1
175,2
176,2
177,3
178,3
179,3
180,3
181,1
182,1
183,1
184,1
185,2
186,2
187,3
188,4
189,1
190,2
191,2
192,1
193,7
194,3
195,5
196,3
197,1
198,3
200,3
201,3
202,3
203,2
204,2
205,1
207,3
208,1
209,1
210,5
211,2
212,3
213,4
214,3
215,1
216,6
217,4
218,1
219,2
220,3
221,4
222,5
223,3
225,4
226,4
227,1
228,3
230,6
231,6
232,3
233,1
234,1
235,3
236,2
237,5
238,3
239,1
240,3
241,3
242,2
243,1
244,2
246,5
247,3
248,5
249,3
250,1
251,1
252,1
253,1
254,5
255,3
256,3
257,1
260,1
261,2
262,4
263,5
264,2
266,2
267,5
268,4
269,4
270,2
271,5
272,2
273,4
274,1
275,4
276,7
277,5
278,1
280,1
281,1
282,2
283,3
284,2
285,1
286,3
287,1
288,1
289,1
290,1
291,1
292,4
293,1
294,1
295,1
296,5
297,3
298,1
300,4
301,1
302,3
303,2
304,3
305,2
306,5
307,4
308,3
309,2
