Rank,Frequency
4,1
9,2
10,1
11,1
14,2
20,2
24,1
26,1
27,2
28,1
29,5
30,2
31,3
32,1
33,1
34,1
35,1
37,2
38,2
39,1
40,3
41,2
42,2
43,2
44,1
45,3
47,2
49,3
50,1
51,2
52,3
53,2
54,1
55,6
56,2
57,3
58,1
59,4
60,4
61,2
62,3
63,1
64,1
65,1
66,6
67,4
68,2
69,4
70,6
71,1
72,4
73,5
74,2
76,2
77,4
78,6
79,2
81,1
82,3
83,3
84,2
85,2
86,2
87,3
88,4
89,2
90,1
91,2
92,4
93,2
94,4
95,2
96,2
97,4
98,2
99,4
100,3
101,2
102,4
103,6
104,4
105,4
106,4
107,6
108,5
109,1
110,1
111,5
114,2
115,1
116,1
117,2
118,4
119,1
120,3
121,1
122,3
123,3
124,2
125,4
126,3
127,6
128,3
129,3
130,5
131,4
132,1
133,5
134,2
135,2
136,1
137,1
138,3
139,3
140,4
141,3
142,2
143,2
144,4
145,2
146,5
147,3
148,2
149,3
150,1
151,4
152,3
153,3
154,4
155,3
156,6
157,4
158,2
159,2
160,2
161,2
162,4
163,3
164,2
166,4
167,2
168,4
169,4
170,4
171,4
172,6
173,3
174,1
175,6
176,3
177,5
178,2
179,3
180,3
181,1
182,1
183,6
184,5
185,4
186,2
187,3
188,6
189,2
190,1
191,4
192,4
193,1
194,2
195,3
197,1
198,1
199,1
200,3
201,4
202,1
203,3
204,3
205,1
206,4
207,3
209,2
210,5
211,2
213,3
214,2
215,4
216,1
217,1
218,1
219,1
220,2
221,5
222,5
223,1
224,4
225,2
226,2
227,2
228,1
229,7
230,2
231,1
232,4
233,3
234,1
235,1
236,1
237,4
238,3
239,1
240,1
241,3
242,1
243,2
244,1
245,2
246,4
247,3
248,3
249,3
250,1
251,4
252,3
253,1
254,2
255,1
256,3
257,1
258,1
259,3
260,2
261,1
262,5
263,1
264,2
265,2
266,3
267,3
268,1
270,2
271,6
272,3
273,2
274,3
275,2
276,3
278,4
283,1
284,1
287,1
288,4
290,1
291,2
292,1
293,3
294,1
295,1
298,4
300,3
301,1
302,1
303,1
305,1
306,4
307,2
308,2
310,1
311,4
313,4
314,2
315,2
317,1
318,2
319,3
321,4
322,1
323,3
324,3
326,4
327,2
328,3
329,3
330,3
331,1
332,1
334,1
335,1
336,3
337,3
338,1
339,2
340,4
341,6
342,1
343,2
344,2
345,1
346,1
347,3
348,3
351,1
352,2
353,1
354,2
355,3
356,1
357,1
358,1
360,2
362,3
364,1
365,2
366,1
367,5
368,1
370,3
371,1
372,2
373,1
374,2
375,3
376,1
377,1
378,1
380,2
381,3
382,1
383,3
384,2
385,5
386,1
387,1
388,3
389,3
390,3
391,2
392,1
393,2
394,2
395,2
396,3
397,3
398,3
400,2
401,2
402,2
403,3
404,2
405,1
406,6
407,8
408,6
409,7
410,9
411,6
412,11
413,13
414,9
415,14
416,22
417,14
418,17
419,19
420,20
421,25
422,16
423,22
424,31
425,30
426,21
427,26
428,32
429,36
430,44
431,38
432,36
433,40
434,37
435,36
436,39
437,43
438,44
439,40
440,38
441,49
442,42
443,45
444,35
445,37
446,30
447,30
448,25
449,23
450,18
451,30
452,19
453,16
454,13
455,12
456,15
457,11
458,12
459,9
460,8
461,5
462,11
463,2
464,4
465,7
466,4
467,1
468,6
469,3
470,3
471,1
472,2
473,6
474,3
475,4
476,1
477,1
478,1
479,2
484,1
485,3
486,1
487,6
489,1
490,2
491,1
493,3
494,2
495,2
496,5
497,6
499,1
500,1
501,3
502,2
503,1
504,3
506,2
508,1
510,4
511,3
512,2
515,2
516,2
517,5
519,2
520,4
521,3
524,5
525,2
526,3
527,1
528,1
529,1
530,2
531,1
533,4
534,1
535,1
537,1
539,2
540,3
541,2
542,1
543,5
544,5
545,1
546,1
547,4
548,1
550,1
551,1
552,3
553,1
554,1
555,3
556,2
557,2
558,1
560,3
561,3
562,2
563,3
564,1
565,2
567,2
568,2
569,5
570,2
571,1
572,1
573,3
575,1
576,5
577,3
578,1
580,3
581,1
583,5
584,1
586,1
587,2
588,1
589,1
590,2
591,2
592,3
593,1
594,4
595,1
597,1
598,6
599,3
601,1
603,3
604,5
605,1
606,4
607,3
608,2
609,3
610,4
612,1
613,4
614,1
615,4
616,2
617,1
618,1
619,4
620,3
621,3
623,3
624,4
625,2
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,3
634,4
635,3
636,3
637,2
638,1
639,2
641,2
643,2
644,2
645,1
647,2
648,3
650,1
651,4
653,1
655,3
656,6
658,1
659,3
660,2
661,1
662,3
664,3
667,1
668,3
669,3
670,1
671,3
673,2
674,6
675,2
676,4
677,2
680,2
681,2
682,3
683,3
684,4
685,2
686,1
687,1
688,1
689,2
690,3
691,2
692,3
693,1
694,4
696,5
697,2
698,1
699,1
700,3
701,3
702,3
703,2
704,2
705,3
706,1
707,2
708,4
709,3
710,4
711,4
712,1
713,1
714,2
716,1
717,1
719,2
721,1
722,2
723,2
724,5
725,3
727,1
728,2
729,3
730,2
731,2
732,1
733,2
734,3
735,1
736,4
737,3
738,1
740,1
741,1
742,1
743,2
744,3
745,3
746,1
747,2
748,2
749,2
750,3
751,1
752,2
753,1
754,2
755,1
756,1
758,1
759,6
760,1
761,2
762,3
765,3
767,1
768,1
769,3
770,2
772,2
773,1
774,1
775,4
776,3
777,6
778,3
779,1
780,2
781,2
782,3
784,3
785,1
786,3
787,2
788,4
789,3
790,1
791,4
792,2
793,2
794,1
795,1
796,2
797,1
798,1
799,3
800,2
801,4
803,4
804,2
805,1
806,2
807,2
808,4
809,2
810,1
811,1
812,2
814,2
815,4
816,5
820,1
821,1
822,3
823,3
824,3
826,1
828,2
829,3
830,1
831,2
832,2
833,1
834,3
835,3
836,6
837,2
838,1
839,3
842,4
844,2
845,1
846,3
847,4
848,3
849,2
850,3
851,1
852,2
853,2
854,2
855,1
856,3
858,2
859,2
860,1
861,1
862,2
863,3
864,1
865,1
866,2
867,2
868,4
870,3
871,2
872,3
873,3
874,5
876,1
878,3
879,3
880,4
882,2
883,4
884,2
885,2
886,1
888,2
889,2
890,3
891,3
892,2
893,3
894,1
895,2
897,1
898,3
899,3
900,3
901,3
902,1
903,2
904,2
905,4
909,3
910,3
911,8
912,2
913,2
914,2
915,2
916,4
917,2
918,2
919,6
920,2
921,8
922,2
923,5
924,2
925,1
926,2
928,2
929,1
930,1
931,4
932,2
933,1
934,1
935,1
936,2
937,1
938,1
939,4
940,4
941,2
942,2
943,2
944,1
945,4
946,2
947,3
948,2
949,1
950,2
951,2
953,1
954,2
955,3
956,2
957,2
958,1
959,1
960,3
962,1
963,1
965,1
966,1
967,2
968,1
969,3
970,2
971,2
972,2
973,1
974,5
975,2
976,2
977,2
979,1
980,3
983,1
984,4
985,4
986,1
987,2
988,3
990,3
993,1
994,1
995,1
998,1
1000,2
1001,1
1002,2
1003,2
1005,1
1006,2
1008,4
1009,2
1010,3
1011,1
1014,1
1015,5
1016,3
1017,5
1018,1
1019,1
1020,4
1021,1
1022,2
1024,1
1025,3
1026,2
1028,1
1030,2
1032,2
1034,1
1035,3
1037,4
1038,1
1039,2
1040,1
1041,2
1044,4
1045,4
1046,3
1047,5
1048,1
1049,2
1050,3
1052,3
1053,2
1054,3
1056,4
1057,5
1059,1
1060,2
1061,2
1062,1
1063,2
1064,3
1065,2
1067,2
1068,2
1072,1
1073,1
1074,1
1075,3
1076,1
1078,3
1079,9
1080,1
1081,4
1082,3
1084,4
1085,2
1086,2
1087,1
1088,1
1089,1
1092,1
1093,5
1096,4
1100,1
1101,3
1102,2
1103,4
1105,1
1106,3
1107,1
1108,1
1110,4
1112,2
1113,1
1114,2
1115,1
1116,5
1118,1
1119,1
1120,3
1121,1
1122,2
1125,2
1126,1
1127,4
1128,3
1130,1
1131,3
1132,1
1133,1
1134,2
1135,2
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,2
1143,1
1144,3
1145,1
1146,1
1148,1
1149,3
1150,1
1151,1
1152,2
1154,3
1155,1
1156,6
1157,3
1158,3
1160,2
1161,1
1162,3
1163,3
1164,3
1165,1
1166,1
1167,1
1168,1
1169,4
1170,2
1171,1
1172,3
1174,3
1176,1
1177,2
1178,6
1179,3
1180,2
1181,2
1183,3
1184,6
1185,5
1186,1
1187,3
1188,3
1189,2
1190,4
1191,3
1192,2
1193,1
1194,3
1195,3
1197,3
1198,1
1200,1
1201,5
1202,1
1203,3
1206,2
1208,2
1209,1
1210,2
1211,1
1212,3
1213,2
1214,6
1215,3
1216,2
1217,4
1218,5
1219,1
1220,2
1221,1
1222,2
1223,1
1226,1
1227,3
1228,2
1230,1
1231,3
1232,3
1233,2
1234,1
1236,2
1237,3
1238,1
1239,1
1240,4
1241,3
1242,3
1243,1
1244,1
1246,3
1247,2
1248,1
1249,1
1251,2
1254,4
1255,4
1256,1
1258,1
1259,2
1260,3
1261,1
1262,3
1263,2
1264,5
1266,1
1269,6
1270,4
1271,3
1272,3
1273,2
1275,3
1276,2
1277,1
1278,3
1279,2
1280,3
1281,4
1282,5
1283,2
1285,1
1286,4
1287,4
1288,2
1289,2
1290,4
1292,2
1293,1
1294,5
1297,3
1298,2
1299,3
1300,4
1302,3
1303,4
1305,6
1306,2
1307,3
1309,2
1310,3
1311,3
1313,2
1314,4
1316,3
1317,2
1318,3
1319,3
1320,2
1321,7
1322,4
1323,4
1324,4
1325,7
1326,5
1327,6
1328,2
1329,11
1330,9
1331,6
1332,11
1333,9
1334,11
1335,12
1336,14
1337,13
1338,15
1339,14
1340,11
1341,14
1342,21
1343,19
1344,9
1345,20
1346,18
1347,16
1348,15
1349,17
1350,18
1351,19
1352,14
1353,14
1354,15
1355,6
1356,20
1357,7
1358,6
1359,10
1360,5
1361,9
1362,7
1363,6
1364,3
1365,4
1366,9
1367,3
1368,3
1369,1
1370,2
1371,3
1372,7
1373,1
1374,3
1375,2
1376,3
1377,6
1378,1
1379,2
1380,2
1381,2
1382,3
1383,4
1384,1
1386,4
1387,1
1388,4
1390,1
1391,4
1392,4
1393,1
1394,3
1395,1
1396,1
1397,4
1398,1
1399,3
1400,4
1401,3
1402,4
1403,2
1404,5
1405,2
1406,3
1407,2
1408,1
1409,4
1410,3
1411,5
1412,1
1413,2
1414,4
1415,1
1416,1
1417,3
1418,1
1419,4
1420,3
1421,4
1422,3
1423,1
1424,2
1425,2
1426,3
1427,2
1428,2
1429,1
1431,3
1432,4
1433,2
1434,1
1435,2
1436,4
1437,1
1438,2
1439,2
1441,1
1442,3
1443,2
1444,3
1445,3
1446,4
1447,1
1448,2
1449,1
1450,5
1451,2
1452,2
1453,3
1454,2
1455,3
1457,3
1458,3
1459,1
1460,2
1461,2
1462,1
1463,4
1465,1
1466,3
1467,4
1468,2
1469,4
1470,2
1471,2
1472,3
1473,2
1474,1
1475,7
1476,2
1477,1
1478,6
1479,3
1480,1
1481,2
1482,2
1483,3
1484,4
1485,1
1486,2
1487,1
1488,3
1489,5
1490,4
1491,5
1492,2
1493,3
1494,5
1495,4
1496,2
1497,3
1498,6
1499,3
1500,2
1501,2
1502,2
1503,2
1504,2
1506,2
1507,3
1508,3
1509,3
1510,4
1512,1
1513,5
1514,5
1515,6
1516,3
1517,4
1518,4
1519,2
1520,3
1521,5
1524,1
1525,2
1526,3
1527,2
1528,1
1529,1
1530,4
1531,1
1532,4
1533,4
1535,1
1538,1
1540,4
1541,2
1542,4
1543,1
1544,2
1545,1
1546,4
1548,4
1549,2
1550,3
1551,5
1552,2
1553,2
1554,6
1555,5
1556,3
1557,1
1559,3
1560,4
1561,2
1562,1
1563,2
1564,5
1565,3
1566,3
1567,3
1568,3
1571,2
1573,2
1574,6
1575,2
1577,5
1578,3
1579,2
1580,4
1581,3
1582,3
1583,4
1584,5
1585,2
1586,2
1588,3
1589,2
1590,1
1591,2
1592,2
1593,2
1594,3
1595,1
1596,1
1597,1
1598,3
1599,5
1600,3
1602,2
1603,2
1604,1
1605,2
1607,1
1608,2
1609,1
1610,4
1611,1
1615,1
1616,2
1617,4
1619,3
1621,5
1622,2
1624,1
1625,2
1626,3
1627,3
1628,1
1629,2
1630,3
1631,1
1633,1
1636,2
1637,2
1638,2
1639,3
1641,2
1642,1
1643,1
1644,1
1646,1
1648,1
1649,1
1650,2
1655,1
1656,1
1657,1
1658,1
1659,1
1660,1
1661,1
1663,4
1664,3
1665,1
1668,1
1669,2
1670,1
1671,2
