Rank,Frequency
1,1
3,1
6,1
8,1
12,3
15,1
16,2
17,3
19,2
20,3
21,2
24,1
27,1
28,1
29,3
30,5
31,2
32,2
33,1
34,3
35,5
36,1
37,3
38,4
39,1
42,3
43,2
44,3
46,2
47,5
48,3
49,3
50,3
51,2
52,4
53,6
54,3
55,2
56,3
57,4
58,5
59,7
60,3
61,3
62,5
63,4
64,4
65,2
66,8
67,1
68,3
69,5
70,1
71,9
72,1
73,2
74,8
75,2
76,2
77,3
78,6
79,2
80,5
81,2
82,7
83,4
84,4
85,5
86,5
87,5
88,3
89,5
90,4
91,6
92,7
93,3
94,5
95,7
96,3
97,2
98,7
99,4
100,3
101,2
102,4
103,2
104,6
105,5
107,5
108,4
109,4
110,6
111,5
112,5
113,5
114,9
115,1
116,3
117,2
118,4
119,3
120,8
121,2
122,2
123,2
124,3
125,5
126,6
127,2
128,3
129,5
130,3
131,5
133,4
134,5
135,7
136,5
137,3
138,7
139,3
140,2
141,2
142,1
143,6
144,3
145,5
146,3
147,3
148,6
149,4
150,3
151,4
152,7
153,5
154,4
155,5
156,1
157,3
158,8
159,5
160,3
161,3
162,6
163,4
164,4
165,4
166,3
168,1
169,1
170,2
171,4
172,7
173,7
174,3
175,2
176,2
178,4
179,6
180,4
181,7
182,4
183,3
184,1
185,4
186,4
187,5
188,2
189,3
190,1
191,2
192,2
193,1
194,5
195,5
196,5
197,5
198,6
199,4
200,2
201,1
202,1
203,2
204,4
205,3
206,4
207,1
208,4
209,5
210,1
212,2
213,4
215,4
216,1
217,1
218,1
219,2
220,2
221,2
222,1
223,3
224,2
225,1
226,2
227,4
228,1
229,2
231,4
232,4
233,2
234,4
235,3
236,2
237,1
238,1
239,1
241,6
242,3
243,3
244,3
245,3
246,2
247,2
248,1
249,3
250,3
251,3
252,2
253,3
254,4
255,2
256,3
257,4
258,5
259,5
260,4
262,3
263,5
264,3
265,2
266,4
268,2
269,3
270,2
271,1
272,2
273,6
274,2
275,4
276,6
277,2
278,2
279,2
280,3
281,1
282,1
283,1
284,5
285,1
286,3
287,3
288,2
289,3
290,2
291,3
292,2
293,1
294,1
295,7
296,3
297,4
298,9
299,7
300,10
301,10
302,9
303,5
304,8
305,12
306,13
307,19
308,11
309,5
310,21
311,19
312,15
313,16
314,24
315,23
316,20
317,40
318,21
319,27
320,42
321,36
322,35
323,32
324,34
325,62
326,37
327,39
328,32
329,34
330,34
331,38
332,35
333,46
334,31
335,31
336,21
337,25
338,21
339,18
340,20
341,14
342,21
343,13
344,10
345,5
346,13
347,13
348,10
349,8
350,6
351,3
352,4
353,6
354,2
355,3
356,3
357,6
358,2
359,3
360,4
361,4
362,2
363,4
364,1
366,5
367,1
368,5
369,2
370,3
371,5
373,1
374,2
375,2
376,3
377,1
378,3
379,3
380,3
381,2
382,3
383,2
384,2
385,2
386,2
388,2
389,1
390,7
391,3
392,1
393,1
394,3
395,2
396,4
