Rank,Frequency
1,1
11,1
17,1
19,2
20,1
22,1
26,2
29,2
31,2
32,1
34,4
35,2
36,3
39,1
41,1
45,1
46,1
47,2
48,1
49,2
50,1
51,2
54,1
56,1
57,1
62,3
64,1
65,1
66,1
67,2
68,1
69,1
70,2
71,1
72,1
74,1
76,2
77,2
79,1
80,1
81,2
82,1
83,2
85,2
86,2
88,1
90,2
91,1
93,1
95,2
96,1
97,1
98,1
100,1
101,1
102,1
103,3
104,2
105,1
106,1
108,2
109,1
110,2
111,1
112,4
113,2
114,2
115,2
116,1
117,1
118,1
120,2
122,2
123,2
126,3
127,1
128,2
129,1
130,1
131,1
132,2
133,2
134,2
135,2
137,4
139,2
140,4
142,1
143,1
144,2
145,1
146,1
147,2
148,1
149,3
150,3
152,1
154,2
155,1
159,2
160,1
161,1
162,1
164,1
165,1
167,1
168,2
172,2
173,2
175,3
176,2
177,2
178,2
179,3
181,2
182,4
183,2
184,5
185,2
186,2
187,4
188,1
189,1
191,2
192,3
193,1
195,2
197,2
198,2
200,2
201,3
202,3
203,1
204,2
205,6
206,1
207,2
208,2
209,4
210,1
212,1
213,3
214,3
215,2
216,1
217,3
218,2
219,2
220,3
221,2
222,3
223,1
224,2
225,1
229,2
230,1
231,1
232,3
233,3
234,3
235,2
236,1
238,1
239,1
240,2
241,1
244,3
246,3
247,2
248,4
250,1
251,1
252,1
253,2
256,1
258,1
259,2
260,2
261,1
262,1
263,1
264,3
265,1
266,3
267,2
268,1
269,3
270,1
272,1
273,2
274,2
275,2
276,2
278,2
279,2
280,3
281,2
282,1
283,2
284,2
285,2
286,6
287,1
289,2
290,3
291,2
292,2
293,4
294,2
295,2
296,1
297,3
298,4
299,1
300,2
301,1
302,1
303,5
304,1
305,2
306,4
307,1
308,1
310,3
311,2
312,4
313,2
314,3
316,1
318,4
319,3
320,3
321,1
322,1
323,3
324,1
325,1
329,2
330,2
331,5
333,3
335,3
336,2
338,1
339,2
340,1
341,2
342,1
343,3
344,2
345,1
346,1
347,5
348,1
349,2
350,3
351,3
354,1
356,2
357,2
358,1
359,1
360,1
361,2
362,2
363,4
364,2
365,3
366,3
367,4
368,4
369,2
370,3
371,1
373,3
374,1
375,3
376,2
377,2
378,2
379,1
380,2
381,6
383,1
385,2
386,2
387,2
388,1
389,2
390,4
391,2
392,2
393,3
394,1
395,3
397,2
398,2
399,4
401,2
402,1
403,1
404,5
405,4
406,5
407,1
408,2
409,2
411,1
412,1
413,6
415,2
417,3
418,2
419,1
420,1
421,1
424,3
425,3
426,4
428,2
429,1
433,1
435,5
436,2
437,4
438,2
439,2
440,1
441,2
442,2
443,2
444,2
445,1
446,4
448,2
449,2
450,3
451,3
452,1
453,3
454,3
455,1
456,3
457,3
458,3
459,2
460,2
461,1
462,3
463,3
464,2
465,4
466,3
467,3
468,2
469,4
470,1
471,2
472,1
473,1
474,3
475,2
476,1
477,2
478,1
479,2
480,1
481,4
482,5
484,3
486,2
487,2
488,3
489,2
490,2
491,1
492,2
493,2
494,1
495,3
496,1
497,3
498,2
499,2
500,1
501,1
502,1
503,2
504,2
505,2
506,1
507,3
508,1
510,2
511,4
512,6
513,1
514,2
515,1
516,4
517,1
518,3
519,3
520,3
521,3
523,1
525,2
526,2
527,1
528,3
529,5
530,3
531,2
532,1
533,4
534,2
535,2
536,1
537,2
539,5
540,2
541,1
542,5
543,2
544,4
545,3
546,4
547,2
548,4
549,2
550,6
551,1
552,6
553,4
554,7
555,3
556,3
557,6
558,4
559,4
560,4
561,2
562,5
563,3
564,8
565,5
566,7
567,4
568,6
569,9
570,2
571,8
572,4
573,7
574,4
575,7
576,12
577,10
578,3
579,4
580,2
581,2
582,7
583,6
584,6
585,4
586,5
587,3
588,3
589,4
590,1
592,4
593,4
594,1
595,5
596,3
597,1
598,2
599,6
600,3
601,2
602,4
603,5
604,2
605,1
606,3
608,1
609,1
610,1
611,1
612,3
614,2
615,3
616,3
617,1
618,2
619,3
620,1
621,1
622,3
623,3
624,3
625,2
626,1
627,6
628,2
629,1
630,4
631,1
633,1
634,1
635,4
636,2
637,2
638,2
639,6
640,4
641,5
642,4
643,6
644,2
645,5
646,5
647,9
648,5
649,6
650,3
651,3
652,5
653,13
654,13
655,8
656,11
657,8
658,13
659,9
660,15
661,16
662,20
663,18
664,17
665,20
666,20
667,18
668,19
669,31
670,37
671,29
672,22
673,26
674,21
675,31
676,25
677,30
678,24
679,25
680,20
681,21
682,28
683,24
684,23
685,17
686,25
687,30
688,21
689,27
690,26
691,25
692,14
693,17
694,16
695,14
696,14
697,16
698,13
699,10
700,10
701,7
702,8
703,6
704,3
705,3
706,4
707,6
708,4
709,3
710,2
711,4
712,3
713,6
714,4
715,1
716,4
717,1
718,1
719,1
720,1
723,3
724,3
725,2
726,3
727,3
728,1
729,3
730,3
731,3
732,2
733,5
735,3
736,3
737,1
738,3
739,3
740,2
741,5
742,3
743,2
744,4
745,2
746,4
747,3
748,1
749,3
750,4
751,4
752,4
753,3
754,2
755,6
756,3
758,2
759,2
760,4
761,4
762,3
763,2
764,3
765,3
766,2
767,1
768,1
769,1
770,3
771,5
772,2
773,2
774,1
775,5
776,2
777,3
778,1
779,2
780,2
781,1
782,6
783,1
784,1
785,2
786,2
787,2
788,1
789,2
791,2
792,1
793,5
794,2
795,1
796,5
797,3
798,2
799,1
800,3
801,2
802,1
803,3
804,2
805,1
806,3
807,1
808,2
809,3
810,1
811,1
813,5
814,8
815,1
816,4
817,3
818,3
819,1
821,2
822,3
823,1
824,4
825,1
826,1
827,2
828,2
829,1
830,2
831,2
832,2
833,2
834,4
835,3
836,2
838,1
839,4
840,2
843,4
844,3
845,1
846,2
847,1
848,1
849,3
851,2
853,2
855,3
856,4
857,2
858,3
859,1
860,2
861,5
862,1
863,2
864,1
865,1
866,2
867,5
868,1
869,4
871,1
872,3
873,2
874,2
875,4
876,2
877,3
878,2
879,2
880,2
881,2
882,5
883,2
884,2
885,1
886,2
887,5
888,2
889,4
890,4
892,2
893,1
894,4
895,1
896,3
898,2
899,1
901,4
902,2
903,1
904,6
905,1
906,3
907,2
908,1
909,3
910,3
911,3
912,2
913,1
914,2
915,3
916,1
917,1
919,3
920,3
921,3
923,2
925,1
926,5
927,1
928,4
929,3
930,2
931,3
932,2
933,1
934,10
935,2
936,6
937,3
938,3
939,1
940,2
941,1
942,1
943,2
944,3
945,1
946,3
947,1
948,1
949,2
950,1
951,3
952,2
953,1
954,1
955,2
956,5
957,4
959,4
960,1
961,4
962,1
963,3
964,3
965,1
966,4
967,2
969,4
971,4
972,1
973,4
974,1
975,3
976,2
977,1
979,2
980,1
981,1
982,2
983,5
984,4
985,4
986,2
987,1
988,1
989,3
990,1
991,2
992,5
993,1
994,4
995,3
996,2
997,2
998,2
999,1
1000,2
1001,4
1002,3
1003,2
1004,2
1005,4
1007,3
1008,1
1009,2
1010,4
1011,1
1012,4
1013,2
1014,4
1015,2
1016,1
1017,4
1018,2
1019,1
1020,1
1021,2
1022,2
1023,1
1024,3
1025,3
1026,1
1027,1
1029,1
1030,2
1031,3
1032,4
1033,2
1034,2
1035,5
1036,1
1037,3
1038,2
1039,1
1040,3
1041,3
1042,1
1043,3
1044,3
1045,3
1046,4
1047,3
1048,1
1049,2
1050,6
1051,2
1052,5
1053,3
1054,3
1055,6
1056,4
1057,1
1058,3
1059,5
1060,1
1061,3
1062,3
1063,2
1064,1
1065,5
1066,5
1067,3
1068,8
1069,3
1070,3
1071,5
1072,6
1073,7
1074,6
1075,10
1076,10
1077,5
1078,4
1079,8
1080,9
1081,10
1082,9
1083,11
1084,9
1085,16
1086,11
1087,13
1088,10
1089,9
1090,11
1091,9
1092,11
1093,15
1094,11
1095,10
1096,16
1097,13
1098,11
1099,12
1100,11
1101,7
1102,9
1103,5
1104,17
1105,11
1106,9
1107,7
1108,5
1109,7
