Rank,Frequency
2,1
4,1
8,1
10,1
11,3
19,2
20,1
23,1
24,1
31,1
32,2
34,1
37,2
38,2
39,3
40,1
41,2
42,3
43,1
44,4
45,6
46,3
47,1
48,4
49,2
50,1
51,1
52,3
55,1
56,1
58,1
62,1
69,1
72,1
73,1
74,1
75,2
77,1
78,1
79,1
80,1
84,2
86,1
87,1
90,1
91,1
94,1
96,2
97,3
103,1
104,2
106,3
107,1
109,1
110,2
111,1
112,1
113,1
115,1
117,2
118,1
119,1
120,1
121,1
123,3
128,1
129,1
133,2
134,1
135,1
136,2
138,1
142,1
146,3
147,1
149,2
150,1
152,1
153,2
154,1
156,1
157,1
159,3
160,2
163,1
164,1
165,1
166,2
167,1
168,2
169,1
171,1
172,1
174,6
175,2
176,1
178,1
179,1
181,1
183,1
185,1
186,2
187,2
188,2
189,2
191,1
192,2
193,1
195,1
196,4
198,2
199,1
202,1
203,1
205,3
206,1
207,2
208,2
209,1
210,2
211,1
212,3
213,7
215,3
218,2
221,2
223,1
224,1
225,3
226,1
227,1
229,1
230,1
231,1
232,1
233,1
234,2
235,2
237,1
239,2
240,1
241,2
242,2
244,1
246,1
247,3
248,2
249,1
250,2
251,2
252,1
254,1
255,1
257,1
258,1
261,1
262,2
264,1
265,4
266,3
268,1
269,1
270,1
276,1
277,1
278,1
279,4
280,1
281,3
282,2
283,3
284,4
285,2
286,2
287,3
288,5
289,9
290,10
291,9
292,4
293,3
294,11
295,9
296,11
297,12
298,15
299,18
300,13
301,11
302,16
303,18
304,22
305,13
306,19
307,12
308,19
309,25
310,21
311,14
312,21
313,16
314,13
315,19
316,13
317,13
318,11
319,13
320,9
321,9
322,15
323,4
324,9
325,6
326,6
327,6
328,8
329,6
330,7
331,4
332,3
333,1
336,3
337,3
338,4
339,4
341,2
344,2
346,2
347,1
348,3
349,2
350,3
352,1
353,3
354,1
355,2
356,2
357,1
358,4
359,1
361,1
362,3
363,3
364,1
365,3
366,3
367,1
368,1
369,1
371,3
375,2
376,2
377,2
379,1
381,5
382,1
384,1
386,1
387,2
388,1
390,4
392,1
393,2
395,1
396,2
397,1
398,1
399,1
400,2
401,1
402,5
403,1
405,1
406,2
408,2
409,1
410,2
411,1
412,1
413,2
415,1
418,2
419,1
420,2
421,1
422,2
425,2
427,1
428,1
429,1
430,1
431,2
432,2
434,1
435,1
438,1
439,2
440,3
441,2
442,1
443,1
444,2
446,1
447,2
448,1
449,2
450,3
451,1
452,1
453,1
454,3
456,2
457,3
458,2
459,3
460,1
461,3
462,5
463,1
464,2
465,1
469,1
470,3
472,1
473,2
474,1
476,2
477,1
478,1
480,1
481,3
482,1
483,3
484,2
485,2
486,1
487,2
488,2
489,1
490,2
491,1
492,3
493,4
495,1
496,1
497,1
498,1
499,2
500,2
501,1
503,3
504,2
505,3
506,3
507,1
508,1
509,1
510,1
511,3
513,1
514,1
515,1
517,1
519,2
520,2
521,2
522,6
524,2
525,2
527,1
528,1
529,3
530,2
531,1
532,2
534,1
536,2
537,3
538,2
540,1
542,1
543,2
544,4
545,3
549,1
551,3
552,1
553,2
554,2
557,1
558,1
559,1
561,5
562,1
563,1
564,3
565,1
566,4
567,1
569,2
570,3
571,1
572,2
573,1
574,1
576,1
577,1
579,1
581,3
583,3
584,2
586,1
587,2
588,4
590,3
591,6
592,1
593,2
595,2
596,5
597,1
598,2
599,1
600,4
602,2
603,3
604,2
605,2
606,1
607,2
608,1
609,2
610,1
611,1
612,1
613,2
614,1
615,4
617,2
618,1
619,1
620,3
622,1
623,2
625,4
626,1
628,2
630,2
631,3
632,3
633,1
634,1
635,3
636,4
637,2
638,2
641,4
643,6
645,1
646,1
647,4
648,3
649,2
651,3
652,1
654,2
655,1
656,2
657,1
658,1
660,3
661,1
662,1
663,3
664,1
666,2
667,1
669,2
670,1
671,2
672,4
673,1
674,3
675,1
676,2
677,1
678,2
679,1
682,1
683,2
684,1
686,2
687,1
688,2
689,5
690,1
691,1
692,1
693,1
694,2
695,4
696,3
697,2
698,3
699,5
701,3
702,1
703,1
705,1
706,3
707,2
708,2
710,2
711,3
713,3
714,1
715,2
716,1
717,3
718,3
719,2
720,4
721,3
722,5
723,1
724,2
725,1
726,1
728,2
729,3
730,3
731,2
732,4
733,2
734,1
735,2
736,1
737,4
739,2
740,4
741,2
742,2
743,2
744,2
745,2
746,2
747,4
748,1
749,1
750,4
751,3
752,2
753,2
754,2
755,1
756,6
757,6
758,1
759,3
760,2
761,4
764,3
765,2
766,4
767,1
768,1
770,1
773,2
774,1
775,1
776,2
777,3
778,1
779,1
780,2
782,1
783,2
784,1
786,3
787,1
788,1
789,4
790,2
793,3
794,2
796,2
797,3
799,5
800,3
801,4
802,2
803,1
805,1
806,4
808,1
810,1
811,2
812,2
813,2
814,4
815,2
816,3
818,2
820,2
821,1
823,3
824,1
825,1
826,1
827,1
828,3
829,1
830,1
831,4
832,2
