Rank,Frequency
3,1
5,1
7,1
8,1
9,1
10,1
11,2
15,1
16,1
17,1
18,2
19,4
20,2
21,4
22,5
23,2
24,2
25,2
26,2
27,2
28,2
30,1
32,1
33,2
41,2
44,2
45,2
46,1
50,1
52,1
59,1
66,1
67,2
68,1
70,1
71,1
72,2
74,1
76,1
81,1
82,1
85,1
87,2
90,1
91,1
92,1
94,1
97,2
100,1
101,1
102,1
106,1
109,1
110,3
112,1
114,3
117,2
118,1
119,2
120,1
122,4
124,1
125,1
126,1
127,2
129,1
136,2
139,1
140,3
141,1
142,1
143,1
145,1
146,2
147,1
148,2
150,1
151,2
153,1
154,1
155,2
156,2
158,2
160,1
161,1
162,1
166,1
167,1
168,4
169,2
171,2
172,1
173,1
176,1
180,3
182,1
183,1
184,3
185,2
186,1
187,4
189,3
190,1
193,4
194,1
196,1
198,1
199,2
200,2
201,4
204,1
206,1
208,2
209,1
210,1
211,1
212,1
213,2
215,2
216,2
217,1
218,2
219,5
220,5
221,2
222,11
223,6
224,7
225,3
226,4
227,10
228,6
229,10
230,13
231,10
232,13
233,17
234,16
235,20
236,18
237,15
238,17
239,17
240,19
241,16
242,30
243,24
244,18
245,25
246,14
247,13
248,19
249,17
250,15
251,20
252,14
253,12
254,15
255,9
256,7
257,10
258,8
259,9
260,6
261,4
262,4
263,4
264,2
265,3
266,4
267,2
268,5
269,2
270,1
271,2
272,1
274,2
275,1
276,1
277,2
279,2
280,1
282,3
284,2
285,3
286,1
287,1
288,1
289,2
290,1
291,1
293,2
294,2
296,2
297,1
298,1
299,3
300,4
301,1
302,1
303,2
304,1
305,2
306,1
307,1
308,3
312,3
313,2
314,2
315,1
316,1
317,1
318,3
319,1
320,3
321,1
323,1
324,3
325,2
326,2
327,2
328,1
329,1
330,2
331,3
332,1
333,2
334,4
335,3
336,5
337,4
338,4
339,1
340,2
341,4
342,4
343,1
344,3
345,5
346,3
347,1
348,2
349,1
350,3
351,7
352,4
353,3
354,5
355,4
356,3
357,6
358,1
359,2
360,2
361,1
362,3
363,4
365,4
366,1
367,4
368,3
369,2
370,3
371,3
372,4
373,3
374,2
375,2
376,2
377,1
378,2
379,1
381,2
382,1
383,1
384,3
385,5
386,6
387,1
388,2
389,2
390,1
393,1
395,1
396,1
