Rank,Frequency
1,1
2,2
5,1
8,1
9,2
11,1
13,1
14,2
20,1
21,1
22,2
23,5
24,1
25,6
26,5
27,13
28,11
29,18
30,25
31,31
32,36
33,31
34,42
35,38
36,33
37,6
38,15
39,14
40,9
41,6
42,7
43,4
44,1
45,4
46,2
47,3
48,1
49,3
50,1
52,1
53,1
54,2
56,1
57,1
58,1
59,1
60,2
61,2
62,3
63,2
64,2
66,1
67,4
68,2
69,1
70,2
71,1
73,1
75,1
77,1
78,5
79,3
80,1
82,1
85,1
86,1
87,1
88,1
89,2
90,1
92,2
93,1
94,3
95,3
96,1
97,3
98,1
99,4
100,3
101,2
102,1
103,3
104,1
105,1
107,1
108,1
109,1
111,2
112,1
113,1
114,2
115,1
116,2
117,2
118,2
119,2
120,2
122,1
123,1
124,1
125,4
126,4
127,2
129,3
131,1
132,1
133,2
135,4
137,1
138,4
140,1
141,1
143,1
144,2
146,3
148,1
149,1
150,1
151,2
152,1
153,1
154,6
156,1
157,1
158,4
159,1
160,1
161,3
162,1
163,1
164,2
165,1
166,1
167,2
168,4
169,1
170,1
171,1
172,2
173,1
174,1
175,2
176,3
178,1
179,1
180,1
181,2
182,1
183,1
184,2
185,2
186,1
187,2
188,1
189,2
190,3
191,3
192,1
193,1
194,1
195,1
196,2
197,2
198,2
199,2
200,2
201,3
202,2
203,1
204,2
205,2
206,3
207,2
208,4
209,2
211,1
213,3
214,2
216,5
217,1
218,2
219,3
221,3
224,2
225,2
226,1
228,1
229,1
230,2
231,1
232,3
233,4
234,1
235,3
236,1
237,1
239,2
240,3
241,1
242,1
243,2
244,2
245,2
246,4
247,3
248,1
249,1
250,1
251,1
252,6
253,1
254,1
255,1
256,1
257,2
259,2
260,2
263,1
265,2
266,2
268,2
269,3
270,1
271,2
272,1
273,2
274,1
275,2
276,2
277,3
278,2
279,2
280,1
281,1
282,2
285,1
286,1
287,4
289,3
291,3
292,1
293,1
294,2
295,4
296,2
297,1
298,1
299,4
300,4
302,1
303,4
304,3
305,1
307,2
308,2
309,3
310,2
311,3
312,1
313,3
314,4
315,3
316,2
317,1
318,5
319,1
320,4
321,1
322,5
323,1
324,2
325,6
326,1
327,1
328,3
329,1
331,1
332,1
333,5
334,1
335,1
336,1
337,1
338,2
339,1
341,1
342,3
343,2
345,2
346,3
347,2
349,3
350,3
351,4
353,1
354,5
355,1
356,2
357,2
358,4
360,3
361,2
362,2
363,1
364,1
365,1
367,2
368,1
369,1
370,3
371,1
372,1
373,2
375,3
377,1
378,2
379,2
380,1
381,2
382,4
383,1
384,1
385,1
386,1
387,1
388,1
389,2
390,2
391,1
392,2
393,2
394,1
395,1
396,1
397,1
398,1
400,3
401,4
402,3
403,2
404,5
405,2
406,5
407,3
410,2
411,1
413,1
414,4
416,2
417,1
418,3
419,2
420,6
421,1
422,1
423,4
424,3
425,2
426,2
428,1
430,3
431,3
432,2
433,1
434,2
435,2
436,1
437,3
438,4
439,3
440,2
441,4
442,3
443,2
444,8
445,8
446,4
447,4
448,11
449,8
450,16
451,9
452,20
453,8
454,18
455,20
456,17
457,19
458,20
459,18
460,31
461,22
462,26
463,23
464,34
465,32
466,34
467,31
468,30
469,43
470,43
471,38
472,38
473,57
474,29
475,35
476,27
477,36
478,32
479,33
480,36
481,26
482,25
483,34
484,20
485,22
486,21
487,16
488,18
489,15
490,14
491,8
492,14
493,13
494,8
495,6
496,11
497,4
498,12
499,4
500,2
501,6
502,1
503,1
504,2
505,3
506,3
507,1
508,1
509,2
511,4
512,5
513,4
514,3
515,3
516,2
517,2
519,3
520,1
521,1
523,5
524,2
525,2
526,3
527,4
528,2
529,3
531,1
532,4
533,4
534,5
535,5
536,6
537,2
538,6
539,7
540,2
541,8
542,7
543,3
544,6
545,4
546,3
547,2
548,5
549,3
550,4
551,3
552,2
553,6
554,2
555,1
556,1
558,2
559,6
560,1
561,2
562,4
563,4
564,2
565,2
566,1
567,3
569,1
570,2
571,3
572,1
575,4
576,3
577,2
578,4
579,1
580,2
581,2
582,2
583,3
584,1
585,3
586,1
587,1
588,3
589,2
590,2
591,1
592,1
594,3
595,3
598,1
599,3
600,2
601,5
602,2
603,2
604,1
605,2
606,1
607,1
608,3
609,2
610,2
611,4
612,2
613,1
614,2
615,3
616,1
617,1
618,4
619,1
620,3
622,3
623,1
624,2
625,2
626,2
627,2
628,4
629,2
630,3
632,1
633,4
634,1
635,3
636,3
637,6
638,2
639,5
640,3
641,3
642,4
643,2
644,5
645,2
647,3
