Rank,Frequency
5,1
9,1
10,1
11,3
13,2
15,1
16,2
19,4
20,2
23,1
24,3
25,2
26,3
28,2
30,3
31,2
32,1
33,3
34,2
35,4
36,3
37,1
38,3
39,1
40,1
41,1
42,2
43,3
44,1
45,4
46,3
47,2
49,1
50,4
51,1
52,5
53,2
54,2
55,1
56,5
57,5
58,2
59,4
60,6
61,1
62,4
63,3
64,4
65,3
66,1
67,2
68,3
69,4
70,3
71,2
72,5
73,5
74,3
75,3
76,3
77,2
78,4
79,3
80,9
81,5
82,2
83,3
84,3
85,3
86,1
87,3
88,3
89,1
90,5
91,5
92,8
93,3
94,9
95,9
96,8
97,15
98,9
99,14
100,16
101,29
102,31
103,46
104,30
105,43
106,38
107,37
108,46
109,54
110,46
111,56
112,45
113,36
114,35
115,17
116,25
117,16
118,15
119,15
120,14
121,8
122,7
123,13
124,5
125,7
126,7
128,4
129,1
130,3
131,5
132,6
133,3
134,6
135,4
136,3
137,3
138,2
139,1
140,3
141,4
142,5
143,5
144,3
146,4
147,1
148,5
149,4
150,5
151,3
152,8
153,4
154,3
155,3
156,4
157,1
158,5
159,4
160,2
161,2
162,5
163,2
164,3
165,3
166,2
167,1
168,5
169,1
170,3
171,3
172,2
174,4
175,4
176,2
179,1
180,1
181,2
182,2
183,3
184,3
185,4
186,3
187,1
188,2
189,1
190,7
191,2
192,5
194,1
195,1
196,1
197,3
198,3
199,2
200,1
201,2
202,2
203,1
204,1
205,4
206,3
208,4
209,5
210,5
211,3
212,2
213,1
214,1
215,4
216,2
217,4
218,2
219,1
220,5
221,3
222,2
223,5
224,1
225,4
226,3
227,2
228,3
229,1
230,2
231,2
232,4
234,3
235,5
236,1
237,2
238,1
239,4
240,2
241,4
242,1
243,3
244,1
245,3
246,2
247,2
249,2
250,4
251,3
253,2
254,3
255,2
256,1
257,2
258,2
259,4
260,4
261,1
263,3
264,1
266,5
267,2
268,1
269,2
271,4
272,3
273,5
274,4
275,4
276,3
277,2
279,3
280,1
281,2
282,2
283,2
284,2
285,1
286,1
287,3
288,4
289,1
290,4
291,4
292,6
293,4
294,2
296,1
297,1
298,1
299,2
300,3
302,1
304,4
305,5
306,3
307,3
308,1
310,1
311,1
312,2
314,3
316,1
317,1
318,1
319,2
320,1
322,2
323,1
325,1
326,1
327,2
328,4
329,3
330,4
331,1
332,1
333,4
334,2
335,1
336,1
337,1
338,1
340,1
341,1
342,4
343,1
345,3
346,1
347,5
348,2
349,3
350,5
352,6
353,3
354,5
355,6
356,6
357,5
358,6
359,6
360,6
361,8
362,4
363,10
364,11
365,7
366,9
367,11
368,14
369,15
370,21
371,13
372,17
373,18
374,23
375,25
376,22
377,34
378,20
379,30
380,36
381,34
382,35
383,33
384,26
385,30
386,30
387,37
388,31
389,34
390,28
391,33
392,31
393,20
394,25
395,27
396,23
397,25
398,18
399,24
400,6
401,14
402,9
403,14
404,12
405,8
406,11
407,10
408,8
409,2
410,9
411,4
412,6
413,2
414,2
415,7
416,4
417,2
418,1
419,2
420,3
421,1
422,3
423,2
424,2
425,2
426,2
427,2
428,2
429,3
430,5
433,3
434,3
436,4
437,3
438,1
439,1
440,3
442,3
443,2
444,1
445,1
446,1
447,2
448,2
449,3
451,1
452,1
453,1
454,3
455,3
456,4
457,1
459,3
460,2
461,5
462,2
464,1
465,1
467,1
468,2
469,1
