Rank,Frequency
1,9
2,26
3,39
4,25
5,7
6,2
7,1
8,1
10,1
11,5
12,2
13,4
14,4
15,1
16,1
17,1
18,4
19,1
20,1
21,2
22,1
24,3
26,3
27,2
28,3
29,1
30,4
31,3
32,1
33,3
35,2
36,2
37,1
38,2
39,3
40,3
41,1
42,3
44,3
45,3
46,1
47,1
48,4
49,1
50,6
51,3
52,2
53,1
55,3
56,2
57,1
58,3
59,3
60,2
61,3
62,4
63,4
64,4
65,2
66,5
67,4
68,3
69,4
70,6
71,3
72,2
73,3
74,4
75,1
76,1
77,5
78,4
79,3
80,5
81,4
82,1
83,1
84,3
85,1
86,1
87,4
88,4
89,5
90,3
92,3
93,4
94,2
95,2
97,1
98,2
99,3
100,5
101,3
102,2
103,2
104,1
105,3
106,2
107,4
108,5
109,3
110,4
111,2
112,5
113,2
114,1
115,6
117,2
118,4
119,1
120,4
121,2
122,4
123,2
124,3
125,2
126,2
127,6
128,4
129,1
130,3
131,3
132,2
133,3
134,8
135,5
136,2
137,5
138,1
139,1
140,3
141,2
142,1
143,5
144,7
145,4
146,2
147,2
148,5
149,6
150,1
151,1
152,4
153,1
154,3
155,3
156,1
157,3
158,6
159,4
160,4
161,1
162,2
163,2
164,4
165,1
166,7
167,3
168,2
169,3
170,2
171,1
172,5
173,2
174,5
175,1
176,2
177,5
178,4
179,2
180,1
181,4
182,2
183,1
184,2
185,2
186,4
187,7
188,3
189,2
190,2
191,1
192,2
193,3
194,1
195,2
196,2
197,2
198,8
199,3
200,1
201,1
202,3
203,6
204,2
205,2
206,2
208,5
209,2
210,3
211,4
212,2
213,3
214,1
215,3
216,1
217,2
219,1
220,3
221,2
222,3
223,3
224,3
225,2
226,2
228,5
229,7
230,3
231,1
232,4
233,1
234,3
235,3
236,2
237,3
238,1
239,2
240,2
241,4
242,4
243,6
244,1
245,4
246,5
247,3
248,5
249,5
250,3
251,2
252,1
253,1
254,8
255,4
256,3
257,4
258,3
259,1
260,3
261,1
262,2
263,1
264,2
265,2
266,3
267,3
268,3
269,4
270,3
271,1
272,4
273,1
274,2
275,1
276,2
277,6
278,2
279,2
280,7
281,4
282,2
283,3
284,2
285,6
286,2
287,5
288,4
289,3
290,4
291,3
292,5
293,12
294,14
295,7
296,16
297,13
298,13
299,21
300,23
301,16
302,17
303,23
304,23
305,29
306,28
307,21
308,41
309,43
310,36
311,48
312,51
313,39
314,51
315,55
316,47
317,40
318,44
319,56
320,45
321,40
322,62
323,51
324,49
325,44
326,41
327,43
328,27
329,28
330,25
331,23
332,22
333,23
334,18
335,10
336,10
337,13
338,15
339,11
340,8
341,4
342,6
343,3
344,7
345,3
347,2
348,5
349,1
350,4
351,5
352,1
353,2
354,6
355,2
356,4
357,1
358,2
359,5
360,4
361,4
363,3
364,1
365,4
366,4
367,4
368,1
369,4
370,1
371,3
372,3
373,1
374,3
375,3
376,2
377,3
379,4
380,5
381,3
382,3
383,2
384,5
385,1
386,6
387,3
388,1
389,1
390,3
391,2
392,6
393,2
394,5
395,2
396,5
397,1
398,3
399,3
400,3
402,3
403,5
404,2
405,1
406,3
407,6
408,2
409,1
410,5
411,7
412,2
413,1
415,1
416,1
417,3
418,4
419,1
420,3
421,1
422,4
423,3
424,2
425,2
427,1
428,4
429,7
430,7
432,1
433,5
434,1
435,3
436,3
437,3
438,2
439,4
440,3
441,2
442,2
443,2
445,4
446,3
447,3
448,4
449,1
450,3
451,4
453,4
454,4
455,4
456,4
457,3
458,1
459,3
460,6
461,3
462,1
464,2
465,2
466,4
467,1
468,2
470,3
471,3
472,6
473,3
474,3
475,4
476,5
477,3
478,3
479,1
480,1
481,4
482,1
483,4
484,3
485,4
486,2
487,3
488,6
490,2
491,1
492,4
493,2
494,2
496,5
497,1
498,3
499,1
500,2
501,2
502,3
503,3
504,2
505,1
506,2
507,4
508,3
509,5
510,2
511,4
512,7
513,2
514,2
515,1
516,2
518,1
519,1
520,4
521,4
522,4
523,2
524,2
525,2
526,6
527,1
528,1
529,2
531,4
532,6
533,4
534,3
535,2
536,2
537,1
538,1
541,3
542,4
543,3
544,3
