Rank,Frequency
1,2
2,2
3,1
4,1
5,2
6,1
8,2
11,2
12,1
14,4
19,1
20,1
23,2
24,1
25,3
27,1
29,1
31,1
32,4
33,3
34,3
35,1
36,1
37,2
38,1
39,1
41,2
42,1
43,1
44,2
45,1
46,2
47,4
50,5
51,4
52,1
53,2
54,2
55,1
56,3
57,5
58,5
59,1
61,1
62,2
63,1
64,4
65,5
66,2
67,3
68,3
69,4
70,3
71,4
73,4
75,2
76,3
77,2
78,2
79,10
80,4
81,2
82,2
83,2
84,4
85,1
86,3
87,3
88,3
89,3
90,4
91,3
92,1
93,4
94,3
95,2
96,3
97,1
98,3
99,7
100,3
101,4
102,4
103,3
104,5
105,3
106,5
107,2
108,2
109,3
110,4
111,1
112,1
113,3
114,3
115,5
116,4
117,3
119,2
120,6
121,4
122,4
123,4
124,4
125,2
126,3
127,5
128,1
129,3
130,1
131,1
132,1
133,2
134,4
135,4
136,2
137,4
138,3
139,3
140,7
141,1
142,4
143,2
144,3
145,3
146,2
147,2
149,3
150,1
151,2
152,3
153,7
155,3
156,2
157,5
158,3
159,4
160,4
161,1
162,5
164,1
165,4
166,2
167,5
168,3
169,2
170,3
171,2
172,2
173,6
174,4
175,3
176,4
177,3
178,5
179,1
180,4
182,3
183,8
184,2
185,2
186,3
187,2
188,2
189,5
190,3
192,2
194,5
195,2
196,4
197,3
198,4
199,3
200,3
202,3
203,3
204,1
205,2
208,3
209,1
210,3
211,2
212,5
213,5
214,1
215,1
216,4
217,1
218,1
219,5
220,4
221,4
222,1
223,4
224,4
225,2
226,2
227,2
228,5
229,2
232,4
233,6
235,2
236,1
237,2
238,1
239,1
241,3
242,3
243,2
244,4
245,2
246,1
247,4
248,2
249,2
250,2
251,3
252,5
253,2
254,3
255,4
256,5
257,4
258,1
259,2
260,2
261,6
262,5
263,6
264,7
265,8
266,12
267,7
268,4
269,9
270,15
271,23
272,19
273,19
274,20
275,28
276,29
277,18
278,37
279,33
280,28
281,34
282,46
283,44
284,45
285,41
286,44
287,43
288,36
289,36
290,50
291,44
292,41
293,33
294,42
295,37
296,43
297,31
298,33
299,25
300,29
