Rank,Frequency
2,3
3,2
4,1
5,2
6,2
7,2
8,1
9,2
11,1
12,1
13,3
14,1
15,2
16,1
18,3
19,1
20,3
21,2
22,2
23,2
25,1
26,2
27,2
29,2
30,1
31,4
32,3
33,1
34,2
35,1
36,1
37,2
38,1
40,1
41,3
42,4
43,2
44,1
45,2
46,2
48,2
49,1
50,2
51,2
52,3
54,4
55,2
56,2
57,3
58,1
59,1
60,4
63,1
66,5
67,1
68,2
69,2
70,1
71,2
72,2
73,1
74,2
75,3
77,1
78,2
79,2
80,2
81,2
82,3
83,3
85,3
86,2
87,1
88,2
89,2
90,2
91,1
92,1
93,4
95,2
97,1
98,2
99,2
100,6
102,2
103,3
106,3
107,3
108,4
111,3
112,4
113,3
114,3
115,3
116,2
117,2
118,3
119,2
120,2
121,4
122,4
123,2
124,6
125,1
126,5
127,2
128,5
129,3
130,6
131,2
132,7
133,5
134,4
135,7
136,4
137,2
138,2
139,4
140,4
141,6
142,1
144,4
145,2
146,1
147,2
148,4
150,2
151,3
152,1
153,4
154,3
155,1
156,2
157,3
159,3
160,3
161,6
162,4
163,3
164,5
165,5
166,4
167,5
168,7
169,3
170,12
171,10
172,5
173,10
174,6
175,7
176,12
177,13
178,11
179,5
180,13
181,9
182,10
183,10
184,12
185,4
186,4
187,4
188,5
189,7
190,3
191,7
192,6
193,4
194,4
195,1
196,1
197,4
198,6
199,3
200,4
201,2
202,3
203,5
204,4
205,3
206,2
207,5
209,1
210,4
211,3
212,1
213,5
214,4
215,3
217,3
220,3
221,1
222,2
223,2
224,2
225,3
226,4
227,2
230,2
231,7
232,1
234,3
236,4
237,1
238,1
239,1
240,3
241,1
242,2
243,2
244,1
245,2
246,2
247,1
248,3
249,1
250,1
251,2
252,4
254,1
255,1
256,2
257,3
258,4
259,3
260,2
261,4
262,5
263,2
264,1
265,1
266,2
267,3
269,1
270,2
271,1
272,2
273,2
275,1
276,1
277,5
278,2
279,1
280,1
281,1
282,2
283,1
284,2
285,2
286,3
287,2
288,1
289,1
290,3
291,3
292,2
293,1
294,1
295,2
296,2
297,5
298,2
299,4
300,3
301,1
302,5
303,3
305,2
306,3
307,1
308,2
309,4
310,1
311,1
312,2
313,1
314,2
315,2
316,3
317,1
318,2
320,3
321,3
322,2
323,2
324,1
325,2
326,5
327,5
329,2
330,2
331,1
332,1
333,3
334,1
335,1
336,3
337,3
338,5
339,2
340,4
341,6
342,2
343,1
344,1
345,2
346,4
347,2
348,2
349,2
350,1
351,2
352,2
353,1
354,4
355,4
356,1
358,2
359,3
360,4
362,1
363,1
364,2
365,1
366,4
367,2
368,2
370,2
371,1
373,1
374,2
375,1
376,1
377,2
378,1
381,4
382,4
384,3
385,4
386,3
387,2
388,2
389,2
390,1
391,2
392,1
393,4
395,1
396,2
398,3
399,6
400,1
401,3
402,2
403,3
404,1
405,4
406,1
407,4
408,6
409,2
410,1
412,1
413,4
414,2
415,2
416,2
418,3
419,1
421,4
423,2
424,1
425,3
426,4
427,2
428,1
430,4
431,2
432,3
433,2
434,3
435,4
436,2
437,3
438,2
439,1
440,3
441,1
442,3
443,3
445,2
446,2
447,3
448,1
449,3
450,1
452,2
454,2
455,1
456,3
457,1
458,4
459,1
460,6
462,2
463,2
464,4
465,1
466,3
467,2
468,6
469,2
470,2
471,2
472,2
473,2
474,4
476,1
477,2
478,2
479,2
480,1
481,2
482,4
483,1
484,1
485,3
486,2
487,2
488,3
489,1
490,2
491,3
492,3
493,4
494,2
495,1
497,1
498,1
499,2
500,6
501,1
502,2
503,2
504,3
505,3
506,1
507,1
508,2
509,2
510,2
511,3
512,2
513,3
514,2
515,2
516,6
517,3
518,3
519,5
520,3
524,2
525,4
526,5
527,4
528,1
529,2
530,1
531,1
532,4
534,2
535,2
536,1
537,2
538,4
539,1
540,1
541,3
542,2
543,1
544,5
545,3
546,2
547,2
548,7
549,4
550,1
551,3
553,2
554,2
555,3
556,2
557,3
558,2
559,3
560,3
561,3
562,2
563,2
566,1
567,1
568,1
569,2
570,4
571,2
572,2
573,4
574,2
575,1
577,2
579,3
580,2
581,1
582,1
583,1
584,2
585,3
586,2
588,2
590,4
592,5
593,2
594,2
596,1
597,1
598,4
599,2
600,1
603,1
604,3
606,3
608,2
609,3
610,1
611,1
612,2
613,1
614,2
615,1
616,3
617,3
618,1
619,1
620,2
621,1
622,1
623,4
624,5
625,3
626,4
627,3
628,1
629,3
630,2
632,4
633,2
634,1
635,1
636,1
638,1
639,1
640,2
641,3
642,3
644,3
645,4
648,1
649,3
650,2
651,3
652,1
653,1
655,1
656,1
658,3
659,1
661,2
663,3
664,1
665,2
666,3
668,3
669,4
670,3
671,4
672,3
674,4
675,1
676,3
677,2
679,3
680,2
682,3
683,1
684,2
685,1
686,9
688,1
689,1
690,3
691,2
692,3
694,3
696,1
697,1
698,4
699,3
700,2
701,2
702,2
703,1
704,1
705,5
706,3
707,4
708,3
709,2
710,1
711,1
712,1
713,2
714,1
715,2
716,2
717,1
718,2
719,1
720,2
722,3
723,1
725,1
726,2
728,4
729,1
730,1
731,2
732,4
733,5
734,4
735,5
736,4
737,5
738,6
739,3
740,3
741,6
742,9
743,4
744,6
745,9
746,10
747,4
748,10
749,18
750,9
751,9
752,17
753,25
754,24
755,13
756,18
757,18
758,18
759,27
760,37
761,21
762,33
763,31
764,41
765,28
766,39
767,26
768,39
769,47
770,41
771,39
772,53
773,47
774,31
775,41
776,32
777,34
778,28
779,39
780,36
781,35
782,34
783,31
784,35
785,40
786,22
787,20
788,22
789,28
790,29
791,28
792,16
793,17
794,22
795,14
796,16
797,16
798,8
799,8
800,14
801,12
802,6
803,5
804,9
805,1
806,5
807,10
808,5
809,9
810,4
811,1
812,3
813,2
814,2
815,4
816,2
818,2
819,2
820,2
821,1
822,1
823,3
824,2
825,1
826,3
827,2
829,2
830,1
831,2
832,3
833,2
834,5
836,3
837,1
838,3
839,1
840,1
841,3
843,1
844,3
845,1
846,1
847,2
848,1
849,2
850,1
851,1
852,3
855,3
856,3
857,1
858,2
859,3
860,1
861,2
862,2
863,2
864,2
865,3
866,3
867,2
868,1
869,2
870,3
871,1
872,2
873,2
874,3
875,1
876,1
877,5
878,7
879,3
880,4
881,4
882,2
883,2
885,2
886,1
887,5
889,2
891,3
892,1
893,1
894,2
895,1
896,1
897,6
898,1
899,3
900,2
901,2
902,1
903,3
904,3
905,3
907,1
908,2
909,1
910,1
911,4
912,1
913,4
914,2
915,4
916,2
917,1
918,1
919,2
920,1
921,1
922,3
923,1
924,1
925,3
