Rank,Frequency
14,1
18,1
24,1
25,1
28,1
31,1
34,1
36,1
37,1
41,1
42,3
43,2
44,2
45,3
47,2
48,2
49,3
50,1
54,2
55,2
56,4
57,5
59,1
62,1
65,1
66,1
67,1
68,1
69,3
70,1
71,5
72,1
73,1
74,1
75,4
77,4
79,5
80,3
83,2
84,2
86,3
87,2
88,1
90,3
91,3
92,2
93,3
94,1
96,3
97,3
98,1
99,4
100,1
101,5
102,1
103,3
104,3
109,4
110,6
112,3
113,3
114,1
115,1
116,4
117,2
118,2
119,4
120,5
121,3
122,4
123,4
124,4
125,1
126,3
127,3
129,1
130,4
131,3
132,3
133,3
134,6
136,3
137,1
138,5
139,1
141,3
142,2
143,1
144,3
145,2
146,2
147,4
148,2
149,3
150,4
151,1
152,4
153,2
154,2
155,7
156,2
157,2
158,1
159,1
160,4
161,3
164,3
165,3
166,4
167,3
168,3
169,3
170,1
171,2
172,5
173,4
174,3
175,4
176,1
177,1
178,1
179,2
181,6
182,2
183,3
184,3
185,3
186,1
187,1
188,3
189,1
190,4
191,2
192,1
194,3
195,3
196,2
197,1
198,2
199,2
200,2
201,1
202,4
204,5
205,5
206,5
207,1
208,2
209,3
210,3
211,2
212,1
213,4
214,2
215,3
216,5
217,1
218,3
219,3
221,2
222,3
223,2
224,4
225,3
226,2
227,3
228,3
229,3
230,3
232,2
233,2
234,4
235,2
237,1
238,3
239,3
240,3
242,1
243,5
244,1
245,5
246,1
247,2
248,2
249,6
250,1
251,2
252,4
253,1
254,4
255,2
256,1
257,1
258,3
259,2
260,4
261,1
262,1
263,3
264,2
265,2
266,2
267,2
268,5
269,1
270,2
272,2
273,1
274,4
275,1
276,2
277,3
278,4
279,2
280,3
281,2
282,2
283,3
284,1
285,2
286,2
287,2
288,4
289,2
290,4
291,4
292,1
293,1
294,1
295,3
296,2
297,3
298,6
299,2
300,6
301,3
302,3
303,3
304,5
305,3
306,1
307,3
308,5
309,2
310,4
311,2
312,4
313,2
314,1
316,6
317,4
318,2
319,5
320,3
321,4
322,2
323,1
324,3
325,4
326,2
327,2
328,2
329,5
330,2
331,3
332,3
333,3
334,1
335,3
336,2
337,4
338,4
339,2
340,4
341,1
342,1
344,2
345,1
346,1
347,5
348,1
349,3
351,3
352,1
353,4
354,1
355,4
356,5
357,1
358,4
359,1
360,1
361,2
362,1
363,2
364,3
365,1
366,3
367,2
368,4
369,5
370,2
371,3
372,2
373,2
374,1
375,2
376,3
377,4
378,3
379,3
380,6
381,7
382,3
383,1
385,1
387,5
388,3
389,2
390,2
391,2
392,2
393,2
394,3
396,1
397,1
398,1
399,2
400,3
401,2
402,3
403,3
404,2
405,2
407,1
408,2
409,6
410,1
411,4
413,3
415,1
416,5
417,3
418,3
419,2
420,2
421,3
422,2
423,3
424,3
425,4
426,4
427,4
428,1
429,3
430,1
431,2
432,1
433,5
434,6
435,3
436,5
437,2
438,2
440,1
441,3
442,2
444,2
445,5
446,3
447,4
448,3
450,1
451,1
452,1
454,6
455,1
456,4
457,4
458,2
460,3
461,4
462,3
463,6
465,3
466,2
467,2
468,3
470,1
471,5
472,1
473,2
474,1
475,5
477,3
478,2
479,1
480,1
481,4
482,3
483,1
485,3
487,3
488,2
489,1
490,1
491,2
492,2
493,2
494,2
495,3
496,2
497,2
498,1
499,1
500,3
501,1
502,2
503,2
504,1
505,1
506,1
507,4
508,6
511,4
512,4
513,3
514,1
515,1
516,3
518,5
519,2
522,1
523,3
524,4
525,4
526,1
527,3
529,2
530,4
531,1
532,2
533,1
534,2
535,4
536,4
538,2
539,4
540,4
541,1
542,6
543,1
545,2
546,3
547,2
549,5
550,1
551,2
553,1
554,6
555,4
559,3
560,2
561,2
562,4
563,1
564,5
566,3
567,3
568,3
569,4
570,1
571,2
572,2
573,1
574,3
575,2
576,4
577,3
578,3
579,2
580,2
581,6
582,4
583,1
584,7
585,2
586,1
587,1
588,1
589,4
590,2
591,3
592,1
594,1
595,1
596,3
597,4
598,2
599,3
600,1
601,1
602,2
603,3
604,3
605,1
606,1
607,1
608,2
609,2
610,3
611,3
612,2
613,2
614,2
615,3
617,1
618,6
619,2
620,1
621,1
622,1
623,5
624,2
626,1
627,3
628,1
629,4
630,3
631,1
632,3
633,5
634,2
635,1
636,3
637,1
638,5
639,3
640,1
641,1
642,1
643,4
644,2
645,2
646,5
647,2
648,2
649,3
650,2
651,1
652,5
653,1
654,3
655,2
657,5
658,5
659,1
660,7
661,4
662,5
663,5
664,4
665,5
666,6
667,5
668,2
669,10
670,4
671,7
672,10
673,6
674,4
675,7
676,7
677,3
678,9
679,7
680,9
681,6
682,8
683,9
684,7
685,8
686,7
687,8
688,6
689,2
690,10
691,4
692,8
693,3
694,10
695,4
696,7
697,4
698,2
699,7
700,3
701,1
702,2
703,6
704,3
705,4
706,2
707,3
708,2
709,5
710,2
711,4
712,4
713,2
714,1
715,3
716,1
717,2
718,2
719,3
720,2
721,4
722,1
723,2
724,1
726,1
727,1
728,3
729,5
730,1
731,3
732,1
733,1
735,2
738,3
739,1
740,2
741,1
743,6
