Rank,Frequency
1,1
5,1
9,1
11,2
12,3
13,2
15,3
16,2
18,2
20,1
21,2
23,2
24,1
25,3
26,3
27,1
28,2
29,1
30,1
31,3
32,2
33,2
34,2
35,5
36,3
37,2
38,2
39,2
40,2
41,2
42,2
43,4
44,2
45,2
46,3
47,3
48,2
49,3
50,2
51,4
53,5
54,2
55,6
56,6
57,7
58,3
59,2
60,2
61,4
62,4
63,3
64,6
65,1
66,3
67,3
68,3
69,4
70,3
71,2
72,3
73,2
74,3
75,2
76,1
77,1
78,8
79,5
80,3
81,2
82,9
83,2
84,4
85,3
87,2
88,1
89,2
90,4
91,5
92,4
93,5
94,3
95,4
96,2
97,5
98,6
99,2
100,3
101,3
102,3
103,4
104,4
105,3
106,5
107,1
108,1
109,1
110,2
111,1
112,2
113,3
115,2
116,2
117,4
118,3
120,2
121,2
123,4
124,3
125,2
126,5
127,7
128,7
129,2
130,6
131,3
132,3
133,2
134,4
136,2
138,1
139,1
140,5
141,1
142,1
143,7
144,4
146,4
147,3
148,1
149,2
150,4
151,4
152,1
153,3
154,1
155,2
156,2
157,1
158,3
159,3
160,2
161,2
162,8
163,6
164,5
165,3
166,2
167,2
168,1
169,6
170,2
171,1
172,1
173,3
174,2
175,3
176,4
177,4
178,2
180,3
181,1
182,1
183,1
184,1
186,5
188,3
189,1
190,1
191,4
193,1
194,2
195,2
197,4
198,1
199,3
200,2
202,3
203,3
204,1
205,6
206,4
207,3
209,2
210,4
211,2
212,2
213,2
214,2
215,2
216,5
217,1
218,4
219,2
220,6
221,1
222,2
223,4
224,5
225,1
226,6
227,5
228,3
229,3
230,3
231,1
232,2
233,1
234,2
235,1
237,3
238,2
239,3
240,3
241,3
242,3
244,2
246,3
247,3
248,1
249,1
250,1
251,4
252,3
253,1
255,5
256,2
257,4
258,5
259,3
260,3
261,1
262,4
263,4
264,4
265,2
267,3
268,1
269,6
270,3
271,1
272,6
273,2
274,1
275,2
276,4
278,3
279,1
280,3
281,2
283,1
284,2
285,3
286,4
287,2
288,2
289,2
290,2
292,3
293,5
294,1
295,2
296,3
297,6
298,4
299,2
300,2
301,5
302,1
304,3
305,1
306,2
307,3
308,1
309,1
310,2
311,1
312,1
313,2
314,2
315,4
316,4
317,2
318,3
319,3
321,2
322,2
323,1
324,2
326,2
327,3
328,3
329,5
330,3
332,2
333,2
334,4
335,3
336,2
337,3
338,1
339,2
340,1
341,2
342,1
343,3
344,2
345,3
347,4
348,3
349,4
350,2
351,2
352,3
353,2
354,2
355,4
356,1
357,3
358,1
359,1
361,2
362,2
363,1
364,4
365,5
366,1
367,1
368,1
369,3
370,1
372,1
373,4
374,2
375,2
376,1
377,2
378,3
379,2
380,5
381,2
382,1
383,2
386,3
387,2
388,3
389,1
390,2
391,4
392,2
393,1
395,3
396,2
397,1
398,1
399,1
400,4
401,4
402,2
403,2
405,2
406,1
407,3
408,2
409,4
411,2
412,3
414,1
416,2
417,2
418,2
419,2
421,3
422,2
423,1
424,3
425,4
426,2
427,1
428,1
429,2
430,2
431,1
434,3
435,1
437,1
439,3
440,2
442,3
443,3
445,1
446,3
447,2
450,3
451,1
452,3
453,1
455,1
456,4
457,3
459,1
460,2
461,4
462,3
463,2
464,2
465,1
466,1
467,2
468,3
469,1
470,3
471,2
472,1
473,2
474,2
476,2
477,1
478,3
479,1
480,1
481,2
482,5
483,2
484,1
485,1
486,4
487,5
488,2
489,1
490,3
492,2
493,3
494,3
495,1
496,5
497,3
499,1
500,2
501,4
502,3
503,2
504,1
505,3
506,4
507,5
509,5
510,2
511,1
512,1
513,3
516,3
517,1
518,3
519,1
520,1
521,1
522,2
523,3
524,2
526,2
527,1
528,4
530,1
531,3
532,4
533,2
534,1
535,1
536,1
537,2
538,2
539,2
540,3
542,2
543,1
544,2
545,2
546,2
547,2
548,8
549,3
550,3
551,3
552,1
553,2
554,2
555,2
556,2
557,2
558,3
559,1
560,4
561,5
562,1
563,4
564,2
565,2
566,5
568,2
569,1
570,6
571,1
572,2
573,4
574,2
575,1
576,2
577,3
578,1
580,1
581,1
582,3
583,1
584,1
585,3
586,1
587,2
588,1
589,4
590,1
591,1
592,2
593,1
594,3
595,2
596,4
597,2
599,2
600,4
603,1
604,4
606,2
607,1
608,4
609,2
610,5
612,1
613,3
615,2
616,2
617,4
619,4
620,1
621,6
622,1
623,2
624,3
625,3
627,2
628,2
629,1
630,4
631,3
632,1
633,2
634,4
635,3
636,4
637,3
638,2
640,3
641,2
642,2
643,4
644,1
645,4
646,1
647,1
648,1
649,2
650,2
651,3
653,4
654,1
656,1
657,2
658,2
659,2
660,3
661,1
662,3
663,3
664,2
665,2
666,1
667,1
668,2
670,2
671,2
672,3
673,3
676,2
677,3
678,1
679,1
680,2
681,1
682,2
683,1
684,2
685,2
686,1
687,1
688,2
689,2
690,2
