Rank,Frequency
1,2
2,5
3,2
5,2
6,1
7,3
8,3
9,3
10,4
11,2
12,3
13,3
14,1
15,3
16,2
17,2
18,1
19,3
20,7
21,1
22,1
23,2
24,1
25,7
26,3
27,2
28,3
29,2
30,2
31,4
32,3
33,3
34,3
35,3
36,6
37,5
38,11
39,8
40,17
41,17
42,42
43,42
44,64
45,68
46,109
47,113
48,133
49,111
50,125
51,113
52,102
53,77
54,78
55,68
56,41
57,22
58,27
59,16
60,6
61,4
62,6
63,4
64,2
65,4
66,2
67,3
68,1
69,2
70,1
71,2
72,2
74,2
75,3
76,4
77,4
78,1
79,2
80,2
81,2
82,2
83,3
84,3
85,2
86,2
87,5
88,3
89,2
90,2
92,4
93,7
94,2
95,1
96,1
97,4
98,3
99,6
100,1
102,2
103,2
104,1
105,2
106,1
107,4
108,4
109,1
110,2
111,1
112,2
113,1
115,2
116,2
117,2
118,1
119,3
120,3
121,1
123,3
124,3
125,1
126,1
127,4
128,3
129,3
130,1
131,2
132,2
133,3
134,1
135,4
136,2
137,4
139,2
140,3
142,2
143,1
144,1
145,3
146,2
147,4
148,5
149,1
150,2
151,2
152,2
155,3
157,1
158,4
159,2
160,2
161,3
162,2
163,5
164,3
165,1
166,2
167,6
168,5
169,5
170,4
171,2
172,6
173,10
174,4
175,8
176,7
177,4
178,7
179,11
180,5
181,8
182,5
183,12
184,16
185,8
186,8
187,7
188,7
189,8
190,4
191,6
192,7
193,4
194,6
195,11
196,3
197,7
198,3
199,5
200,4
201,1
202,2
203,4
204,4
205,1
206,6
207,1
208,5
209,1
210,2
211,2
212,4
213,3
214,1
215,3
216,1
217,5
218,1
220,2
221,1
222,1
223,1
224,1
225,4
226,3
227,3
228,2
229,2
230,2
231,3
232,3
233,2
234,2
235,5
236,1
237,4
238,4
239,1
240,1
241,2
242,2
243,1
244,1
245,1
246,3
248,1
249,1
250,2
251,1
254,2
255,4
256,1
257,2
258,3
259,2
260,5
261,2
262,1
263,1
264,2
265,3
266,2
267,1
270,1
271,3
272,3
273,3
274,3
275,3
276,2
277,3
278,2
279,3
280,4
281,1
282,3
283,2
284,2
285,4
286,3
287,4
288,4
289,5
290,2
291,3
293,4
294,4
295,6
296,8
297,6
298,5
299,4
300,1
301,8
302,7
303,5
304,3
305,9
306,7
307,8
308,5
309,5
310,3
311,6
312,1
313,4
314,4
315,3
316,4
317,3
318,7
319,4
320,4
321,1
322,2
323,3
324,1
325,4
326,3
327,4
328,3
330,2
331,1
332,3
333,4
334,1
335,2
336,1
337,2
338,1
339,1
340,1
341,3
342,1
343,1
344,3
345,2
346,3
347,1
348,1
350,2
351,6
352,5
353,2
354,1
355,1
356,1
357,2
358,4
359,2
360,3
361,1
362,4
363,4
364,1
365,1
366,4
367,3
368,3
370,3
372,2
373,1
374,1
375,5
376,1
377,1
378,2
379,1
380,2
381,1
382,2
383,1
387,1
388,1
389,1
390,2
391,3
393,1
394,1
395,3
397,1
399,2
400,2
402,4
403,4
404,2
405,1
406,3
407,1
408,1
409,2
410,3
411,3
412,1
413,1
414,1
416,1
417,1
418,1
419,2
420,2
421,5
422,3
423,2
424,3
425,1
426,1
428,4
430,1
431,3
432,2
434,1
435,5
436,2
438,2
439,1
440,1
441,1
442,1
444,2
446,2
448,1
449,2
452,1
453,1
454,3
455,2
457,3
459,1
461,2
462,3
463,2
465,1
470,2
471,1
472,4
473,2
474,3
476,2
477,1
478,2
480,3
481,4
482,1
483,1
485,1
486,4
487,3
488,2
490,3
493,4
494,1
495,1
496,3
497,2
498,3
499,3
500,1
502,5
504,2
506,2
507,2
508,2
509,3
510,1
511,1
512,1
513,2
514,5
515,4
516,2
518,1
519,2
520,4
521,1
524,3
525,2
526,1
527,1
528,1
529,2
530,5
531,2
532,1
533,4
534,5
535,3
536,2
537,3
539,2
540,1
541,1
542,2
543,1
544,1
545,2
546,3
547,2
548,3
549,2
550,4
551,3
553,1
554,1
556,1
560,1
561,1
562,5
563,2
564,5
565,1
566,1
567,1
568,1
569,2
570,2
571,2
572,3
574,4
575,1
576,2
578,1
579,4
580,2
581,2
583,4
584,1
585,3
586,1
587,1
588,4
589,1
590,1
592,1
593,1
594,1
595,1
596,1
598,2
599,2
600,2
601,1
603,1
604,1
605,1
606,3
607,2
608,5
609,3
610,2
612,1
614,2
615,2
616,2
617,1
618,4
619,5
620,1
622,1
623,3
624,1
625,1
626,1
627,2
628,2
629,1
630,3
631,1
632,1
633,4
634,5
636,4
639,2
640,2
641,4
642,1
643,1
644,1
645,2
647,3
648,1
649,2
650,2
652,3
653,1
655,1
656,1
657,3
658,1
659,3
660,1
661,2
662,3
663,3
664,3
665,1
667,4
668,3
669,2
670,3
671,5
672,2
673,1
674,2
675,2
676,2
677,3
678,4
679,3
680,1
681,1
683,2
685,1
686,1
687,1
688,1
689,2
690,1
692,4
693,1
694,3
697,1
698,3
699,3
700,2
702,3
705,2
706,3
707,2
708,2
709,2
710,4
711,1
712,1
715,3
716,1
717,2
718,3
719,4
720,3
721,3
725,1
726,1
728,1
729,2
730,4
731,1
732,2
733,2
734,3
736,1
737,2
738,2
739,1
740,1
741,2
742,1
745,2
746,1
747,1
748,3
750,4
751,2
754,3
755,4
756,1
758,1
759,1
761,3
762,1
764,1
765,1
767,3
768,2
769,1
770,3
772,3
774,3
775,4
776,3
779,1
780,2
781,1
782,1
784,1
785,2
786,1
787,4
788,2
789,1
790,5
791,2
792,1
793,2
794,1
796,2
798,4
799,7
800,5
802,2
803,5
804,3
805,1
806,2
808,2
809,1
810,1
812,3
813,1
814,1
815,6
817,1
818,1
819,1
821,4
822,3
823,1
824,1
825,1
826,3
827,4
830,3
831,3
832,1
833,4
834,3
835,1
836,3
837,1
838,2
841,6
842,2
843,2
844,1
845,1
846,2
849,1
850,5
851,3
855,3
856,1
857,3
858,3
859,2
860,3
861,1
862,1
864,2
865,2
866,4
867,2
868,1
869,4
870,1
871,3
872,1
873,2
875,3
876,1
877,5
878,1
879,3
880,4
881,1
883,4
884,1
885,1
886,1
887,2
888,2
889,1
890,4
891,2
892,1
893,1
894,3
895,1
898,3
899,1
901,1
902,3
903,3
904,1
905,3
906,3
907,2
909,1
911,1
912,3
914,1
916,2
917,2
918,2
920,2
921,2
922,6
923,2
925,3
926,1
927,2
928,3
929,3
930,4
931,2
932,5
933,4
934,2
935,3
936,3
937,1
938,1
939,1
940,1
941,6
942,2
943,1
944,3
945,2
946,5
948,3
949,4
950,2
951,4
952,1
953,2
955,5
956,1
957,4
958,1
959,2
960,1
961,2
962,2
963,3
964,4
965,1
966,2
967,1
968,1
969,2
970,2
971,3
973,3
974,1
976,1
977,3
978,3
979,1
980,1
981,2
982,3
983,1
984,2
985,2
986,2
987,2
988,5
990,2
991,1
992,1
993,1
994,2
995,1
996,4
997,3
998,1
999,2
1000,4
1001,1
1002,3
1003,3
1004,1
1006,2
1007,2
1009,1
1011,1
1012,2
1013,2
1014,1
1015,1
1016,2
1017,1
1018,2
1019,2
1020,1
1022,2
1023,1
1024,1
1025,1
1026,1
1027,5
1028,1
1029,1
1030,2
1031,2
1032,2
1033,1
1034,2
1035,3
1036,3
1037,1
1038,2
1039,2
1040,2
1041,3
1042,3
1043,2
1044,3
1045,2
1046,3
1049,2
1050,1
1051,3
1052,3
1053,2
1054,4
1057,3
1058,1
1059,2
1060,2
1062,2
1063,3
1064,2
1065,3
1067,3
1068,3
1069,2
1070,3
1073,2
1074,4
1075,1
1076,3
1077,3
1078,3
1080,1
1081,2
1082,4
1083,5
1084,1
1085,3
1086,7
1087,2
1088,1
1090,3
1092,2
1093,1
1094,4
1095,4
1096,3
1097,2
1098,1
1099,2
1100,3
1101,3
1103,2
1105,4
1106,4
1107,3
1109,3
1110,3
1111,1
1112,3
1113,3
1114,6
1115,2
