Rank,Frequency
1,2
2,2
3,2
4,1
7,3
8,1
9,1
10,3
11,4
13,1
15,4
16,2
18,2
19,1
20,3
21,4
22,3
23,2
24,6
25,2
26,1
27,4
28,6
29,6
30,1
31,6
32,3
33,2
34,4
35,1
36,2
37,3
38,1
39,1
40,2
41,1
42,4
43,3
44,2
46,8
47,3
48,3
49,4
50,3
51,3
52,8
53,2
54,2
55,3
56,5
57,2
58,3
59,3
60,4
61,5
62,4
63,2
64,4
65,2
66,2
67,2
68,1
69,3
70,1
71,8
72,4
73,4
74,5
75,5
76,3
77,1
78,2
79,1
80,1
81,5
82,3
83,2
84,3
85,3
87,3
88,5
89,1
91,4
92,2
93,4
94,2
95,7
96,9
97,2
98,3
99,5
100,6
101,3
102,4
103,2
104,3
105,4
106,5
107,7
108,6
109,4
110,4
111,2
112,5
113,1
114,4
115,4
116,3
117,3
118,2
119,3
120,3
121,5
122,4
123,2
124,4
125,3
126,3
127,2
128,3
129,7
130,2
131,5
132,7
133,4
134,2
135,4
136,1
137,5
138,3
139,1
140,8
141,5
142,3
143,2
144,6
145,5
146,2
147,5
148,5
149,8
150,4
151,3
152,4
153,2
154,5
155,5
156,2
157,4
158,2
159,4
160,2
161,1
162,6
163,4
164,2
165,2
166,4
167,2
168,5
169,5
170,1
171,7
172,1
173,2
174,7
175,7
176,5
177,3
178,5
179,5
180,4
181,3
182,1
183,5
184,1
185,6
186,3
187,1
188,4
189,2
190,3
191,5
192,2
193,5
194,4
195,2
196,1
197,3
198,5
199,1
200,5
201,4
202,1
203,5
204,2
205,1
206,4
207,1
208,3
209,3
211,5
212,3
213,3
214,4
215,4
216,3
217,3
218,6
219,2
220,2
221,4
222,1
223,3
224,3
225,1
226,3
227,3
228,4
229,3
230,6
231,3
232,1
233,3
234,6
235,3
236,1
237,3
238,2
240,2
241,4
242,2
243,3
244,5
245,4
246,2
247,1
248,2
249,2
250,3
251,2
252,3
253,3
254,1
255,5
256,3
257,1
258,4
259,2
260,2
261,4
262,2
263,1
264,1
265,2
266,5
267,1
268,2
269,6
270,2
271,2
272,1
273,5
274,1
275,5
276,4
277,3
