Rank,Frequency
1,1
3,1
4,1
8,1
10,1
11,2
16,1
17,1
19,2
20,2
21,1
22,1
24,1
26,2
30,1
31,1
32,2
34,1
35,1
38,3
39,1
40,1
41,1
42,3
43,2
44,1
45,2
48,2
49,1
50,1
52,1
53,1
54,3
55,1
57,2
60,2
61,2
62,2
63,1
64,1
65,4
67,3
69,1
70,2
71,2
73,2
74,2
75,4
76,2
77,1
79,1
80,3
81,3
82,1
83,1
84,2
85,3
86,6
87,2
88,1
89,4
90,6
91,3
92,5
93,3
94,6
95,4
96,10
97,12
98,15
99,10
100,19
101,22
102,34
103,43
104,53
105,64
106,55
107,57
108,66
109,66
110,65
111,92
112,74
113,64
114,91
115,67
116,67
117,52
118,38
119,33
120,33
121,30
122,8
123,19
124,16
125,10
126,12
127,10
128,5
129,4
130,3
131,7
132,2
133,2
134,1
135,3
136,2
137,1
138,5
139,5
141,3
142,2
143,2
144,2
145,1
146,2
147,3
148,4
149,4
150,2
151,1
152,1
153,3
154,3
155,1
157,5
158,1
159,2
161,1
162,4
163,2
164,1
165,1
166,3
167,5
168,1
169,3
170,6
171,2
172,4
173,2
174,5
175,1
176,1
177,3
178,3
179,4
180,4
181,4
182,1
183,4
184,1
185,3
186,1
187,5
188,2
189,4
190,1
191,6
192,3
193,1
194,4
195,3
196,2
197,1
198,2
199,1
200,1
201,6
202,2
203,2
204,4
205,1
206,4
207,2
208,1
209,2
210,4
211,1
212,1
213,4
214,3
215,5
216,1
217,1
218,5
219,1
221,2
222,2
224,2
225,1
226,1
227,1
228,3
229,4
230,2
231,3
232,2
236,2
237,6
238,1
240,1
241,4
242,1
243,1
244,2
245,2
246,3
247,1
248,6
249,5
250,1
251,1
252,1
253,2
255,4
256,3
257,3
258,6
259,2
260,3
261,2
262,3
263,3
266,3
267,1
268,1
269,3
270,3
271,4
273,2
274,2
275,1
277,2
278,4
279,2
280,1
281,2
283,5
285,1
286,2
287,1
288,3
289,3
290,3
291,2
292,3
293,1
294,2
295,2
296,1
297,1
298,3
299,1
300,2
301,7
302,1
303,3
304,1
305,2
306,5
307,1
308,1
309,2
310,1
311,3
312,3
313,1
314,1
315,1
318,3
319,3
320,1
321,1
322,1
323,1
324,2
325,3
326,2
328,2
329,2
330,1
332,4
333,1
335,1
337,1
338,1
340,3
341,3
343,1
344,3
345,3
346,2
347,2
348,4
349,4
350,4
351,2
352,1
353,2
354,2
355,2
356,1
357,3
358,2
359,2
360,1
361,6
362,1
364,3
365,1
366,2
367,6
368,3
369,1
370,3
371,1
372,2
373,1
375,2
377,2
378,3
379,2
380,3
381,4
382,4
383,1
384,3
385,2
386,4
388,2
389,1
390,2
391,3
392,1
394,2
395,3
397,2
398,3
399,5
401,1
402,1
403,3
404,2
406,1
407,1
409,1
410,2
411,1
412,2
413,2
414,6
415,6
417,4
418,1
419,2
420,2
421,3
423,1
424,2
427,1
428,2
429,1
431,2
433,2
