Rank,Frequency
1,1
2,1
4,2
6,1
7,1
9,1
10,3
15,1
16,1
17,1
18,3
19,1
21,2
23,2
24,1
25,1
26,1
27,1
29,1
30,1
32,1
33,1
36,1
38,1
40,4
41,2
43,1
45,1
47,2
48,5
49,2
50,1
51,2
53,2
54,1
55,1
57,3
60,1
61,2
62,1
64,1
66,1
68,1
69,1
71,2
72,2
73,1
74,1
75,1
77,2
78,3
79,1
83,1
86,2
88,3
89,1
90,1
91,1
93,3
94,1
95,1
96,3
97,2
99,1
101,1
102,3
103,1
105,2
108,2
110,1
112,2
113,1
114,2
115,3
117,2
118,1
121,1
122,1
123,5
124,1
125,1
126,1
127,1
128,1
129,2
131,1
134,1
135,1
136,2
137,1
138,2
139,1
140,1
141,2
143,3
144,3
145,3
146,2
147,1
149,2
150,3
151,2
152,3
153,2
155,1
156,1
157,1
158,1
160,2
161,4
162,1
163,3
164,2
165,1
166,1
167,1
168,1
169,5
170,2
171,1
172,2
173,1
176,1
177,2
180,1
182,3
183,3
184,2
186,1
187,2
188,2
189,2
190,2
191,2
193,1
195,2
196,4
198,1
199,1
202,1
203,2
204,1
206,2
207,1
208,2
210,2
212,2
213,3
214,2
215,1
216,1
217,1
218,2
219,2
220,3
221,4
222,2
224,1
225,1
227,3
228,1
229,1
230,1
231,2
235,2
236,1
237,1
238,1
239,1
240,4
241,2
242,3
244,1
246,2
247,3
248,2
249,1
250,4
251,3
252,2
253,2
254,2
256,3
257,1
258,3
259,2
260,1
261,3
262,2
263,1
264,3
265,1
266,3
267,1
268,1
269,1
270,2
271,2
272,2
274,1
275,2
276,1
277,2
278,1
280,2
281,1
282,1
283,1
285,2
286,3
287,2
288,4
290,3
292,1
293,1
294,1
295,1
297,2
300,2
303,2
304,3
305,1
307,2
308,1
310,3
311,1
312,2
313,1
314,2
316,1
317,2
318,2
319,1
320,1
321,1
322,2
323,1
324,2
325,1
326,2
327,1
328,1
330,2
331,3
332,3
333,2
334,1
335,3
336,1
337,3
338,1
340,2
341,3
343,1
344,1
346,1
348,1
349,1
350,2
353,2
354,2
355,1
356,3
358,1
361,4
362,2
363,3
364,1
365,1
367,1
368,2
369,5
370,2
371,2
372,3
374,1
375,3
376,1
377,3
378,1
379,1
380,2
382,1
384,4
385,1
387,1
389,1
390,2
391,2
392,2
395,1
396,2
397,2
398,3
401,2
402,1
403,2
404,1
406,3
407,2
408,2
409,3
411,2
412,2
413,1
414,1
415,1
416,1
417,1
418,3
419,1
420,1
421,4
422,1
423,1
425,1
426,4
427,4
430,4
431,3
432,2
433,2
434,1
435,2
436,2
437,2
438,2
439,3
441,3
442,1
443,2
444,2
446,3
447,1
448,2
449,2
450,1
452,1
455,4
456,1
458,1
459,4
463,2
465,3
467,1
468,2
469,2
470,1
471,2
472,1
474,1
476,1
477,2
478,1
479,2
480,1
481,1
482,1
483,3
484,2
485,4
486,1
487,1
491,2
492,1
493,1
494,1
496,2
498,1
499,2
500,1
501,1
502,1
504,1
505,1
507,1
508,1
510,1
511,3
512,2
514,2
515,1
517,2
518,1
519,1
520,1
521,1
522,2
523,1
524,2
525,1
527,1
529,1
530,1
531,1
533,1
535,2
536,2
538,1
539,1
540,1
541,2
542,3
544,1
545,1
546,2
547,1
548,1
551,2
552,3
554,2
556,1
557,3
558,1
559,1
560,1
562,4
563,1
565,2
567,2
569,1
572,1
573,2
574,1
575,2
576,1
577,2
579,2
580,3
581,1
583,3
584,2
585,2
586,1
587,1
589,1
590,1
592,2
593,2
596,2
597,3
598,3
599,1
600,2
601,2
602,2
604,1
605,1
607,1
608,1
609,1
610,1
611,5
612,3
613,2
614,1
615,4
616,3
617,1
619,5
620,3
621,3
622,4
625,1
626,1
627,3
628,1
629,3
630,2
633,5
635,6
636,4
637,1
639,1
640,3
641,1
642,4
643,1
644,2
646,1
647,2
648,1
649,1
650,2
651,3
652,3
653,4
654,1
655,1
657,1
658,1
659,1
661,3
662,1
663,2
664,1
665,2
666,4
667,4
668,1
669,3
670,1
671,2
673,2
674,1
675,3
676,3
678,1
679,5
680,1
681,1
682,1
683,1
684,1
685,4
687,1
689,1
690,1
691,2
693,1
694,2
695,1
696,2
697,3
698,2
699,1
702,1
705,1
706,1
707,2
710,1
711,1
712,1
713,3
714,3
715,1
717,1
720,2
721,2
722,4
723,2
724,1
725,2
726,1
727,2
728,3
729,1
730,3
731,1
732,2
733,1
734,1
736,3
737,2
739,2
740,2
741,2
742,2
743,3
744,1
745,1
746,6
747,2
749,2
752,2
753,2
754,1
755,2
756,3
757,1
758,2
759,1
760,2
763,1
764,2
765,2
766,3
767,4
768,3
769,1
771,1
773,1
774,3
775,2
776,1
777,4
778,1
779,2
781,4
783,3
784,2
785,2
786,2
789,1
790,1
791,1
792,1
793,2
794,2
795,1
796,2
