Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,347,856
Aaron_Sorkin_,319,800
Abdel_Nasser_Assidi_,684,1321
Abdoulaye_Wade_,117,327
Abdullah_,97,272
Abdullah_Gul_,102,285
Abdullah_al-Attiyah_,1336,1660
Abdullatif_Sener_,70,201
Abel_Pacheco_,713,1346
Abid_Hamid_Mahmud_Al-Tikriti_,1,1
Adam_Sandler_,503,1108
Adam_Scott_,1490,1678
Adel_Al-Jubeir_,809,1432
Adolfo_Aguilar_Zinser_,776,1402
Adolfo_Rodriguez_Saa_,81,230
Adrian_McPherson_,106,297
Adrian_Nastase_,237,631
Adrien_Brody_,749,1378
Ahmad_Masood_,817,1439
Ahmed_Chalabi_,5,13
Ahmet_Necdet_Sezer_,425,994
Ai_Sugiyama_,615,1241
Aicha_El_Ouafi_,926,1520
Aitor_Gonzalez_,218,588
Akbar_Hashemi_Rafsanjani_,2,4
Akhmed_Zakayev_,342,846
Al_Davis_,62,179
Al_Gore_,586,1207
Al_Pacino_,1153,1623
Al_Sharpton_,765,1392
Alan_Ball_,443,1018
Alan_Greenspan_,1326,1659
Alan_Mulally_,513,1116
Alastair_Campbell_,233,624
Albert_Costa_,1141,1620
Alberto_Fujimori_,632,1258
Alberto_Ruiz_Gallardon_,3,7
Albrecht_Mentz_,522,1129
Aldo_Paredes_,352,867
Alec_Baldwin_,77,219
Alejandro_Atchugarry_,643,1278
Alejandro_Avila_,232,622
Alejandro_Toledo_,147,407
Aleksander_Kwasniewski_,1191,1634
Alex_Barros_,367,892
Alex_Penelas_,319,801
Alex_Sink_,505,1110
Alexander_Downer_,171,474
Alexander_Losyukov_,35,103
Alexander_Rumyantsev_,299,760
Alexandra_Stevenson_,276,715
Alexandra_Vodjanikova_,835,1456
Ali_Abbas_,380,912
Ali_Khamenei_,725,1359
Ali_Naimi_,431,1003
Alice_Fisher_,241,637
Alicia_Silverstone_,933,1522
Alimzhan_Tokhtakhounov_,4,10
Alison_Lohman_,481,1073
Allen_Iverson_,551,1166
Allison_Janney_,991,1543
Allyson_Felix_,379,910
Alvaro_Noboa_,406,959
Alvaro_Silva_Calderon_,829,1451
Alvaro_Uribe_,516,1121
Amanda_Beard_,5,14
Amanda_Bynes_,54,157
Amanda_Coetzer_,6,16
Amber_Tamblyn_,799,1423
Amelia_Vega_,501,1103
Amelie_Mauresmo_,313,785
Amer_al-Saadi_,466,1049
Amram_Mitzna_,73,209
Ana_Guevara_,1431,1671
Ana_Palacio_,262,685
Anastasia_Myskina_,883,1494
Anders_Ebbeson_,899,1504
Anders_Fogh_Rasmussen_,357,874
Andre_Agassi_,420,986
Andrei_Mikhnevich_,14,40
Andrew_Bunner_,163,452
Andrew_Cuomo_,173,479
Andrew_Niccol_,780,1406
Andrew_Weissmann_,238,633
Andy_Hebb_,387,926
Andy_Roddick_,853,1473
Angela_Bassett_,760,1387
Angela_Lansbury_,24,70
Angela_Merkel_,45,132
Angelina_Jolie_,374,902
Angelo_Reyes_,410,966
Anibal_Ibarra_,699,1336
Ann_Veneman_,210,568
Anna_Kournikova_,478,1067
Anna_Nicole_Smith_,372,898
Anne_Krueger_,469,1053
