Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,2892,1125
Aaron_Sorkin_,2120,555
Abdel_Nasser_Assidi_,3092,1250
Abdoulaye_Wade_,2483,818
Abdullah_,2020,483
Abdullah_Gul_,1483,180
Abdullatif_Sener_,2550,873
Abel_Pacheco_,1455,164
Abid_Hamid_Mahmud_Al-Tikriti_,4269,1656
Adam_Sandler_,3554,1493
Adam_Scott_,1444,158
Adel_Al-Jubeir_,2270,664
Adolfo_Aguilar_Zinser_,2376,729
Adolfo_Rodriguez_Saa_,2459,790
Adrian_McPherson_,3905,1598
Adrian_Nastase_,2661,957
Adrien_Brody_,1842,367
Ahmad_Masood_,2765,1030
Ahmed_Chalabi_,1994,466
Ahmet_Necdet_Sezer_,1126,66
Ai_Sugiyama_,2749,1018
Aicha_El_Ouafi_,2369,723
Aitor_Gonzalez_,3087,1244
Akbar_Hashemi_Rafsanjani_,1847,373
Akhmed_Zakayev_,1690,266
Al_Davis_,3427,1435
Al_Gore_,3171,1295
Al_Pacino_,2913,1145
Al_Sharpton_,2617,922
Alan_Ball_,1991,462
Alan_Greenspan_,3369,1408
Alan_Mulally_,3311,1369
Alastair_Campbell_,688,16
Albert_Costa_,2359,719
Alberto_Fujimori_,3048,1221
Alberto_Ruiz_Gallardon_,2581,903
Albrecht_Mentz_,3841,1583
Aldo_Paredes_,1755,301
Alec_Baldwin_,2492,829
Alejandro_Atchugarry_,2573,892
Alejandro_Avila_,4058,1633
Alejandro_Toledo_,1374,132
Aleksander_Kwasniewski_,3332,1383
Alex_Barros_,1257,102
Alex_Penelas_,3197,1312
Alex_Sink_,2994,1189
Alexander_Downer_,1478,175
Alexander_Losyukov_,2391,738
Alexander_Rumyantsev_,1635,230
Alexandra_Stevenson_,1708,278
Alexandra_Vodjanikova_,3942,1611
Ali_Abbas_,2820,1072
Ali_Khamenei_,2390,736
Ali_Naimi_,2664,959
Alice_Fisher_,2576,895
Alicia_Silverstone_,2609,918
Alimzhan_Tokhtakhounov_,2549,872
Alison_Lohman_,1856,379
Allen_Iverson_,2834,1084
Allison_Janney_,2578,897
Allyson_Felix_,3222,1326
Alvaro_Noboa_,2223,628
Alvaro_Silva_Calderon_,2621,925
Alvaro_Uribe_,1895,411
Amanda_Beard_,1504,188
Amanda_Bynes_,2253,650
Amanda_Coetzer_,2942,1160
Amber_Tamblyn_,2318,697
Amelia_Vega_,2766,1031
Amelie_Mauresmo_,3424,1433
Amer_al-Saadi_,1486,181
Amram_Mitzna_,1528,194
Ana_Guevara_,4305,1662
Ana_Palacio_,1790,327
Anastasia_Myskina_,3857,1588
Anders_Ebbeson_,1941,435
Anders_Fogh_Rasmussen_,3367,1404
Andre_Agassi_,2482,816
Andrei_Mikhnevich_,3179,1303
Andrew_Bunner_,1351,128
Andrew_Cuomo_,1843,371
Andrew_Niccol_,1516,190
Andrew_Weissmann_,3325,1379
Andy_Hebb_,2413,757
Andy_Roddick_,3282,1356
Angela_Bassett_,3764,1562
Angela_Lansbury_,2785,1046
Angela_Merkel_,3065,1233
Angelina_Jolie_,1482,179
Angelo_Reyes_,3655,1523
Anibal_Ibarra_,2210,618
Ann_Veneman_,1140,70
