Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,2981,1144
Aaron_Sorkin_,2301,690
Abdel_Nasser_Assidi_,4063,1610
Abdoulaye_Wade_,4054,1609
Abdullah_,2868,1062
Abdullah_Gul_,2522,839
Abdullah_al-Attiyah_,3347,1372
Abdullatif_Sener_,2004,487
Abid_Hamid_Mahmud_Al-Tikriti_,3400,1402
Adam_Sandler_,1582,255
Adam_Scott_,2610,888
Adel_Al-Jubeir_,3926,1584
Adolfo_Aguilar_Zinser_,3137,1251
Adolfo_Rodriguez_Saa_,4260,1648
Adrian_McPherson_,4027,1604
Adrian_Nastase_,2955,1123
Adrien_Brody_,2708,951
Ahmad_Masood_,3624,1503
Ahmed_Chalabi_,2530,842
Ahmet_Necdet_Sezer_,1149,118
Ai_Sugiyama_,3068,1201
Aicha_El_Ouafi_,3094,1223
Aitor_Gonzalez_,4484,1668
Akbar_Hashemi_Rafsanjani_,1855,387
Akhmed_Zakayev_,2481,811
Al_Davis_,2775,1005
Al_Gore_,3509,1451
Al_Pacino_,1921,434
Al_Sharpton_,2867,1060
Alan_Ball_,2203,621
Alan_Greenspan_,4379,1658
Alan_Mulally_,1946,455
Alastair_Campbell_,1912,429
Albert_Costa_,4373,1656
Alberto_Fujimori_,2348,728
Alberto_Ruiz_Gallardon_,2336,717
Albrecht_Mentz_,1475,205
Aldo_Paredes_,3399,1400
Alec_Baldwin_,3426,1412
Alejandro_Atchugarry_,3178,1276
Alejandro_Avila_,3376,1388
Alejandro_Toledo_,2006,488
Aleksander_Kwasniewski_,3032,1175
Alex_Barros_,2358,737
Alex_Penelas_,1736,318
Alex_Sink_,3353,1375
Alexander_Downer_,2214,626
Alexander_Losyukov_,3185,1281
Alexander_Rumyantsev_,1774,341
Alexandra_Stevenson_,2837,1044
Alexandra_Vodjanikova_,4480,1667
Ali_Abbas_,1392,178
Ali_Khamenei_,3157,1262
Ali_Naimi_,1999,482
Alice_Fisher_,3684,1527
Alicia_Silverstone_,2054,522
Alimzhan_Tokhtakhounov_,880,56
Alison_Lohman_,1710,310
Allen_Iverson_,1874,400
Allison_Janney_,3122,1242
Allyson_Felix_,2760,991
Alvaro_Noboa_,1066,89
Alvaro_Silva_Calderon_,3555,1479
Alvaro_Uribe_,2027,499
Amanda_Beard_,2246,650
Amanda_Bynes_,1608,266
Amanda_Coetzer_,4387,1660
Amber_Tamblyn_,1629,282
Amelia_Vega_,1560,242
Amelie_Mauresmo_,2806,1024
Amer_al-Saadi_,1923,436
Amram_Mitzna_,2089,551
Ana_Guevara_,2604,886
Ana_Palacio_,2466,805
Anastasia_Myskina_,3628,1505
Anders_Ebbeson_,4161,1633
Anders_Fogh_Rasmussen_,1465,200
Andre_Agassi_,2840,1046
Andrei_Mikhnevich_,3566,1487
Andrew_Bunner_,2329,711
Andrew_Cuomo_,1835,376
Andrew_Niccol_,1760,331
Andrew_Weissmann_,2429,781
Andy_Hebb_,958,67
Andy_Roddick_,2567,860
Angela_Bassett_,3174,1272
Angela_Lansbury_,929,63
Angela_Merkel_,2056,524
Angelina_Jolie_,2619,895
Angelo_Reyes_,1274,140
Anibal_Ibarra_,2618,894
