Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.91609,1020
Aaron_Sorkin_,0.835288,752
Abdel_Nasser_Assidi_,0.871999,879
Abdoulaye_Wade_,0.652619,235
Abdullah_,0.696168,349
Abdullah_Gul_,0.572849,95
Abdullah_al-Attiyah_,1.07532,1470
Abdullatif_Sener_,0.685422,327
Abel_Pacheco_,1.09901,1512
Abid_Hamid_Mahmud_Al-Tikriti_,0.721264,418
Adam_Sandler_,0.761874,525
Adam_Scott_,0.889035,925
Adel_Al-Jubeir_,0.779033,586
Adolfo_Aguilar_Zinser_,1.08894,1492
Adrian_McPherson_,1.34277,1671
Adrian_Nastase_,0.676452,298
Adrien_Brody_,0.513528,39
Ahmad_Masood_,0.672739,285
Ahmed_Chalabi_,0.834631,749
Ahmet_Necdet_Sezer_,0.986495,1249
Ai_Sugiyama_,0.902235,973
Aicha_El_Ouafi_,0.701686,368
Aitor_Gonzalez_,0.811094,675
Akbar_Hashemi_Rafsanjani_,0.653153,237
Akhmed_Zakayev_,0.819975,693
Al_Davis_,1.11455,1536
Al_Gore_,1.12781,1549
Al_Pacino_,0.851908,810
Al_Sharpton_,0.618442,167
Alan_Ball_,0.959823,1178
Alan_Greenspan_,0.901831,970
Alan_Mulally_,0.928113,1065
Alastair_Campbell_,0.645767,218
Albert_Costa_,0.761655,523
Alberto_Fujimori_,0.918404,1036
Alberto_Ruiz_Gallardon_,0.559686,75
Albrecht_Mentz_,1.0942,1502
Aldo_Paredes_,0.722083,420
Alec_Baldwin_,0.679369,311
Alejandro_Atchugarry_,0.680135,315
Alejandro_Avila_,0.792708,626
Alejandro_Toledo_,0.720919,417
Aleksander_Kwasniewski_,0.837932,764
Alex_Barros_,0.415883,4
Alex_Penelas_,0.837379,761
Alex_Sink_,0.992553,1266
Alexander_Downer_,0.456354,10
Alexander_Losyukov_,0.598832,131
Alexander_Rumyantsev_,0.862749,842
Alexandra_Stevenson_,1.01952,1347
Alexandra_Vodjanikova_,0.551086,68
Ali_Abbas_,1.02794,1369
Ali_Khamenei_,0.898074,958
Ali_Naimi_,0.617813,164
Alice_Fisher_,0.651765,232
Alicia_Silverstone_,1.00588,1303
Alimzhan_Tokhtakhounov_,0.946556,1119
Alison_Lohman_,0.595696,126
Allen_Iverson_,0.956667,1160
Allison_Janney_,0.787256,613
Allyson_Felix_,0.955846,1155
Alvaro_Noboa_,0.840032,776
Alvaro_Silva_Calderon_,0.516136,43
Alvaro_Uribe_,0.863142,845
Amanda_Beard_,1.16972,1594
Amanda_Bynes_,0.852013,811
Amanda_Coetzer_,0.97814,1229
Amber_Tamblyn_,0.953676,1144
Amelia_Vega_,0.501324,32
Amelie_Mauresmo_,1.03397,1378
Amer_al-Saadi_,0.470982,18
Amram_Mitzna_,1.0421,1396
Ana_Guevara_,0.836172,754
Ana_Palacio_,0.763257,527
Anastasia_Myskina_,0.836942,758
Anders_Ebbeson_,0.633166,186
Anders_Fogh_Rasmussen_,0.658082,256
Andre_Agassi_,1.18056,1604
Andrei_Mikhnevich_,1.11498,1537
Andrew_Bunner_,0.965099,1194
Andrew_Cuomo_,0.937877,1095
Andrew_Niccol_,1.00768,1309
