Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,94.6264,106
Aaron_Sorkin_,134.506,1083
Abdel_Nasser_Assidi_,173.093,1643
Abdoulaye_Wade_,196.952,1680
Abdullah_,139.144,1211
Abdullah_Gul_,128.544,903
Abdullah_al-Attiyah_,145.215,1351
Abdullatif_Sener_,124.889,763
Abel_Pacheco_,135.931,1129
Abid_Hamid_Mahmud_Al-Tikriti_,177.241,1658
Adam_Sandler_,115.316,493
Adam_Scott_,145.656,1361
Adel_Al-Jubeir_,135.189,1107
Adolfo_Aguilar_Zinser_,150.116,1455
Adolfo_Rodriguez_Saa_,90.6298,73
Adrian_McPherson_,196.336,1679
Adrian_Nastase_,141.581,1277
Adrien_Brody_,110.846,371
Ahmad_Masood_,149.204,1436
Ahmed_Chalabi_,111.111,377
Ahmet_Necdet_Sezer_,129.492,939
Ai_Sugiyama_,135.281,1110
Aicha_El_Ouafi_,130.817,979
Aitor_Gonzalez_,174.418,1648
Akbar_Hashemi_Rafsanjani_,103.622,230
Akhmed_Zakayev_,128.863,913
Al_Davis_,140.237,1247
Al_Gore_,100.135,177
Al_Pacino_,136.662,1147
Al_Sharpton_,144.205,1334
Alan_Ball_,123.628,723
Alan_Greenspan_,147.624,1410
Alan_Mulally_,128.889,914
Alastair_Campbell_,131.561,996
Albert_Costa_,168.829,1626
Alberto_Fujimori_,136.581,1143
Alberto_Ruiz_Gallardon_,106.334,282
Albrecht_Mentz_,117.709,560
Aldo_Paredes_,113.561,436
Alec_Baldwin_,136.298,1136
Alejandro_Atchugarry_,120.518,630
Alejandro_Avila_,148.384,1425
Alejandro_Toledo_,130.851,982
Aleksander_Kwasniewski_,101.145,196
Alex_Barros_,109.328,339
Alex_Penelas_,106.863,293
Alex_Sink_,149.209,1437
Alexander_Downer_,98.3937,155
Alexander_Losyukov_,122.978,701
Alexander_Rumyantsev_,112.086,396
Alexandra_Stevenson_,160.337,1582
Alexandra_Vodjanikova_,154.621,1518
Ali_Abbas_,109.492,344
Ali_Khamenei_,138.274,1191
Ali_Naimi_,115.116,485
Alice_Fisher_,139.622,1222
Alicia_Silverstone_,159.527,1574
Alimzhan_Tokhtakhounov_,117.481,554
Alison_Lohman_,106.482,287
Allen_Iverson_,151.968,1489
Allison_Janney_,131.462,993
Allyson_Felix_,155.039,1525
Alvaro_Noboa_,111.107,376
Alvaro_Silva_Calderon_,126.853,828
Alvaro_Uribe_,137.396,1164
Amanda_Beard_,116.528,522
Amanda_Bynes_,117.309,545
Amanda_Coetzer_,140.548,1253
Amber_Tamblyn_,131.554,995
Amelia_Vega_,104.668,244
Amelie_Mauresmo_,113.494,435
Amer_al-Saadi_,98.958,161
Amram_Mitzna_,126.983,832
Ana_Guevara_,177.766,1661
Ana_Palacio_,63.4424,4
Anastasia_Myskina_,121.909,670
Anders_Ebbeson_,162.862,1595
Anders_Fogh_Rasmussen_,129.816,951
Andre_Agassi_,124.818,760
Andrei_Mikhnevich_,144.307,1335
Andrew_Bunner_,121.121,647
Andrew_Cuomo_,98.618,158
Andrew_Niccol_,100.555,187
Andrew_Weissmann_,160.897,1586
Andy_Hebb_,81.6722,31
