Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.278,552
Aaron_Sorkin_,117.381,555
Abdel_Nasser_Assidi_,173.088,1649
Abdoulaye_Wade_,177.812,1663
Abdullah_,139.139,1206
Abdullah_Gul_,106.018,292
Abdullah_al-Attiyah_,139.399,1213
Abdullatif_Sener_,131.025,971
Abel_Pacheco_,135.924,1122
Abid_Hamid_Mahmud_Al-Tikriti_,177.239,1661
Adam_Sandler_,115.314,495
Adam_Scott_,160.235,1581
Adel_Al-Jubeir_,148.604,1417
Adolfo_Aguilar_Zinser_,135.517,1108
Adolfo_Rodriguez_Saa_,139.611,1219
Adrian_McPherson_,196.331,1680
Adrian_Nastase_,136.946,1145
Adrien_Brody_,110.821,387
Ahmad_Masood_,126.409,807
Ahmed_Chalabi_,110.729,384
Ahmet_Necdet_Sezer_,135.097,1091
Ai_Sugiyama_,135.277,1098
Aicha_El_Ouafi_,151.224,1459
Aitor_Gonzalez_,174.413,1654
Akbar_Hashemi_Rafsanjani_,103.612,240
Akhmed_Zakayev_,128.848,895
Al_Davis_,149.336,1428
Al_Gore_,139.249,1209
Al_Pacino_,136.661,1139
Al_Sharpton_,144.192,1337
Alan_Ball_,123.337,704
Alan_Greenspan_,139.923,1228
Alan_Mulally_,110.242,379
Alastair_Campbell_,129.303,911
Albert_Costa_,168.738,1636
Alberto_Fujimori_,127.427,848
Alberto_Ruiz_Gallardon_,106.295,299
Albrecht_Mentz_,128.809,892
Aldo_Paredes_,113.549,453
Alec_Baldwin_,136.269,1128
Alejandro_Atchugarry_,120.511,640
Alejandro_Avila_,160.749,1582
Alejandro_Toledo_,130.82,963
Aleksander_Kwasniewski_,138.491,1187
Alex_Barros_,109.288,355
Alex_Penelas_,106.848,309
Alex_Sink_,118.589,583
Alexander_Downer_,105.969,290
Alexander_Losyukov_,112.943,437
Alexander_Rumyantsev_,112.065,414
Alexandra_Stevenson_,103.032,227
Alexandra_Vodjanikova_,154.616,1517
Ali_Abbas_,109.479,364
Ali_Khamenei_,138.253,1179
Ali_Naimi_,112.325,421
Alice_Fisher_,141.141,1268
Alicia_Silverstone_,129.923,935
Alimzhan_Tokhtakhounov_,129.612,923
Alison_Lohman_,114.431,474
Allen_Iverson_,142.214,1290
Allison_Janney_,129.509,919
Allyson_Felix_,173.749,1651
Alvaro_Noboa_,111.081,392
Alvaro_Silva_Calderon_,126.808,826
Alvaro_Uribe_,115.845,514
Amanda_Beard_,116.515,530
Amanda_Bynes_,111.828,409
Amanda_Coetzer_,140.538,1247
Amber_Tamblyn_,109.007,350
Amelia_Vega_,104.659,256
Amelie_Mauresmo_,145.085,1347
Amer_al-Saadi_,114.069,467
Amram_Mitzna_,126.97,831
Ana_Guevara_,177.763,1662
Ana_Palacio_,101.282,205
Anastasia_Myskina_,121.895,671
Anders_Ebbeson_,162.857,1598
Anders_Fogh_Rasmussen_,166.941,1626
Andre_Agassi_,124.804,757
Andrei_Mikhnevich_,132.03,1006
Andrew_Bunner_,111.799,407
Andrew_Cuomo_,98.6025,157
Andrew_Niccol_,128.96,898
Andrew_Weissmann_,160.89,1585
Andy_Hebb_,110.04,375
Andy_Roddick_,131.037,973
