Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,66235.7,82
Aaron_Sorkin_,141358,1412
Abdel_Nasser_Assidi_,0,1
Abdoulaye_Wade_,92530,213
Abdullah_,115837,740
Abdullah_Gul_,122826,934
Abdullah_al-Attiyah_,99232,327
Abdullatif_Sener_,112965,671
Abel_Pacheco_,167402,1650
Abid_Hamid_Mahmud_Al-Tikriti_,109333,571
Adam_Sandler_,126318,1045
Adam_Scott_,145550,1482
Adel_Al-Jubeir_,116053,748
Adolfo_Aguilar_Zinser_,132497,1209
Adolfo_Rodriguez_Saa_,0,2
Adrian_McPherson_,134241,1245
Adrian_Nastase_,135152,1267
Adrien_Brody_,143474,1446
Ahmad_Masood_,80428.5,114
Ahmed_Chalabi_,146757,1500
Ahmet_Necdet_Sezer_,133265,1229
Ai_Sugiyama_,144763,1469
Aicha_El_Ouafi_,107852,525
Aitor_Gonzalez_,0,3
Akbar_Hashemi_Rafsanjani_,108670,552
Akhmed_Zakayev_,94028.3,238
Al_Davis_,109131,564
Al_Gore_,102462,397
Al_Pacino_,90426,188
Al_Sharpton_,126139,1038
Alan_Ball_,119502,840
Alan_Greenspan_,82692,131
Alan_Mulally_,107671,517
Albert_Costa_,96908.5,278
Alberto_Fujimori_,137742,1335
Alberto_Ruiz_Gallardon_,145958,1490
Albrecht_Mentz_,0,4
Aldo_Paredes_,128438,1101
Alec_Baldwin_,113233,677
Alejandro_Atchugarry_,174964,1667
Alejandro_Avila_,98203,310
Alejandro_Toledo_,116861,771
Aleksander_Kwasniewski_,98086,308
Alex_Barros_,141873,1419
Alex_Penelas_,113620,681
Alex_Sink_,109352,572
Alexander_Downer_,91275.5,198
Alexander_Losyukov_,131677,1189
Alexander_Rumyantsev_,129604,1129
Alexandra_Stevenson_,101544,381
Alexandra_Vodjanikova_,116907,773
Ali_Abbas_,82552,128
Ali_Khamenei_,86646,157
Ali_Naimi_,99369.8,330
Alice_Fisher_,0,5
Alicia_Silverstone_,106803,497
Alimzhan_Tokhtakhounov_,116501,763
Alison_Lohman_,121017,883
Allen_Iverson_,145113,1476
Allison_Janney_,128472,1103
Allyson_Felix_,161504,1620
Alvaro_Noboa_,136787,1313
Alvaro_Silva_Calderon_,179602,1671
Alvaro_Uribe_,146727,1499
Amanda_Beard_,101069,368
Amanda_Bynes_,128148,1093
Amanda_Coetzer_,108812,556
Amber_Tamblyn_,120297,859
Amelia_Vega_,103314,419
Amelie_Mauresmo_,93073,220
Amer_al-Saadi_,136636,1309
Amram_Mitzna_,98374.6,313
Ana_Guevara_,115068,718
Ana_Palacio_,101115,370
Anastasia_Myskina_,79254.5,107
Anders_Ebbeson_,155293,1582
Anders_Fogh_Rasmussen_,97818,302
Andre_Agassi_,90677.2,191
Andrei_Mikhnevich_,134854,1258
Andrew_Bunner_,85953,148
Andrew_Cuomo_,102504,403
Andrew_Niccol_,103019,410
Andrew_Weissmann_,130511,1160
Andy_Hebb_,119409,838
Andy_Roddick_,135315,1272
Angela_Bassett_,141268,1410
Angela_Lansbury_,144006,1457
Angela_Merkel_,141521,1415
Angelina_Jolie_,108368,539
Angelo_Reyes_,124756,991
