Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.941,985
Aaron_Sorkin_,134.505,1055
Abdel_Nasser_Assidi_,173.093,1646
Abdoulaye_Wade_,177.82,1662
Abdullah_,139.145,1188
Abdullah_Gul_,106.036,283
Abdullah_al-Attiyah_,139.411,1195
Abdullatif_Sener_,131.043,958
Abel_Pacheco_,135.932,1109
Abid_Hamid_Mahmud_Al-Tikriti_,116.791,511
Adam_Sandler_,115.316,470
Adam_Scott_,160.238,1580
Adel_Al-Jubeir_,148.606,1406
Adolfo_Aguilar_Zinser_,84.6476,41
Adolfo_Rodriguez_Saa_,90.6359,79
Adrian_McPherson_,155.087,1517
Adrian_Nastase_,136.949,1135
Adrien_Brody_,124.423,731
Ahmad_Masood_,149.203,1415
Ahmed_Chalabi_,111.113,373
Ahmet_Necdet_Sezer_,135.111,1078
Ai_Sugiyama_,135.282,1086
Aicha_El_Ouafi_,151.237,1457
Aitor_Gonzalez_,170.292,1638
Akbar_Hashemi_Rafsanjani_,103.629,242
Akhmed_Zakayev_,128.863,887
Al_Davis_,140.235,1217
Al_Gore_,139.253,1189
Al_Pacino_,136.664,1129
Al_Sharpton_,144.204,1321
Alan_Ball_,123.362,694
Alan_Greenspan_,139.93,1206
Alan_Mulally_,128.888,889
Alastair_Campbell_,129.327,909
Albert_Costa_,168.745,1630
Alberto_Fujimori_,127.444,830
Alberto_Ruiz_Gallardon_,106.333,289
Albrecht_Mentz_,128.811,883
Aldo_Paredes_,113.56,425
Alec_Baldwin_,136.301,1117
Alejandro_Atchugarry_,120.356,613
Alejandro_Avila_,144.161,1317
Alejandro_Toledo_,130.85,951
Aleksander_Kwasniewski_,138.499,1173
Alex_Barros_,146.782,1365
Alex_Penelas_,106.862,303
Alex_Sink_,138.3,1166
Alexander_Downer_,98.3938,166
Alexander_Losyukov_,112.958,414
Alexander_Rumyantsev_,105.984,280
Alexandra_Stevenson_,160.334,1581
Alexandra_Vodjanikova_,154.622,1513
Ali_Abbas_,109.491,351
Ali_Khamenei_,122.192,657
Ali_Naimi_,112.344,397
Alice_Fisher_,141.153,1247
Alicia_Silverstone_,129.937,929
Alimzhan_Tokhtakhounov_,117.479,534
Alison_Lohman_,114.446,447
Allen_Iverson_,151.969,1468
Allison_Janney_,131.46,970
Allyson_Felix_,155.036,1516
Alvaro_Noboa_,111.104,372
Alvaro_Silva_Calderon_,131.957,986
Alvaro_Uribe_,99.7944,186
Amanda_Beard_,112.823,411
Amanda_Bynes_,87.5335,56
Amanda_Coetzer_,140.548,1228
Amber_Tamblyn_,109.013,341
Amelia_Vega_,104.668,254
Amelie_Mauresmo_,123.655,701
Amer_al-Saadi_,114.086,441
Amram_Mitzna_,126.983,810
Ana_Guevara_,177.765,1661
Ana_Palacio_,101.302,209
Anastasia_Myskina_,156.077,1532
Anders_Ebbeson_,162.861,1596
Anders_Fogh_Rasmussen_,166.948,1618
Andre_Agassi_,124.818,743
Andrei_Mikhnevich_,144.307,1323
Andrew_Bunner_,121.119,635
Andrew_Cuomo_,98.619,169
Andrew_Niccol_,128.977,891
Andrew_Weissmann_,160.897,1584
Andy_Hebb_,110.055,360
