Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,30,88
Aaron_Sorkin_,328,801
Abdel_Nasser_Assidi_,1,1
Abdoulaye_Wade_,711,1351
Abdullah_,995,1581
Abdullah_Gul_,284,704
Abdullah_al-Attiyah_,588,1206
Abdullatif_Sener_,429,980
Abel_Pacheco_,681,1317
Abid_Hamid_Mahmud_Al-Tikriti_,538,1140
Adam_Sandler_,497,1087
Adam_Scott_,2,4
Adel_Al-Jubeir_,342,827
Adolfo_Aguilar_Zinser_,34,100
Adolfo_Rodriguez_Saa_,3,7
Adrian_McPherson_,37,109
Adrian_Nastase_,782,1428
Adrien_Brody_,747,1395
Ahmad_Masood_,815,1459
Ahmed_Chalabi_,396,923
Ahmet_Necdet_Sezer_,163,449
Ai_Sugiyama_,799,1443
Aicha_El_Ouafi_,97,284
Aitor_Gonzalez_,1332,1669
Akbar_Hashemi_Rafsanjani_,235,609
Akhmed_Zakayev_,97,285
Al_Davis_,306,756
Al_Gore_,118,338
Al_Pacino_,202,537
Al_Sharpton_,1021,1590
Alan_Ball_,179,484
Alan_Greenspan_,924,1545
Alan_Mulally_,242,625
Alastair_Campbell_,168,458
Albert_Costa_,495,1083
Alberto_Fujimori_,555,1166
Alberto_Ruiz_Gallardon_,4,10
Albrecht_Mentz_,183,496
Aldo_Paredes_,741,1386
Alec_Baldwin_,183,497
Alejandro_Atchugarry_,472,1044
Alejandro_Avila_,898,1522
Alejandro_Toledo_,920,1540
Aleksander_Kwasniewski_,143,401
Alex_Barros_,266,673
Alex_Penelas_,303,750
Alex_Sink_,437,987
Alexander_Downer_,159,439
Alexander_Losyukov_,136,384
Alexander_Rumyantsev_,282,701
Alexandra_Stevenson_,446,1001
Alexandra_Vodjanikova_,1120,1622
Ali_Abbas_,359,861
Ali_Khamenei_,205,544
Ali_Naimi_,144,403
Alice_Fisher_,5,13
Alicia_Silverstone_,701,1343
Alimzhan_Tokhtakhounov_,6,16
Alison_Lohman_,477,1054
Allen_Iverson_,350,843
Allison_Janney_,534,1135
Allyson_Felix_,925,1546
Alvaro_Noboa_,395,921
Alvaro_Silva_Calderon_,300,741
Alvaro_Uribe_,513,1110
Amanda_Beard_,125,356
Amanda_Bynes_,47,139
Amanda_Coetzer_,705,1346
Amber_Tamblyn_,782,1429
Amelia_Vega_,540,1144
Amelie_Mauresmo_,127,361
Amer_al-Saadi_,596,1217
Amram_Mitzna_,15,43
Ana_Guevara_,635,1262
Ana_Palacio_,196,526
Anastasia_Myskina_,459,1024
Anders_Ebbeson_,118,339
Anders_Fogh_Rasmussen_,994,1580
Andre_Agassi_,27,79
Andrei_Mikhnevich_,124,354
Andrew_Bunner_,307,759
Andrew_Cuomo_,162,446
Andrew_Niccol_,2,5
Andrew_Weissmann_,1012,1588
Andy_Hebb_,57,169
Andy_Roddick_,988,1574
Angela_Bassett_,551,1158
Angela_Lansbury_,259,660
Angela_Merkel_,37,110
Angelina_Jolie_,445,999
Angelo_Reyes_,905,1528
Anibal_Ibarra_,522,1120
Ann_Veneman_,123,352
Anna_Kournikova_,1203,1644
Anna_Nicole_Smith_,482,1060
Anne_Krueger_,574,1191
Anne_McLellan_,262,665
