Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,128056,992
Aaron_Sorkin_,108131,418
Abdel_Nasser_Assidi_,115207,597
Abdoulaye_Wade_,123259,842
Abdullah_,123503,850
Abdullah_Gul_,96271,229
Abdullah_al-Attiyah_,116481,642
Abdullatif_Sener_,138732,1287
Abel_Pacheco_,143087,1388
Abid_Hamid_Mahmud_Al-Tikriti_,147185,1474
Adam_Sandler_,158735,1621
Adam_Scott_,98873,254
Adel_Al-Jubeir_,130993,1076
Adolfo_Aguilar_Zinser_,134595,1193
Adolfo_Rodriguez_Saa_,128949,1014
Adrian_McPherson_,127893,986
Adrian_Nastase_,126645,945
Adrien_Brody_,87974.5,165
Ahmad_Masood_,136549,1233
Ahmed_Chalabi_,136752,1240
Ahmet_Necdet_Sezer_,119908,742
Ai_Sugiyama_,104808,351
Aicha_El_Ouafi_,120598,772
Aitor_Gonzalez_,0,1
Akbar_Hashemi_Rafsanjani_,118653,706
Akhmed_Zakayev_,115305,602
Al_Davis_,113448,549
Al_Gore_,84065,145
Al_Pacino_,134834,1202
Al_Sharpton_,62461,100
Alan_Ball_,110773,481
Alan_Greenspan_,103386,320
Alan_Mulally_,141517,1353
Alastair_Campbell_,115618,612
Albert_Costa_,150282,1521
Alberto_Fujimori_,123805,858
Alberto_Ruiz_Gallardon_,116050,625
Albrecht_Mentz_,117256,663
Aldo_Paredes_,118921,712
Alec_Baldwin_,119836,739
Alejandro_Atchugarry_,141544,1354
Alejandro_Avila_,77034,124
Alejandro_Toledo_,103627,326
Aleksander_Kwasniewski_,160691,1630
Alex_Penelas_,121865,808
Alex_Sink_,119398,729
Alexander_Downer_,143467,1400
Alexander_Losyukov_,136002,1220
Alexander_Rumyantsev_,122572,826
Alexandra_Stevenson_,151408,1545
Alexandra_Vodjanikova_,125118,900
Ali_Abbas_,137776,1264
Ali_Khamenei_,137302,1254
Ali_Naimi_,105277,357
Alice_Fisher_,102982,312
Alicia_Silverstone_,127243,965
Alimzhan_Tokhtakhounov_,0,2
Alison_Lohman_,138902,1292
Allen_Iverson_,126388,939
Allison_Janney_,112665,525
Allyson_Felix_,132339,1123
Alvaro_Noboa_,145614,1445
Alvaro_Silva_Calderon_,155356,1590
Alvaro_Uribe_,130221,1054
Amanda_Beard_,85313,149
Amanda_Bynes_,139260,1306
Amanda_Coetzer_,167389,1659
Amber_Tamblyn_,142058,1362
Amelia_Vega_,134250,1189
Amelie_Mauresmo_,123647,854
Amer_al-Saadi_,116426,638
Amram_Mitzna_,134455,1192
Ana_Guevara_,150231,1520
Ana_Palacio_,146673,1463
Anastasia_Myskina_,146617,1461
Anders_Ebbeson_,102892,309
Anders_Fogh_Rasmussen_,121263,786
Andre_Agassi_,134142,1180
Andrei_Mikhnevich_,124413,879
Andrew_Bunner_,85969.5,152
Andrew_Cuomo_,113634,556
Andrew_Niccol_,125446,908
Andrew_Weissmann_,122652,828
Andy_Hebb_,83810,144
Andy_Roddick_,133924,1174
Angela_Bassett_,111211,495
Angela_Lansbury_,115347,605
Angela_Merkel_,83322,140
Angelina_Jolie_,138464,1281
Angelo_Reyes_,123380,847
Anibal_Ibarra_,114991,594
