Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.856759,846
Aaron_Sorkin_,0.822023,690
Abdel_Nasser_Assidi_,0.811445,639
Abdoulaye_Wade_,1.00552,1438
Abdullah_,0.978163,1352
Abdullah_Gul_,0.939496,1227
Abdullah_al-Attiyah_,0.889714,1020
Abdullatif_Sener_,0.832248,730
Abel_Pacheco_,0.834676,746
Abid_Hamid_Mahmud_Al-Tikriti_,0.760844,412
Adam_Sandler_,0.789605,546
Adam_Scott_,0.819993,679
Adel_Al-Jubeir_,0.791075,557
Adolfo_Aguilar_Zinser_,0.841311,776
Adolfo_Rodriguez_Saa_,0.862749,876
Adrian_McPherson_,0.938443,1222
Adrian_Nastase_,0.986421,1377
Adrien_Brody_,0.788288,538
Ahmad_Masood_,0.913677,1108
Ahmed_Chalabi_,1.02836,1491
Ahmet_Necdet_Sezer_,0.622256,57
Ai_Sugiyama_,0.882641,971
Aicha_El_Ouafi_,0.788706,541
Aitor_Gonzalez_,0.836827,757
Akbar_Hashemi_Rafsanjani_,0.720578,253
Akhmed_Zakayev_,0.885741,993
Al_Davis_,1.135,1632
Al_Gore_,0.816026,657
Al_Pacino_,0.776022,478
Al_Sharpton_,0.935481,1212
Alan_Ball_,0.782683,511
Alan_Greenspan_,1.01653,1461
Alan_Mulally_,0.954371,1270
Alastair_Campbell_,0.874209,926
Albert_Costa_,0.856468,844
Alberto_Fujimori_,0.943212,1236
Alberto_Ruiz_Gallardon_,0.837534,763
Albrecht_Mentz_,0.980065,1360
Aldo_Paredes_,0.904068,1077
Alec_Baldwin_,0.822803,696
Alejandro_Atchugarry_,0.851736,821
Alejandro_Avila_,0.909856,1095
Alejandro_Toledo_,0.60586,40
Aleksander_Kwasniewski_,0.9811,1363
Alex_Barros_,0.797597,588
Alex_Penelas_,0.760704,411
Alex_Sink_,0.786353,529
Alexander_Downer_,0.61817,53
Alexander_Losyukov_,0.793971,573
Alexandra_Stevenson_,0.883231,977
Alexandra_Vodjanikova_,0.75301,384
Ali_Abbas_,0.867606,898
Ali_Khamenei_,0.852615,829
Ali_Naimi_,0.799134,591
Alice_Fisher_,1.06904,1559
Alicia_Silverstone_,0.728861,283
Alimzhan_Tokhtakhounov_,0.770742,455
Alison_Lohman_,0.754475,390
Allen_Iverson_,0.796351,580
Allison_Janney_,0.670952,119
Allyson_Felix_,0.966999,1314
Alvaro_Noboa_,1.01269,1455
Alvaro_Silva_Calderon_,0.880339,960
Alvaro_Uribe_,0.90259,1074
Amanda_Beard_,0.885798,994
Amanda_Bynes_,0.739507,326
Amanda_Coetzer_,0.954688,1272
Amber_Tamblyn_,0.706832,209
Amelia_Vega_,0.646677,81
Amelie_Mauresmo_,0.743832,346
Amer_al-Saadi_,0.847583,801
Amram_Mitzna_,0.647213,83
Ana_Guevara_,0.723294,262
Ana_Palacio_,0.951173,1259
Anastasia_Myskina_,0.933519,1203
Anders_Ebbeson_,0.976937,1350
Anders_Fogh_Rasmussen_,0.784475,518
Andre_Agassi_,0.89758,1053
Andrei_Mikhnevich_,0.797213,584
Andrew_Bunner_,1.01988,1466
Andrew_Cuomo_,0.578119,19
Andrew_Niccol_,0.734862,307
