Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,117.297,574
Aaron_Sorkin_,134.509,1101
Abdel_Nasser_Assidi_,158.81,1568
Abdoulaye_Wade_,177.825,1662
Abdullah_,139.147,1221
Abdullah_Gul_,106.045,316
Abdullah_al-Attiyah_,163.392,1607
Abdullatif_Sener_,124.893,803
Abel_Pacheco_,135.933,1138
Abid_Hamid_Mahmud_Al-Tikriti_,177.242,1660
Adam_Sandler_,115.317,516
Adam_Scott_,145.659,1377
Adel_Al-Jubeir_,148.607,1435
Adolfo_Aguilar_Zinser_,135.542,1129
Adolfo_Rodriguez_Saa_,139.638,1231
Adrian_McPherson_,155.092,1532
Adrian_Nastase_,141.588,1288
Adrien_Brody_,110.856,409
Ahmad_Masood_,126.43,850
Ahmed_Chalabi_,110.766,407
Ahmet_Necdet_Sezer_,129.495,968
Ai_Sugiyama_,135.283,1120
Aicha_El_Ouafi_,122.087,703
Aitor_Gonzalez_,174.419,1652
Akbar_Hashemi_Rafsanjani_,103.625,263
Akhmed_Zakayev_,115.165,512
Al_Davis_,149.355,1442
Al_Gore_,139.254,1222
Al_Pacino_,136.663,1160
Al_Sharpton_,144.21,1348
Alan_Ball_,123.369,744
Alan_Greenspan_,144.903,1363
Alan_Mulally_,110.281,399
Alastair_Campbell_,129.338,961
Albert_Costa_,168.753,1633
Alberto_Fujimori_,127.45,893
Alberto_Ruiz_Gallardon_,106.348,321
Albrecht_Mentz_,128.812,941
Aldo_Paredes_,113.565,470
Alec_Baldwin_,136.308,1152
Alejandro_Atchugarry_,120.521,661
Alejandro_Avila_,148.387,1432
Alejandro_Toledo_,94.1004,131
Aleksander_Kwasniewski_,117.054,568
Alex_Barros_,109.341,380
Alex_Penelas_,106.87,333
Alex_Sink_,149.213,1437
Alexander_Downer_,106.016,315
Alexander_Losyukov_,140.58,1259
Alexandra_Stevenson_,160.342,1587
Alexandra_Vodjanikova_,154.623,1524
Ali_Abbas_,109.497,383
Ali_Khamenei_,131.953,1037
Ali_Naimi_,112.355,442
Alice_Fisher_,139.632,1230
Alicia_Silverstone_,159.532,1578
Alimzhan_Tokhtakhounov_,117.494,582
Alison_Lohman_,114.453,489
Allen_Iverson_,151.97,1482
Allison_Janney_,131.471,1020
Allyson_Felix_,173.76,1648
Alvaro_Noboa_,111.118,414
Alvaro_Silva_Calderon_,126.867,869
Alvaro_Uribe_,115.888,528
Amanda_Beard_,116.533,551
Amanda_Bynes_,87.5421,73
Amanda_Coetzer_,124.81,800
Amber_Tamblyn_,109.016,374
Amelia_Vega_,104.671,283
Amelie_Mauresmo_,145.11,1367
Amer_al-Saadi_,114.094,483
Amram_Mitzna_,126.987,872
Ana_Guevara_,177.766,1661
Ana_Palacio_,63.4513,3
Anastasia_Myskina_,156.081,1543
Anders_Ebbeson_,162.863,1602
Anders_Fogh_Rasmussen_,103.991,269
Andre_Agassi_,124.822,801
Andrei_Mikhnevich_,144.312,1350
Andrew_Bunner_,111.83,431
Andrew_Cuomo_,98.6235,193
Andrew_Niccol_,128.988,947
Andrew_Weissmann_,160.9,1591
Andy_Hebb_,110.065,394
Andy_Roddick_,131.052,1010
